building_id,stem,district,geometry_outcome,sidecar_present,scheme_consistent,zone_names_equal,circulation_presence_equal,storey_count_equal,area_conservation_ok,idf_storey_count,sidecar_storey_count,divergent,divergence_notes
relation/12582232,c0469f277749f93e,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
relation/12582233,c6e90803c98dba87,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,7,7,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
relation/12582234,a776387b1281ccea,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,5,5,False,
relation/12586384,f37e1223ce23033c,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,True,True,True,True,True,True,7,7,False,
relation/12628570,19f9bca61b89709d,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
relation/12628571,185b31a856fe0fac,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,6,6,False,
relation/12638102,c618dfeb21e06f07,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,True,True,True,True,True,True,5,5,False,
relation/12638103,81c43893177d0d80,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,5,5,False,
relation/12700585,446f5434568f28e3,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,6,6,False,
relation/12700645,c71e82e57d99bed1,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,7,7,False,
relation/12702624,1d78cf9122f19e7a,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,True,True,True,True,True,True,4,4,False,
relation/12702625,19353088b38e9293,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
relation/12702626,8912451f8d1d6584,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
relation/12702627,17fbaa5f295509bc,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
relation/12702628,8d717b848f17f68d,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
relation/12702629,a3b8acbbaf7cf1cf,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,6,6,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
relation/12702630,cfd38851e11bd9f2,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,7,7,False,
relation/12702631,c2e07c6ddc86dc8e,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
relation/12702632,be68dcc0e83d5725,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,True,True,True,True,True,True,3,3,False,
