cell,osm_id,neither,midhigh_at_one_storey,archetype_id,levels,in_levels,in_height_m,footprint_area_m2,simulation_status,total_eui_kwh_m2,heating_eui_kwh_m2,cooling_eui_kwh_m2
austin_centre,way/134807227,True,True,HighriseApartment,1.0,,,3916.8630177935806,success,92.70763550721816,4.156762891047429,7.631848152968086
austin_centre,way/516276237,True,True,HighriseApartment,1.0,,,720.2849189689082,success,104.77548200972817,10.063828210549689,9.41367030390036
austin_centre,relation/7480583,True,True,HighriseApartment,1.0,,,6711.033089308759,success,74.57634833526741,5.5323190663529775,4.69321650910319
austin_rural,way/762126686,True,True,MidriseApartment,1.0,,,339.4344592887573,success,122.65701164016492,24.19956254395281,10.876723416417724
austin_rural,way/762126687,True,True,MidriseApartment,1.0,,,386.46056346438127,success,120.99458621018532,23.50466190551702,10.482158973168474
austin_rural,way/762126688,True,True,MidriseApartment,1.0,,,348.0306785697262,success,123.18219702943732,24.524711151403626,11.095887732966643
austin_rural,way/762126689,True,True,MidriseApartment,1.0,,,305.9020171089867,success,126.0511846945892,26.4543282512236,11.531820999556164
austin_rural,way/1005416637,True,True,MidriseApartment,1.0,,,259.31180780234854,success,125.46342701507749,26.183310274103444,11.100137300479984
austin_rural,way/1005416638,True,True,MidriseApartment,1.0,,,276.4427926813093,success,124.50808094917056,25.845133456785312,10.84179461073816
austin_rural,way/1450169422,True,True,MidriseApartment,1.0,,,331.62864783433065,success,121.06975502311953,23.12815917960676,10.568824786788994
austin_rural,way/1450169423,True,True,MidriseApartment,1.0,,,368.6319061354473,success,119.71167072284685,22.13631990075284,10.460044353935649
austin_rural,way/1450169425,True,True,MidriseApartment,1.0,,,393.25920949531394,success,117.78882517735032,20.913308844594887,10.10357057292888
austin_rural,way/1450169426,True,True,MidriseApartment,1.0,,,322.7377933090154,success,121.04545334070777,23.51042101429348,10.349416583259384
austin_rural,way/1450169427,True,True,MidriseApartment,1.0,,,322.8105438756467,success,121.07258720563152,23.50355754619141,10.364745279855557
austin_rural,way/1450169428,True,True,MidriseApartment,1.0,,,322.8110013054992,success,121.07264551165856,23.503545762245853,10.364743242815452
austin_rural,way/1450169429,True,True,MidriseApartment,1.0,,,322.811539733128,success,121.07267505089412,23.50353151826293,10.364735995361112
austin_rural,way/1450169430,True,True,MidriseApartment,1.0,,,322.8356621243125,success,120.99338463449924,23.50452228614333,10.324060993637186
austin_rural,way/1450169431,True,True,MidriseApartment,1.0,,,322.81086047766024,success,121.07270514309928,23.50354412056246,10.364755973958347
austin_suburban,way/240181910,True,True,MidriseApartment,1.0,,,398.82397114447446,success,116.7226651509849,20.50326046196516,10.5261130483205
la_urban,way/402234762,True,True,MidriseApartment,1.0,,,1193.0965590092355,success,93.15789377363656,6.89563975788909,2.2108023214069825
la_urban,way/913603652,True,True,MidriseApartment,1.0,,,3088.00550317537,success,89.75927302211748,4.773829822863875,1.757811533205485
la_urban,way/1416444072,True,True,MidriseApartment,1.0,,,2043.816143153992,success,90.80169154998512,5.278730552014949,2.022188270488873
nyc_rural,way/334332012,True,True,MidriseApartment,1.0,,,664.1733805090479,success,149.87267792391515,52.87326760265035,3.7052019290079294
nyc_rural,way/334332016,True,True,MidriseApartment,1.0,,,304.7018468697399,success,165.76201386273198,66.5637627924483,4.117055260410189
nyc_rural,way/334332023,True,True,MidriseApartment,1.0,,,302.5127764864601,success,164.28656693535348,65.60527690746693,3.99114221608901
nyc_rural,way/334332026,True,True,MidriseApartment,1.0,,,299.68398506752385,success,167.0412277527994,66.8760105426555,4.342191806003177
nyc_rural,way/334332027,True,True,MidriseApartment,1.0,,,582.0066219216312,success,156.35394138177162,58.05256377519172,3.956473510461604
nyc_rural,way/772626984,True,True,MidriseApartment,1.0,,,96.20396880283076,success,216.330881327181,108.0912598700907,5.34511462864654
nyc_rural,way/772626985,True,True,MidriseApartment,1.0,,,90.30587241185748,success,215.87003500542065,107.24163688221267,5.366154612594719
nyc_rural,way/772627025,True,True,MidriseApartment,1.0,,,46.65108434765493,success,267.04295320204653,147.7406755219028,6.6704013156463
nyc_rural,way/966004656,True,True,MidriseApartment,1.0,,,166.9085708135362,success,184.3905676264577,81.8583702963586,4.640741959644746
nyc_rural,way/1103897841,True,True,MidriseApartment,1.0,,,234.48546513832773,success,176.10766790938993,75.70656040238796,4.302691185852999
nyc_rural,way/1279684267,True,True,MidriseApartment,1.0,,,97.70630773854194,success,238.97329469888072,127.45303252102548,6.022594865217109
nyc_rural,way/1317229554,True,True,MidriseApartment,1.0,,,57.328125896210736,success,257.2291310224472,142.68174224118488,5.6375634157368815
nyc_rural,way/1317287812,True,True,MidriseApartment,1.0,,,144.5782928833019,success,189.08066093828225,85.06434322424745,4.76666269689052
nyc_rural,way/1317287813,True,True,MidriseApartment,1.0,,,115.03449286963192,success,202.30936682787348,95.8368846837026,5.01413534979154
nyc_rural,way/1317287814,True,True,MidriseApartment,1.0,,,116.06262739499311,success,203.1255580742276,96.8870296936462,5.080131286130595
nyc_suburban,way/813473607,True,True,MidriseApartment,1.0,,,123.52709788467816,success,202.2419407389644,99.6599642335185,4.177598070151977
nyc_suburban,way/845748958,True,True,MidriseApartment,1.0,,,128.9814973114816,success,194.34877237118147,92.2927345880116,4.073261421373403
nyc_suburban,way/845749031,True,True,MidriseApartment,1.0,,,96.56110716848134,success,209.97511457171245,105.10715526198533,4.381838956386381
nyc_suburban,way/846411820,True,True,MidriseApartment,1.0,,,84.80138938797316,success,228.9894860010744,122.24251562250883,4.59809947481735
nyc_suburban,way/1014146251,True,True,MidriseApartment,1.0,,,113.89191026519558,success,210.499116938064,106.94991473544476,4.262129633925474
nyc_suburban,way/1014146259,True,True,MidriseApartment,1.0,,,96.68034756457196,success,209.34512968643915,103.93009112650992,4.502340648271757
nyc_suburban,way/1014146266,True,True,MidriseApartment,1.0,,,191.73002698696445,success,174.13942766960898,74.93153201587857,3.7361230466670894
nyc_suburban,way/1014146335,True,True,MidriseApartment,1.0,,,124.72358681799632,success,198.43856536072724,94.71646306148862,4.411639666695749
nyc_suburban,way/1014148338,True,True,MidriseApartment,1.0,,,131.29700877707063,success,212.99247213193595,108.26996694515378,4.625699338190348
nyc_suburban,way/1108091222,True,True,MidriseApartment,1.0,,,69.47571597600006,success,232.26259787979583,123.12841025799418,4.849364758700951
nyc_suburban,way/1108091237,True,True,MidriseApartment,1.0,,,120.5495344923426,success,200.00918823275745,97.2419831190557,4.202473289289345
nyc_suburban,way/1108091412,True,True,MidriseApartment,1.0,,,122.06987726956226,success,194.763913555784,91.6455044802394,4.222107700131441
nyc_suburban,way/1108091538,True,True,MidriseApartment,1.0,,,130.25601618170947,success,193.75896251103032,91.79642245240984,4.066187718619115
nyc_suburban,way/1108091554,True,True,MidriseApartment,1.0,,,108.5972239079856,success,206.11636962428224,101.2037547795114,4.536082414036077
nyc_suburban,way/1108091579,True,True,MidriseApartment,1.0,,,188.8996036555851,success,183.4936640750892,82.89401614051975,4.036079612708392
nyc_urban,way/281344664,True,True,MidriseApartment,1.0,,,11077.468458071691,success,96.53269722731656,5.661325999152996,3.3307709101721112
nyc_urban,way/281345438,True,True,MidriseApartment,1.0,,,2170.724003352632,success,114.85871966442204,22.33180032652916,3.769979847055157
nyc_urban,way/821626191,True,True,MidriseApartment,1.0,,,272.8871451411919,success,153.6025417474508,55.4203600502289,4.748982820941644
nyc_urban,way/828447386,True,True,MidriseApartment,1.0,,,1779.265681826732,success,107.37645868725818,15.598163755776774,3.615177325571595
nyc_urban,way/832347781,True,True,MidriseApartment,1.0,,,811.6296765206113,success,130.525103577394,36.42955249542857,3.944475813445002
