cell,osm_id,archetype_id,source_storey_count,auto_storey_count,layout_assign_storey_count,layout_assign_storey_count_naive,layout_assign_storey_count_floor,agree,diff_layout_assign_minus_auto,layout_assign_no_baseline_fallback,layout_assign_match_storeys_status,auto_zone_multiplier_gt1,auto_zone_multiplier_max,layout_assign_zone_multiplier_gt1,layout_assign_zone_multiplier_max,auto_attic_zone_count,layout_assign_z_origin_collapse_risk
austin_centre,way/112834456,LargeOffice,1,1,4,4,4,False,3,False,fallback_shorter,False,,False,,0,False
austin_centre,way/112834472,MediumOffice,5,5,3,3,3,False,-2,False,applied,False,,True,3,0,False
austin_centre,way/112834493,TallBuilding,20,20,11,1,20,False,-9,False,identity,False,,False,,0,True
austin_centre,way/112834500,MediumOffice,3,3,3,3,3,True,0,False,identity,False,,False,,0,False
austin_centre,way/112834509,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/112836380,RetailStandalone,1,1,1,1,1,True,0,False,identity,False,,False,,0,False
austin_centre,way/112836382,Courthouse,1,1,1,1,1,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/112836384,RetailStandalone,1,1,1,1,1,True,0,False,identity,False,,False,,0,False
austin_centre,way/112836385,LargeOffice,1,1,4,4,4,False,3,False,fallback_shorter,False,,False,,0,False
austin_centre,way/112836386,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/134807224,TallBuilding,21,21,11,1,20,False,-10,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/134807225,LargeOffice,10,10,4,4,4,False,-6,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/134807226,LargeOffice,9,9,4,4,4,False,-5,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/134807227,HighriseApartment,45,45,3,1,3,False,-42,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/134807228,LargeOffice,1,1,4,4,4,False,3,False,fallback_shorter,False,,False,,0,False
austin_centre,way/134807229,FullServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/134807252,LargeOffice,10,10,4,4,4,False,-6,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/134807256,OpenUBEMUnknown,8,8,8,8,8,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/134807260,OpenUBEMUnknown,8,8,8,8,8,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/134807269,LargeOffice,9,9,4,4,4,False,-5,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/135049613,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049616,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049618,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049619,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049620,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049621,LargeOffice,1,1,4,4,4,False,3,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049622,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/135049626,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/183289651,LargeOffice,15,15,4,4,4,False,-11,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/183289652,LargeOffice,7,7,4,4,4,False,-3,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/204413180,Courthouse,4,4,4,4,4,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/204413181,HighriseApartment,56,56,3,1,3,False,-53,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/206163832,TallBuilding,32,32,11,1,20,False,-21,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/206163833,Courthouse,1,1,1,1,1,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/206165495,TallBuilding,22,22,11,1,20,False,-11,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/224057337,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/231123149,LargeHotel,5,5,4,4,4,False,-1,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/231123152,TallBuilding,29,29,11,1,20,False,-18,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/231123153,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/231123155,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/231123157,RetailStandalone,1,1,1,1,1,True,0,False,identity,False,,False,,0,False
austin_centre,way/231123159,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/231123161,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/231125471,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/231125474,LargeOffice,12,12,4,4,4,False,-8,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/231125475,Courthouse,1,1,1,1,1,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/231125476,Courthouse,4,4,4,4,4,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/313180848,Courthouse,8,8,8,8,8,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/313180849,Courthouse,13,13,13,13,13,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/313917989,LargeOffice,4,4,4,4,4,True,0,False,identity,False,,False,,0,False
austin_centre,way/328520419,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520420,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520421,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520422,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520424,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520425,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520426,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520427,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328520428,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
