cell,mode,stem,n_severe,first_severe,last_severe_before_fatal,fatal_line,cause_group
la_rural,fast_zone,way_472961089,7,"** Severe  ** Temperature (low) out of bounds [-139.65] for zone=""WAY/472961089_F1_PERIM7"", for surface=""BLOCK PERIMETER_ZONE_7 STOREY 1 WALL 0002""","** Severe  ** Temperature (low) out of bounds [-742.60] for zone=""WAY/472961089_F1_PERIM7"", for surface=""BLOCK PERIMETER_ZONE_7 STOREY 1 WALL 0002""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,fast_zone,way_472961090,8,"** Severe  ** Temperature (high) out of bounds (218.64] for zone=""WAY/472961090_F1_PERIM4"", for surface=""BLOCK PERIMETER_ZONE_4 STOREY 1 WALL 0002""","** Severe  ** Temperature (low) out of bounds [-252.72] for zone=""WAY/472961090_F1_PERIM4"", for surface=""BLOCK PERIMETER_ZONE_4 STOREY 1 WALL 0002""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,fast_zone,way_472961091,13,"** Severe  ** Temperature (low) out of bounds [-104.00] for zone=""WAY/472961091_F1_PERIM6"", for surface=""BLOCK PERIMETER_ZONE_6 STOREY 1 WALL 0002""","** Severe  ** Temperature (high) out of bounds [530.25] for zone=""WAY/472961091_F2_PERIM6"", for surface=""BLOCK PERIMETER_ZONE_6 STOREY 2 WALL 0002""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (high) out of bounds [...] for zone=""..."", for s"
la_rural,fast_zone,way_472961093,8,"** Severe  ** Temperature (high) out of bounds (211.65] for zone=""WAY/472961093_F1_PERIM5"", for surface=""BLOCK PERIMETER_ZONE_5 STOREY 1 WALL 0001_1""","** Severe  ** Temperature (low) out of bounds [-337.47] for zone=""WAY/472961093_F1_PERIM5"", for surface=""BLOCK PERIMETER_ZONE_5 STOREY 1 WALL 0002""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,fast_zone,way_472961164,4,"** Severe  ** Temperature (low) out of bounds [-105.03] for zone=""WAY/472961164_F2_PERIM3"", for surface=""BLOCK PERIMETER_ZONE_3 STOREY 2 WALL 0001_1""","** Severe  ** Temperature (low) out of bounds [-295.05] for zone=""WAY/472961164_F2_PERIM3"", for surface=""BLOCK PERIMETER_ZONE_3 STOREY 2 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,fast_zone,way_472961171,7,"** Severe  ** Temperature (low) out of bounds [-101.98] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""","** Severe  ** Temperature (low) out of bounds [-361.17] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472960972,5,"** Severe  ** Temperature (low) out of bounds [-104.67] for zone=""WAY/472960972_F2_WHOLE"", for surface=""BLOCK WAY/472960972_WHOLE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-269.27] for zone=""WAY/472960972_F2_WHOLE"", for surface=""BLOCK WAY/472960972_WHOLE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472961034,5,"** Severe  ** Temperature (low) out of bounds [-171.53] for zone=""WAY/472961034_F2_WHOLE"", for surface=""BLOCK WAY/472961034_WHOLE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-260.55] for zone=""WAY/472961034_F2_WHOLE"", for surface=""BLOCK WAY/472961034_WHOLE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472961047,13,"** Severe  ** Temperature (high) out of bounds (211.70] for zone=""WAY/472961047_F1_WHOLE"", for surface=""BLOCK WAY/472961047_WHOLE STOREY 1 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-444.15] for zone=""WAY/472961047_F1_WHOLE"", for surface=""BLOCK WAY/472961047_WHOLE STOREY 1 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472961088,5,"** Severe  ** Temperature (low) out of bounds [-104.32] for zone=""WAY/472961088_F2_WHOLE"", for surface=""BLOCK WAY/472961088_WHOLE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-331.96] for zone=""WAY/472961088_F2_WHOLE"", for surface=""BLOCK WAY/472961088_WHOLE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472961091,5,"** Severe  ** Temperature (low) out of bounds [-112.05] for zone=""WAY/472961091_F2_WHOLE"", for surface=""BLOCK WAY/472961091_WHOLE STOREY 2 ROOF 0001""","** Severe  ** Temperature (low) out of bounds [-286.28] for zone=""WAY/472961091_F2_WHOLE"", for surface=""BLOCK WAY/472961091_WHOLE STOREY 2 FLOOR 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472961164,5,"** Severe  ** Temperature (low) out of bounds [-101.98] for zone=""WAY/472961164_F2_WHOLE"", for surface=""BLOCK WAY/472961164_WHOLE STOREY 2 ROOF 0001""","** Severe  ** Temperature (low) out of bounds [-270.67] for zone=""WAY/472961164_F2_WHOLE"", for surface=""BLOCK WAY/472961164_WHOLE STOREY 2 FLOOR 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,floor,way_472961171,17,"** Severe  ** Temperature (low) out of bounds [-120.67] for zone=""WAY/472961171_F2_WHOLE"", for surface=""BLOCK WAY/472961171_WHOLE STOREY 2 ROOF 0001""","** Severe  ** Temperature (low) out of bounds [-395.60] for zone=""WAY/472961171_F2_WHOLE"", for surface=""BLOCK WAY/472961171_WHOLE STOREY 2 FLOOR 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_urban,auto,way_402215469,6,"** Severe  ** Temperature (low) out of bounds [-123.25] for zone=""WAY/402215469_F3_WHOLE"", for surface=""BLOCK WAY/402215469_WHOLE STOREY 3 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-256.14] for zone=""WAY/402215469_F3_WHOLE"", for surface=""BLOCK WAY/402215469_WHOLE STOREY 3 FLOOR 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_urban,layout_assign,relation_6374725,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -23743.03 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -23743.03 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
la_urban,layout_assign,way_401910463,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 182399.27 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 182399.27 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
la_urban,layout_assign,way_428846131,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -59865.37 C for zone=""LAUNDRYROOMFLR1"", for surface=""W_LAUNDRYROOMFLR1_3_0_0""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -59865.37 C for zone=""LAUNDRYROOMFLR1"", for surface=""W_LAUNDRYROOMFLR1_3_0_0""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,auto,way_266149332,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 90915.77 C for zone=""WAY/266149332_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0004_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 90915.77 C for zone=""WAY/266149332_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0004_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,auto,way_266170765,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 63269.75 C for zone=""WAY/266170765_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0004_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 63269.75 C for zone=""WAY/266170765_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0004_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_265301877,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -14641.54 C for zone=""WAY/265301877_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0005""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -14641.54 C for zone=""WAY/265301877_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0005""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
