osm_id,join_status,t08_cell,t08_city,t08_archetype_id,t08_floor_area_m2,t08_status,t20_cell,t20_city,t20_archetype_id,t20_floor_area_m2,t20_status,archetype_agree,floor_area_agree_1pct,vintage_t08,vintage_t20,vintage_agree
relation/5682352,t20_only,,,,,,austin_urban,AUS,LargeOffice,16564.976010485123,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682354,t20_only,,,,,,austin_urban,AUS,SmallOffice,3524.020009212616,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682408,t20_only,,,,,,austin_urban,AUS,LargeOffice,28134.01299805393,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682409,t20_only,,,,,,austin_urban,AUS,LargeOffice,344226.3527674886,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682410,t20_only,,,,,,austin_urban,AUS,LargeOffice,19111.949048469607,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5685040,t20_only,,,,,,austin_urban,AUS,SmallOffice,2948.5131284688,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5698619,t20_only,,,,,,austin_suburban,AUS,SecondarySchool,34801.520255238705,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6243355,t20_only,,,,,,la_urban,LA,MidriseApartment,13066.026805009236,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6333145,in_both,la_centre,LA,Courthouse,60705.21335327008,success,la_centre,LA,Courthouse,60705.21335327008,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6333146,in_both,la_centre,LA,Courthouse,59478.11251354631,success,la_centre,LA,Courthouse,59478.11251354631,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6333147,in_both,la_centre,LA,LargeOffice,45508.58713216569,success,la_centre,LA,LargeOffice,45508.58713216569,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6333148,in_both,la_centre,LA,Courthouse,17268.28588354013,success,la_centre,LA,Courthouse,17268.28588354013,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6353541,t20_only,,,,,,la_urban,LA,LargeOffice,31720.92234281559,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6356829,t20_only,,,,,,la_urban,LA,MediumOffice,9519.5416994299,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6356830,t20_only,,,,,,la_urban,LA,Courthouse,29993.209715266767,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6356862,t20_only,,,,,,la_urban,LA,MidriseApartment,2970.4402782308293,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6356884,t20_only,,,,,,la_urban,LA,MidriseApartment,35582.2329161173,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/6356886,t20_only,,,,,,la_urban,LA,LargeOffice,75042.83409358609,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
