cell,osm_id,sql_path,status,dh_water_gj,dh_total_gj,dh_total_kwh,total_end_uses_all_fuels_gj,dh_share_of_total_end_uses,parser_status,parser_total_eui_kwh_m2,parser_floor_area_m2,parser_total_kwh,dh_share_of_parser_total,c2_pass,c2_failures
austin_centre,way_1008727470,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_centre\sim\way_1008727470\eplusout.sql,ok,0.72,0.72,200.0,59.220000000000006,0.012158054711246199,success,184.76007927186797,87.96,16251.496572753505,0.012306558913184069,True,
austin_centre,way_328529693,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_centre\sim\way_328529693\eplusout.sql,ok,0.0,0.0,0.0,75.37,0.0,success,78.30750372778012,255.06,19973.111900807595,0.0,True,
austin_centre,way_328649870,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_centre\sim\way_328649870\eplusout.sql,ok,0.0,0.0,0.0,768.1600000000001,0.0,success,94.20995614656434,2205.1499999999996,207747.08479659632,0.0,True,
austin_centre,way_99725026,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_centre\sim\way_99725026\eplusout.sql,ok,0.0,0.0,0.0,9083.0,0.0,success,125.10939313994865,10938.850000000002,1368552.8851489276,0.0,True,
austin_rural,way_1165379866,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_rural\sim\way_1165379866\eplusout.sql,ok,0.0,0.0,0.0,107.83,0.0,success,199.67281895179858,147.36,29423.78660073704,0.0,True,
austin_rural,way_1450171441,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_rural\sim\way_1450171441\eplusout.sql,ok,0.0,0.0,0.0,276.03,0.0,success,68.90282623251862,1054.9,72685.5913926839,0.0,True,
austin_rural,way_1480414338,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_rural\sim\way_1480414338\eplusout.sql,ok,0.0,0.0,0.0,73.36,0.0,success,77.03488260073941,252.14000000000004,19423.575298950436,0.0,True,
austin_rural,way_762128912,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_rural\sim\way_762128912\eplusout.sql,ok,0.0,0.0,0.0,125.51,0.0,success,72.74973065324326,455.51,33138.229809858836,0.0,True,
austin_suburban,way_382991214,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_suburban\sim\way_382991214\eplusout.sql,ok,0.0,0.0,0.0,37.61,0.0,success,87.54981510829685,114.39,10014.823350238077,0.0,True,
austin_suburban,way_382991392,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_suburban\sim\way_382991392\eplusout.sql,ok,0.0,0.0,0.0,61.16,0.0,success,80.89161382783018,200.64,16230.093398415847,0.0,True,
austin_suburban,way_382991906,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_suburban\sim\way_382991906\eplusout.sql,ok,0.0,0.0,0.0,109.27,0.0,success,75.44346809762438,383.10999999999996,28903.14706288087,0.0,True,
austin_suburban,way_382992872,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_suburban\sim\way_382992872\eplusout.sql,ok,0.0,0.0,0.0,13.719999999999999,0.0,success,112.14715167818056,32.88,3687.3983471785773,0.0,True,
austin_urban,way_381810583,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_urban\sim\way_381810583\eplusout.sql,ok,0.0,0.0,0.0,1958.41,0.0,success,88.50546013556037,5210.4400000000005,461152.3897087292,0.0,True,
austin_urban,way_381824501,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_urban\sim\way_381824501\eplusout.sql,ok,0.0,0.0,0.0,73.08,0.0,success,80.27295544076952,241.51000000000002,19386.721468500247,0.0,True,
austin_urban,way_381824551,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_urban\sim\way_381824551\eplusout.sql,ok,0.0,0.0,0.0,42.56999999999999,0.0,success,84.93298204523863,133.31,11322.415836450762,0.0,True,
austin_urban,way_381824762,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\austin_urban\sim\way_381824762\eplusout.sql,ok,0.0,0.0,0.0,16.34,0.0,success,104.72015378085568,41.849999999999994,4382.538435728809,0.0,True,
la_centre,way_425993511,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_centre\sim\way_425993511\eplusout.sql,ok,576.02,576.02,160005.55555555553,32620.33,0.01765831308266961,success,100.79614038405174,88308.90000000002,8901196.281561188,0.01797573612515508,True,
la_centre,way_425993516,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_centre\sim\way_425993516\eplusout.sql,ok,0.0,0.0,0.0,5550.37,0.0,success,111.08068518409787,5876.790000000003,652797.8598830549,0.0,True,
la_centre,way_427817563,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_centre\sim\way_427817563\eplusout.sql,ok,0.0,0.0,0.0,372.78,0.0,success,15.366202850074906,2305.6000000000004,35428.317291132706,0.0,True,
la_centre,way_905248736,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_centre\sim\way_905248736\eplusout.sql,ok,0.0,0.0,0.0,39.45,0.0,success,73.98837635225848,140.98,10430.881298141401,0.0,True,
la_rural,way_472961040,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_rural\sim\way_472961040\eplusout.sql,ok,0.0,0.0,0.0,55.3,0.0,success,79.14574758840415,185.35,14669.664315510709,0.0,True,
la_rural,way_472961122,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_rural\sim\way_472961122\eplusout.sql,ok,0.0,0.0,0.0,226.39,0.0,success,68.46127788302954,870.93,59624.980746666915,0.0,True,
la_rural,way_472961221,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_rural\sim\way_472961221\eplusout.sql,ok,0.0,0.0,0.0,16.580000000000002,0.0,success,102.86274918901034,43.2,4443.670764965247,0.0,True,
la_rural,way_472961296,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_rural\sim\way_472961296\eplusout.sql,ok,0.0,0.0,0.0,28.41,0.0,success,89.60276404909698,84.56,7576.80972799164,0.0,True,
la_suburban,way_442340540,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_suburban\sim\way_442340540\eplusout.sql,ok,0.0,0.0,0.0,286.28000000000003,0.0,success,90.09209695617287,780.0400000000004,70275.43930969312,0.0,True,
la_suburban,way_442341109,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_suburban\sim\way_442341109\eplusout.sql,ok,0.0,0.0,0.0,383.59,0.0,success,88.67563528081433,1059.92,93989.07934684074,0.0,True,
