cell,osm_id,n_parts,footprint_area_m2,levels,underground,declared_area_m2,n_zones,area_plain_m2,area_multiplier_aware_m2,max_zone_multiplier,max_zone_list_multiplier,n_zones_excluded_not_in_total_area,ratio,parse_status
austin_centre,relation/13781131,1,3272.9682473441753,5.0,0,16364.841236720877,45,16319.0,16319.0,1,1,0,0.997198797345005,ok
austin_centre,relation/7480583,1,5382.316927938689,,0,,1,6711.03,6711.03,1,1,0,,ok
austin_centre,way/1008727466,1,82.13417010965144,,0,,1,82.13,82.13,1,1,0,,ok
austin_centre,way/1008727467,1,95.96703539355182,,0,,1,95.99,95.99,1,1,0,,ok
austin_centre,way/1008727468,1,73.98702220997974,,0,,1,73.99,73.99,1,1,0,,ok
austin_centre,way/1008727469,1,81.68786267858243,,0,,1,81.75,81.75,1,1,0,,ok
austin_centre,way/1008727470,1,87.96401955789037,,0,,1,87.96,87.96,1,1,0,,ok
austin_centre,way/1020753276,1,312.23848816481416,,0,,1,312.26,312.26,1,1,0,,ok
austin_centre,way/1020754973,1,304.19865964693247,2.0,0,608.3973192938649,2,608.4,608.4,1,1,0,1.0000044061767697,ok
austin_centre,way/1020754974,1,729.0548432535654,2.0,0,1458.1096865071308,14,1442.88,1442.88,1,1,0,0.9895551846009518,ok
austin_centre,way/1020979628,1,216.43670981503712,,0,,1,216.44,216.44,1,1,0,,ok
austin_centre,way/1020979629,1,275.5702402153945,,0,,1,275.44,275.44,1,1,0,,ok
austin_centre,way/1020979630,1,125.00471159101161,,0,,1,125.0,125.0,1,1,0,,ok
austin_centre,way/1021167043,1,109.42946144708864,,0,,1,109.43,109.43,1,1,0,,ok
austin_centre,way/1021167044,1,140.4289583715142,,0,,1,140.43,140.43,1,1,0,,ok
austin_centre,way/1021167045,1,324.17502938433415,,0,,1,324.17,324.17,1,1,0,,ok
austin_centre,way/1022725553,1,43.51698829256768,,0,,1,43.52,43.52,1,1,0,,ok
austin_centre,way/1025013853,1,879.2501449518088,16.0,0,14068.00231922894,112,13980.8,13980.8,1,1,0,0.9938013715629155,ok
austin_centre,way/1029943785,1,453.7144853871724,,0,,1,453.71,453.71,1,1,0,,ok
austin_centre,way/1029943786,1,3060.0025492141153,5.0,0,15300.012746070577,5,15268.15,15268.15,1,1,0,0.997917469311994,ok
austin_centre,way/1032979883,1,451.25231286584864,,0,,1,451.75,451.75,1,1,0,,ok
austin_centre,way/1034698229,1,244.24900824729073,,0,,1,244.24,244.24,1,1,0,,ok
austin_centre,way/1034702476,1,130.47844700196336,,0,,1,130.1,130.1,1,1,0,,ok
austin_centre,way/1039387743,1,1399.930334460895,,0,,1,1399.93,1399.93,1,1,0,,ok
austin_centre,way/1039387744,1,409.3469322081903,,0,,1,409.35,409.35,1,1,0,,ok
austin_centre,way/1039387745,1,975.5585939707992,,0,,1,973.84,973.84,1,1,0,,ok
austin_centre,way/1039387746,1,89.54093544486759,,0,,1,89.55,89.55,1,1,0,,ok
austin_centre,way/1039387747,1,104.92161896053389,,0,,1,104.96,104.96,1,1,0,,ok
austin_centre,way/1039387750,1,26.07251684054515,,0,,1,26.08,26.08,1,1,0,,ok
austin_centre,way/1039387756,1,27.993875736046206,,0,,1,27.99,27.99,1,1,0,,ok
austin_centre,way/1039387757,1,42.7530809895854,,0,,1,42.75,42.75,1,1,0,,ok
austin_centre,way/1039387764,1,235.76508743539443,,0,,1,234.94,234.94,1,1,0,,ok
austin_centre,way/1051117928,1,295.90637919083576,2.0,0,591.8127583816715,2,591.82,591.82,1,1,0,1.0000122363335802,ok
austin_centre,way/1120921408,1,5125.5603461580595,48.0,0,246026.89661558685,48,245869.92,245869.92,1,1,0,0.9993619534378307,ok
austin_centre,way/112834453,1,1869.294891729744,3.0,0,5607.884675189232,39,5305.08,5305.08,1,1,0,0.9460037620729042,ok
austin_centre,way/112834456,1,1909.3509828908504,,0,,1,1914.63,1914.63,1,1,0,,ok
austin_centre,way/112834472,1,1008.6266887627705,5.0,0,5043.133443813853,25,5042.95,5042.95,1,1,0,0.9999636250327504,ok
austin_centre,way/112834493,1,4363.237590868074,20.0,0,87264.75181736148,20,87289.2,87289.2,1,1,0,1.0002801610287015,ok
austin_centre,way/112834500,1,3064.2033790848036,3.0,0,9192.61013725441,27,9192.66,9192.66,1,1,0,1.0000054242206342,ok
austin_centre,way/112834509,1,596.9209884049912,,0,,1,596.92,596.92,1,1,0,,ok
austin_centre,way/112836380,1,1715.8989132892682,,0,,1,1715.9,1715.9,1,1,0,,ok
austin_centre,way/112836382,1,2260.365803136551,,0,,1,2261.34,2261.34,1,1,0,,ok
austin_centre,way/112836384,1,1474.266619823231,,0,,1,1470.53,1470.53,1,1,0,,ok
austin_centre,way/112836385,1,2500.763050422038,,0,,1,2500.76,2500.76,1,1,0,,ok
austin_centre,way/112836386,1,755.7765122256235,,0,,1,755.78,755.78,1,1,0,,ok
austin_centre,way/1134169120,1,218.71527120452367,,0,,1,218.8,218.8,1,1,0,,ok
austin_centre,way/1134169121,1,140.85474367564612,,0,,1,140.85,140.85,1,1,0,,ok
austin_centre,way/1134169122,1,299.5966931506929,,0,,1,299.95,299.95,1,1,0,,ok
austin_centre,way/1134169124,1,152.09896035143504,,0,,1,152.1,152.1,1,1,0,,ok
austin_centre,way/1135532954,1,343.76850024929115,,0,,1,343.77,343.77,1,1,0,,ok
austin_centre,way/1213502014,1,284.94551133604284,,0,,1,284.87,284.87,1,1,0,,ok
austin_centre,way/1213502015,1,350.710874023664,,0,,1,350.98,350.98,1,1,0,,ok
austin_centre,way/1213502016,1,249.03310423216527,,0,,1,248.99,248.99,1,1,0,,ok
austin_centre,way/1213502017,1,270.2382548552223,,0,,1,270.25,270.25,1,1,0,,ok
austin_centre,way/1213502018,1,309.3098341820485,,0,,1,305.82,305.82,1,1,0,,ok
austin_centre,way/1239928162,1,376.6065062469867,,0,,1,376.55,376.55,1,1,0,,ok
austin_centre,way/1239928163,1,219.60822566337745,,0,,1,219.5,219.5,1,1,0,,ok
austin_centre,way/1243589069,1,177.75453420549357,,0,,1,178.04,178.04,1,1,0,,ok
austin_centre,way/1243589070,1,66.93548816305821,,0,,1,66.93,66.93,1,1,0,,ok
austin_centre,way/1243589071,1,50.78473503006105,,0,,1,50.78,50.78,1,1,0,,ok
austin_centre,way/1243589072,1,44.23094260042387,,0,,1,44.23,44.23,1,1,0,,ok
austin_centre,way/1243589074,1,54.32691746639085,,0,,1,54.33,54.33,1,1,0,,ok
austin_centre,way/1243589077,1,49.862562204944865,,0,,1,49.85,49.85,1,1,0,,ok
austin_centre,way/1311610010,1,344.0460077260523,,0,,1,344.05,344.05,1,1,0,,ok
austin_centre,way/1311610011,1,343.9677964342475,,0,,1,343.97,343.97,1,1,0,,ok
austin_centre,way/1311610012,1,339.9801049323695,,0,,1,339.98,339.98,1,1,0,,ok
austin_centre,way/1317011702,1,2440.452524855686,,0,,1,2440.55,2440.55,1,1,0,,ok
austin_centre,way/134807224,1,2009.2811017302179,21.0,0,42194.90313633458,21,42393.54,42393.54,1,1,0,1.0047076032624986,ok
austin_centre,way/134807225,1,3076.132074604122,10.0,0,30761.32074604122,90,30449.4,30449.4,1,1,0,0.9898599689975478,ok
austin_centre,way/134807226,1,2934.2671649312497,9.0,0,26408.404484381248,45,26408.43,26408.43,1,1,0,1.0000009661931213,ok
austin_centre,way/134807227,1,3916.9719991375073,,0,,1,3916.86,3916.86,1,1,0,,ok
austin_centre,way/134807228,1,6518.238899299346,,0,,1,6512.83,6512.83,1,1,0,,ok
austin_centre,way/134807229,1,708.7677029262534,,0,,1,708.77,708.77,1,1,0,,ok
austin_centre,way/134807252,1,1010.246810392859,10.0,0,10102.46810392859,50,10102.4,10102.4,1,1,0,0.9999932586841266,ok
austin_centre,way/134807256,1,2866.725088952877,8.0,0,22933.800711623015,8,22932.32,22932.32,1,1,0,0.9999354354020238,ok
austin_centre,way/134807260,1,2006.8535652972544,8.0,0,16054.828522378035,8,16053.92,16053.92,1,1,0,0.9999434112686555,ok
austin_centre,way/134807269,1,1039.4666063953944,9.0,0,9355.199457558549,45,9355.59,9355.59,1,1,0,1.0000417460304534,ok
austin_centre,way/135049613,1,1290.116229913687,,0,,1,1286.14,1286.14,1,1,0,,ok
austin_centre,way/135049616,1,1454.9093444662763,,0,,1,1454.99,1454.99,1,1,0,,ok
austin_centre,way/135049618,1,560.7977053149777,,0,,1,560.8,560.8,1,1,0,,ok
austin_centre,way/135049619,1,633.8298345245413,,0,,1,633.83,633.83,1,1,0,,ok
austin_centre,way/135049620,1,1121.0429795990808,,0,,1,1121.04,1121.04,1,1,0,,ok
austin_centre,way/135049621,1,2102.824358925536,,0,,1,2102.82,2102.82,1,1,0,,ok
austin_centre,way/135049622,1,468.9234960444572,,0,,1,468.92,468.92,1,1,0,,ok
austin_centre,way/135049626,1,955.7974844164851,,0,,1,955.8,955.8,1,1,0,,ok
austin_centre,way/1350740813,1,293.408889247136,,0,,1,289.69,289.69,1,1,0,,ok
austin_centre,way/1350740814,1,116.50410283992395,,0,,1,116.54,116.54,1,1,0,,ok
austin_centre,way/1350740815,1,174.82745935797547,,0,,1,174.85,174.85,1,1,0,,ok
austin_centre,way/1350740816,1,64.40818996849228,,0,,1,64.79,64.79,1,1,0,,ok
austin_centre,way/1350740817,1,176.23343172060146,,0,,1,181.99,181.99,1,1,0,,ok
austin_centre,way/1350777574,1,86.04574764692254,,0,,1,86.05,86.05,1,1,0,,ok
austin_centre,way/1352736089,1,43.13919663707474,,0,,1,43.14,43.14,1,1,0,,ok
austin_centre,way/1444415151,1,257.72452826097987,,0,,1,257.72,257.72,1,1,0,,ok
austin_centre,way/1507317989,1,197.55487328305006,,0,,1,197.55,197.55,1,1,0,,ok
austin_centre,way/1507317990,1,143.7864354093957,,0,,1,143.79,143.79,1,1,0,,ok
austin_centre,way/1507538789,1,318.5299214426081,,0,,1,318.48,318.48,1,1,0,,ok
austin_centre,way/1507538790,1,615.5726020933678,,0,,1,615.49,615.49,1,1,0,,ok
austin_centre,way/1507538791,1,54.20829361412751,,0,,1,54.22,54.22,1,1,0,,ok
austin_centre,way/1519744798,1,24.846546837842833,,0,,1,24.85,24.85,1,1,0,,ok
austin_centre,way/183289651,1,6363.415223722961,15.0,0,95451.22835584442,165,95102.1,95102.1,1,1,0,0.9963423377377311,ok
austin_centre,way/183289652,1,1847.950494549864,7.0,0,12935.653461849048,35,12935.72,12935.72,1,1,0,1.0000051437796436,ok
austin_centre,way/204413180,1,4062.125205071453,4.0,0,16248.500820285812,60,16254.72,16254.72,1,1,0,1.000382754063466,ok
austin_centre,way/204413181,1,2566.7722180302826,56.0,0,143739.24420969584,56,143825.36,143825.36,1,1,0,1.0005991111945631,ok
austin_centre,way/206163832,1,4973.604632138983,32.0,0,159155.34822844746,32,159326.4,159326.4,1,1,0,1.0010747472419654,ok
austin_centre,way/206163833,1,825.252483648807,,0,,1,825.25,825.25,1,1,0,,ok
austin_centre,way/206165495,1,2992.5758061003667,22.0,0,65836.66773420807,22,65836.76,65836.76,1,1,0,1.0000014014347192,ok
austin_centre,way/224057337,1,1817.4991809780217,,0,,1,1817.5,1817.5,1,1,0,,ok
austin_centre,way/231123149,1,8225.32419637317,,0,,1,8232.93,8232.93,1,1,0,,ok
austin_centre,way/231123152,1,2400.61589802645,29.0,0,69617.86104276705,29,69624.36,69624.36,1,1,0,1.000093351865966,ok
austin_centre,way/231123153,1,559.6676188801664,,0,,1,560.35,560.35,1,1,0,,ok
austin_centre,way/231123155,1,435.9720160203068,,0,,1,435.97,435.97,1,1,0,,ok
austin_centre,way/231123157,1,537.8613646101879,,0,,1,539.07,539.07,1,1,0,,ok
austin_centre,way/231123159,1,360.5426352287602,,0,,1,360.54,360.54,1,1,0,,ok
austin_centre,way/231123161,1,232.47694017986205,,0,,1,232.48,232.48,1,1,0,,ok
austin_centre,way/231125471,1,1527.7460750780008,,0,,1,1527.75,1527.75,1,1,0,,ok
austin_centre,way/231125474,1,3984.7781600142466,12.0,0,47817.33792017096,60,47817.24,47817.24,1,1,0,0.9999979522036307,ok
austin_centre,way/231125475,1,3943.7844479175255,,0,,1,3943.78,3943.78,1,1,0,,ok
austin_centre,way/231125476,1,1116.8830016298784,4.0,0,4467.532006519514,36,4135.12,4135.12,1,1,0,0.9255938164439736,ok
austin_centre,way/313180848,1,1610.214049877511,8.0,0,12881.712399020087,32,12881.68,12881.68,1,1,0,0.9999974848825153,ok
austin_centre,way/313180849,1,2477.592036426728,13.0,0,32208.696473547465,130,32208.8,32208.8,1,1,0,1.0000032142391306,ok
austin_centre,way/313917989,1,2494.373757532094,4.0,0,9977.495030128375,48,9998.76,9998.76,1,1,0,1.0021312934566653,ok
austin_centre,way/328520419,1,197.99775099967192,,0,,1,198.0,198.0,1,1,0,,ok
austin_centre,way/328520420,1,195.27174997510917,,0,,1,195.28,195.28,1,1,0,,ok
austin_centre,way/328520421,1,198.64933793859797,,0,,1,198.65,198.65,1,1,0,,ok
austin_centre,way/328520422,1,189.1818082362555,,0,,1,189.18,189.18,1,1,0,,ok
austin_centre,way/328520424,1,172.875148477218,,0,,1,172.88,172.88,1,1,0,,ok
austin_centre,way/328520425,1,170.58873816782784,,0,,1,170.59,170.59,1,1,0,,ok
austin_centre,way/328520426,1,318.6120980150598,,0,,1,318.52,318.52,1,1,0,,ok
austin_centre,way/328520427,1,305.5483349676147,,0,,1,307.03,307.03,1,1,0,,ok
austin_centre,way/328520428,1,176.52594813890732,,0,,1,176.53,176.53,1,1,0,,ok
austin_centre,way/328526438,1,1966.2489162155698,2.0,0,3932.4978324311396,10,3932.48,3932.48,1,1,0,0.9999954653678402,ok
austin_centre,way/328526439,1,327.4856485478656,,0,,1,327.49,327.49,1,1,0,,ok
austin_centre,way/328526440,1,660.3644200504938,31.0,0,20471.297021565308,31,20471.16,20471.16,1,1,0,0.9999933066495418,ok
austin_centre,way/328526441,1,557.2073330969902,,0,,1,557.21,557.21,1,1,0,,ok
austin_centre,way/328526442,1,508.16190874043883,,0,,1,508.16,508.16,1,1,0,,ok
austin_centre,way/328526443,1,429.95552062890494,,0,,1,429.96,429.96,1,1,0,,ok
austin_centre,way/328526444,1,400.7510516042331,,0,,1,400.75,400.75,1,1,0,,ok
austin_centre,way/328526445,1,566.571769335311,,0,,1,566.57,566.57,1,1,0,,ok
austin_centre,way/328526446,1,344.7497151789949,,0,,1,344.75,344.75,1,1,0,,ok
austin_centre,way/328526447,1,232.0329579379366,,0,,1,232.03,232.03,1,1,0,,ok
austin_centre,way/328526448,1,238.0519938721834,,0,,1,238.05,238.05,1,1,0,,ok
austin_centre,way/328526449,1,585.0146289369359,,0,,1,585.01,585.01,1,1,0,,ok
austin_centre,way/328526450,1,694.9138841806562,,0,,1,694.91,694.91,1,1,0,,ok
austin_centre,way/328526451,1,332.67399101295246,,0,,1,332.67,332.67,1,1,0,,ok
austin_centre,way/328526452,1,373.0746187406189,,0,,1,373.17,373.17,1,1,0,,ok
austin_centre,way/328526453,1,1361.770568825269,,0,,1,1361.86,1361.86,1,1,0,,ok
austin_centre,way/328526454,1,1103.4779640611396,5.0,0,5517.389820305698,25,5517.4,5517.4,1,1,0,1.0000018450199522,ok
austin_centre,way/328526455,1,650.7411680870289,,0,,1,650.74,650.74,1,1,0,,ok
austin_centre,way/328529688,1,247.75357192694017,,0,,1,247.75,247.75,1,1,0,,ok
