cell,n_buildings,height_null,levels_null,neither,height_only,levels_only,both_present,height_present_but_zero,dq_token_agree_height,dq_token_disagree_height,dq_token_agree_levels,dq_token_disagree_levels,neither_persisted_levels_1,neither_persisted_levels_1_pct
nyc_centre,738,121,602,107,14,495,122,0,738,0,738,0,107,100.0
nyc_urban,1779,40,1762,34,6,1728,11,0,1779,0,1779,0,34,100.0
nyc_suburban,1589,1589,1589,1589,0,0,0,0,1589,0,1589,0,1589,100.0
nyc_rural,198,198,198,198,0,0,0,0,198,0,198,0,198,100.0
la_centre,226,45,147,31,14,116,65,0,226,0,226,0,31,100.0
la_urban,618,42,587,29,13,558,18,0,618,0,618,0,29,100.0
la_suburban,1343,15,1337,15,0,1322,6,0,1343,0,1343,0,15,100.0
la_rural,149,1,146,0,1,146,2,0,149,0,149,0,0,0.0
austin_centre,413,349,295,247,102,48,16,0,413,0,413,0,247,100.0
austin_urban,425,47,421,43,4,378,0,0,425,0,425,0,43,100.0
austin_suburban,437,114,391,74,40,317,6,0,437,0,437,0,74,100.0
austin_rural,245,245,244,244,1,0,0,0,245,0,245,0,244,100.0
