cell,rows,crs_native,height_m_nan,height_m_nan_pct,levels_nan,levels_nan_pct,data_quality_flag_top,footprint_area_crs_used,footprint_area_min_m2,footprint_area_mean_m2,footprint_area_max_m2,geom_null,geom_empty,geom_invalid,geom_non_polygon,building_tag_n_distinct,building_tag_top5,building_tag_empty_count,all_columns_nan_pct
nyc_centre,738,EPSG:32618,121,16.396,602,81.572,"generic_tag,no_floors,no_function,no_year:391; generic_tag,no_function,no_year:75; generic_tag,no_floors,no_function,no_height:38; no_floors:36; no_floors,no_year:34","EPSG:32618 (already metric, no reprojection)",21.28,1143.41,155536.02,0,0,0,0,19,yes:581; commercial:54; hotel:33; theatre:20; office:14,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 81.572, ""height_m"": 16.396, ""year_built"": 78.591, ""postcode"": 28.049, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 99.864, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
nyc_urban,1779,EPSG:32618,40,2.248,1762,99.044,"generic_tag,no_floors,no_function,no_year:1468; no_floors,no_year:250; generic_tag,no_floors,no_function,no_height,no_year:21; no_floors,no_height,no_year:12; generic_tag,no_floors,no_year:10","EPSG:32618 (already metric, no reprojection)",20.39,176.77,11077.47,0,0,0,0,10,yes:1512; garage:220; apartments:29; construction:8; school:3,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 99.044, ""height_m"": 2.248, ""year_built"": 100.0, ""postcode"": 30.691, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
nyc_suburban,1589,EPSG:32618,1589,100.0,1589,100.0,"no_floors,no_height,no_year:1269; generic_tag,no_floors,no_function,no_height,no_year:310; generic_tag,no_floors,no_height,no_year:10","EPSG:32618 (already metric, no reprojection)",20.52,114.64,5132.61,0,0,0,0,3,house:979; yes:320; garage:290,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 100.0, ""height_m"": 100.0, ""year_built"": 100.0, ""postcode"": 32.284, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
nyc_rural,198,EPSG:32618,198,100.0,198,100.0,"generic_tag,no_floors,no_function,no_height,no_year:113; generic_tag,no_floors,no_height,no_year:43; no_floors,no_height,no_year:41; generic_tag,no_floors,no_height:1","EPSG:32618 (already metric, no reprojection)",21.87,243.86,3884.8,0,0,0,0,12,yes:157; residential:13; house:9; commercial:4; hotel:4,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 100.0, ""height_m"": 100.0, ""year_built"": 99.495, ""postcode"": 40.404, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
la_centre,226,EPSG:32611,45,19.912,147,65.044,"no_floors:68; :37; generic_tag,no_floors,no_function,no_year:18; generic_tag,no_floors,no_function,no_height,no_year:17; no_floors,no_year:16","EPSG:32611 (already metric, no reprojection)",20.05,1833.95,17661.13,0,0,0,0,19,yes:76; retail:52; commercial:37; apartments:21; roof:10,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 65.044, ""height_m"": 19.912, ""year_built"": 48.23, ""postcode"": 66.814, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
la_urban,618,EPSG:32611,42,6.796,587,94.984,"no_floors:510; no_floors,no_year:20; generic_tag,no_floors,no_function,no_height,no_year:18; generic_tag,no_floors,no_function,no_year:16; :16","EPSG:32611 (already metric, no reprojection)",23.37,773.03,10330.11,0,0,0,0,13,apartments:299; house:93; commercial:63; residential:63; yes:52,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 94.984, ""height_m"": 6.796, ""year_built"": 12.298, ""postcode"": 95.793, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
la_suburban,1343,EPSG:32611,15,1.117,1337,99.553,"no_floors:1288; generic_tag,no_floors,no_function,no_year:27; generic_tag,no_floors,no_function,no_height,no_year:10; :6; no_floors,no_year:6","EPSG:32611 (already metric, no reprojection)",20.08,194.98,6869.2,0,0,0,0,12,house:1261; yes:40; residential:12; apartments:10; civic:6,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 99.553, ""height_m"": 1.117, ""year_built"": 3.574, ""postcode"": 58.377, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
la_rural,149,EPSG:32611,1,0.671,146,97.987,"generic_tag,no_floors,no_function:91; no_floors:31; generic_tag,no_floors,no_function,no_year:14; no_floors,no_year:5; generic_tag,no_floors,no_year:4","EPSG:32611 (already metric, no reprojection)",28.31,509.08,22443.66,0,0,0,0,6,yes:113; industrial:14; warehouse:11; house:8; residential:2,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 97.987, ""height_m"": 0.671, ""year_built"": 16.107, ""postcode"": 100.0, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
austin_centre,413,EPSG:32614,349,84.504,295,71.429,"generic_tag,no_floors,no_function,no_height,no_year:142; no_floors,no_height,no_year:53; generic_tag,no_floors,no_height,no_year:49; generic_tag,no_function,no_height,no_year:45; generic_tag,no_floors,no_function,no_year:42","EPSG:32614 (already metric, no reprojection)",24.28,1013.05,8225.32,0,0,0,0,19,yes:305; roof:29; office:18; retail:18; commercial:10,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 71.429, ""height_m"": 84.504, ""year_built"": 98.063, ""postcode"": 46.247, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
austin_urban,425,EPSG:32614,47,11.059,421,99.059,"generic_tag,no_floors,no_function,no_year:351; generic_tag,no_floors,no_function,no_height,no_year:34; no_floors,no_year:17; generic_tag,no_floors,no_year:10; no_floors,no_height,no_year:8","EPSG:32614 (already metric, no reprojection)",20.87,572.04,22109.98,0,0,0,0,7,yes:399; apartments:11; retail:4; parking:4; hospital:3,0,"{""osm_id"": 0.0, ""crs_utm"": 0.0, ""building_tag"": 0.0, ""function_tag"": 0.0, ""levels"": 99.059, ""height_m"": 11.059, ""year_built"": 100.0, ""postcode"": 95.529, ""underground"": 0.0, ""roof_shape"": 0.0, ""roof_height_m"": 100.0, ""footprint_area_m2"": 0.0, ""perimeter_m"": 0.0, ""surplus_tags"": 0.0, ""provenance_levels"": 0.0, ""provenance_height_m"": 0.0, ""provenance_year_built"": 0.0, ""provenance_building_tag"": 0.0, ""provenance_function_tag"": 0.0, ""provenance_postcode"": 0.0, ""provenance_geometry"": 0.0, ""data_quality_flag"": 0.0}"
