group,cell,mode,stem,n_zones,n_degenerate_zones,any_degenerate,min_volume_m3,max_volume_m3,median_volume_m3,stem_norm
control,la_rural,auto,way_222366800,1,1,True,10.0,10.0,10.0,way_222366800
control,la_rural,auto,way_472960895,2,2,True,10.0,10.0,10.0,way_472960895
control,la_rural,auto,way_472960930,1,1,True,10.0,10.0,10.0,way_472960930
control,la_rural,auto,way_472960931,2,2,True,10.0,10.0,10.0,way_472960931
control,la_rural,auto,way_472960932,2,2,True,10.0,10.0,10.0,way_472960932
control,la_rural,auto,way_472960933,2,2,True,10.0,10.0,10.0,way_472960933
control,la_rural,auto,way_472960934,2,2,True,10.0,10.0,10.0,way_472960934
control,la_rural,auto,way_472960935,2,2,True,10.0,10.0,10.0,way_472960935
control,la_rural,auto,way_472960936,15,12,True,10.0,1945.0,10.0,way_472960936
control,la_rural,auto,way_472960937,10,8,True,10.0,1596.82,10.0,way_472960937
control,la_rural,fast_zone,way_222366800,1,0,False,524.81,524.81,524.81,way_222366800
control,la_rural,fast_zone,way_472960895,2,0,False,362.04,362.04,362.04,way_472960895
control,la_rural,fast_zone,way_472960930,1,0,False,106.6,106.6,106.6,way_472960930
control,la_rural,fast_zone,way_472960931,2,0,False,105.03,105.03,105.03,way_472960931
control,la_rural,fast_zone,way_472960932,2,0,False,119.77,119.77,119.77,way_472960932
control,la_rural,fast_zone,way_472960933,2,0,False,1656.37,1656.37,1656.37,way_472960933
control,la_rural,fast_zone,way_472960934,2,0,False,305.31,305.31,305.31,way_472960934
control,la_rural,fast_zone,way_472960935,2,0,False,2994.26,2994.26,2994.26,way_472960935
control,la_rural,fast_zone,way_472960936,15,0,False,180.65,1945.0,1394.73,way_472960936
control,la_rural,fast_zone,way_472960937,10,0,False,160.61,1596.82,1405.7,way_472960937
control,la_rural,floor,way_222366800,1,0,False,524.81,524.81,524.81,way_222366800
control,la_rural,floor,way_472960895,2,0,False,362.04,362.04,362.04,way_472960895
control,la_rural,floor,way_472960930,1,0,False,106.6,106.6,106.6,way_472960930
control,la_rural,floor,way_472960931,2,0,False,105.03,105.03,105.03,way_472960931
control,la_rural,floor,way_472960932,2,0,False,119.77,119.77,119.77,way_472960932
control,la_rural,floor,way_472960933,2,0,False,1656.37,1656.37,1656.37,way_472960933
control,la_rural,floor,way_472960934,2,0,False,305.31,305.31,305.31,way_472960934
control,la_rural,floor,way_472960935,2,0,False,2994.26,2994.26,2994.26,way_472960935
control,la_rural,floor,way_472960936,3,0,False,5095.9,5095.9,5095.9,way_472960936
control,la_rural,floor,way_472960937,2,0,False,4729.63,4729.63,4729.63,way_472960937
control,la_urban,auto,relation_6356829,1,1,True,10.0,10.0,10.0,relation_6356829
control,la_urban,auto,relation_6356862,3,3,True,10.0,10.0,10.0,relation_6356862
control,la_urban,auto,relation_6378549,5,5,True,10.0,10.0,10.0,relation_6378549
control,la_urban,auto,relation_6378550,4,4,True,10.0,10.0,10.0,relation_6378550
