cell,stem,status,n_converge_warnings,n_vol_stub,n_temp_out_of_bounds,completed,n_severe_lines,bytes
nyc_centre,way_265296101,success,0,76,0,True,0,66230
nyc_centre,way_265296102,success,0,17,0,True,0,19663
nyc_centre,way_265296110,success,0,16,0,True,0,18700
nyc_centre,way_265296256,success,0,35,0,True,0,34179
nyc_centre,way_265296257,success,0,23,0,True,0,24291
nyc_centre,way_265296283,success,0,11,0,True,0,15819
nyc_centre,way_265296284,success,0,72,0,True,0,63179
nyc_centre,way_265296287,success,0,1,0,True,0,8156
nyc_centre,way_265301696,success,0,9,0,True,0,13211
nyc_centre,way_265301698,success,0,15,0,True,0,17905
nyc_centre,way_265301700,success,0,60,0,True,0,53774
nyc_centre,way_265301703,success,0,4,0,True,0,9208
nyc_centre,way_265301704,success,0,3,0,True,0,9661
nyc_centre,way_265301705,success,0,5,0,True,0,17995
nyc_centre,way_265301706,success,0,4,0,True,0,9208
nyc_centre,way_265301708,success,0,4,0,True,0,9208
nyc_centre,way_265301710,success,0,4,0,True,0,9208
nyc_centre,way_265301712,success,0,5,0,True,0,9998
nyc_centre,way_265301713,success,0,3,0,True,0,11979
nyc_centre,way_265301714,success,0,5,0,True,0,9998
nyc_centre,way_265301715,success,0,4,0,True,0,10283
nyc_centre,way_265301717,success,0,5,0,True,0,13727
nyc_centre,way_265301719,success,0,5,0,True,0,9998
nyc_centre,way_265301720,success,0,25,0,True,0,27632
nyc_centre,way_265301723,success,0,72,0,True,0,62710
nyc_centre,way_265301724,success,0,7,0,True,0,20295
nyc_centre,way_265301726,success,0,13,0,True,0,16315
nyc_centre,way_265301728,success,0,7,0,True,0,20279
nyc_centre,way_265301729,success,0,6,0,True,0,10788
nyc_centre,way_265301730,success,0,24,0,True,0,24904
nyc_centre,way_265301731,success,0,26,0,True,0,26495
nyc_centre,way_265301733,success,0,14,0,True,0,17278
nyc_centre,way_265301736,success,0,4,0,True,0,12769
nyc_centre,way_265301746,success,0,7,0,True,0,17632
nyc_centre,way_265301753,success,0,32,0,True,0,31007
nyc_centre,way_265301758,success,0,5,0,True,0,9998
nyc_centre,way_265301761,success,0,8,0,True,0,19832
nyc_centre,way_265301763,success,0,5,0,True,0,9998
nyc_centre,way_265301766,success,0,6,0,True,0,17003
nyc_centre,way_265301767,success,0,68,0,True,0,59798
nyc_centre,way_265301769,success,0,15,0,True,0,17801
nyc_centre,way_265301770,success,0,21,0,True,0,22519
nyc_centre,way_265301775,success,0,5,0,True,0,9830
nyc_centre,way_265301777,success,0,5,0,True,0,13561
nyc_centre,way_265301778,success,0,6,0,True,0,10788
