osm_id,source,levels_col,height_m_col,archetype_id,archetype_confidence,archetype_source,levels_imputed_for_archetype_decision,imputation_token_that_fired,use_class,group_median_used_for_use_class
way/42496314,3building_run_HEAD,51.0,,SuperTallBuilding,HIGH,RULE_HIGHRISE,51.0,OSM_OBSERVED,commercial,
way/42496352,3building_run_HEAD,,,SuperTallBuilding,MEDIUM,"RULE_HIGHRISE,GROUPMEDIAN_LEVELS_MED",51.0,GROUPMEDIAN_LEVELS_MED,commercial,51.0
way/42500728,3building_run_HEAD,,,SuperTallBuilding,MEDIUM,"RULE_HIGHRISE,GROUPMEDIAN_LEVELS_MED",51.0,GROUPMEDIAN_LEVELS_MED,commercial,51.0
way/42496314,fullcell_run_HEAD_n738,51.0,,SuperTallBuilding,HIGH,RULE_HIGHRISE,51.0,OSM_OBSERVED,commercial,
way/42496352,fullcell_run_HEAD_n738,,,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,19.0,GROUPMEDIAN_LEVELS_MED,commercial,19.0
way/42500728,fullcell_run_HEAD_n738,,,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,19.0,GROUPMEDIAN_LEVELS_MED,commercial,19.0
way/42496314,adopted_fixture_05_results_gpkg_at_0df422e,51.0,178.5,SuperTallBuilding,,,,,,
way/42496352,adopted_fixture_05_results_gpkg_at_0df422e,1.0,3.5,LargeOffice,,,,,,
way/42500728,adopted_fixture_05_results_gpkg_at_0df422e,1.0,3.5,LargeOffice,,,,,,
