path,size_bytes,file_type,mode,mode_basis
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/a2_run_multiplier/eplusout.eio,183160,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/a2_run_today/eplusout.eio,183418,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/a3_run_shorter_deletion/eplusout.eio,6751,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b01b_diag_noshrink/eplusout.eio,100034,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b01b_diag_overcap/eplusout.eio,99829,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b01b_diag_s1_reference/eplusout.eio,100023,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b01b_run_matched/eplusout.eio,99829,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b01b_run_today/eplusout.eio,99823,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1014146287/after_B05/eplusout.eio,179582,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1014146287/before_B05/eplusout.eio,179666,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091110/after_B05/eplusout.eio,182854,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091110/before_B05/eplusout.eio,182917,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091236/after_B05/eplusout.eio,182862,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091236/before_B05/eplusout.eio,182925,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091399/after_B05/eplusout.eio,182985,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091399/before_B05/eplusout.eio,183042,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091546/after_B05/eplusout.eio,76073,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091546/before_B05/eplusout.eio,76073,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091564/after_B05/eplusout.eio,182660,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108091564/before_B05/eplusout.eio,182717,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108092665/after_B05/eplusout.eio,183005,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108092665/before_B05/eplusout.eio,183062,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108092667/after_B05/eplusout.eio,182974,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_1108092667/before_B05/eplusout.eio,183037,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_815835740/after_B05/eplusout.eio,76197,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
docs/docs_DONE/SETUP/layoutAssigner/debug/storey-Matching/results/b05e_runs/way_815835740/before_B05/eplusout.eio,76197,eplusout.eio,layout_assign,prefix-rule:layoutAssigner-arc
