sample,cell,osm_id,recorded_dh_total_gj,reader_a_gj,reader_b_gj,a_reconciles_with_own_sum,agree
district_source_48,austin_centre,way_1008727470,0.72,0.72,,True,True
district_source_48,austin_centre,way_328529693,0.00,0.00,,True,True
district_source_48,austin_centre,way_328649870,0.00,0.00,,True,True
district_source_48,austin_centre,way_99725026,0.00,0.00,,True,True
district_source_48,austin_rural,way_1165379866,0.00,0.00,,True,True
district_source_48,austin_rural,way_1450171441,0.00,0.00,,True,True
district_source_48,austin_rural,way_1480414338,0.00,0.00,,True,True
district_source_48,austin_rural,way_762128912,0.00,0.00,,True,True
district_source_48,austin_suburban,way_382991214,0.00,0.00,,True,True
district_source_48,austin_suburban,way_382991392,0.00,0.00,,True,True
district_source_48,austin_suburban,way_382991906,0.00,0.00,,True,True
district_source_48,austin_suburban,way_382992872,0.00,0.00,,True,True
district_source_48,austin_urban,way_381810583,0.00,0.00,,True,True
district_source_48,austin_urban,way_381824501,0.00,0.00,,True,True
district_source_48,austin_urban,way_381824551,0.00,0.00,,True,True
district_source_48,austin_urban,way_381824762,0.00,0.00,,True,True
district_source_48,la_centre,way_425993511,576.02,576.02,,True,True
district_source_48,la_centre,way_425993516,0.00,0.00,,True,True
district_source_48,la_centre,way_427817563,0.00,0.00,,True,True
district_source_48,la_centre,way_905248736,0.00,0.00,,True,True
district_source_48,la_rural,way_472961040,0.00,0.00,,True,True
district_source_48,la_rural,way_472961122,0.00,0.00,,True,True
district_source_48,la_rural,way_472961221,0.00,0.00,,True,True
district_source_48,la_rural,way_472961296,0.00,0.00,,True,True
district_source_48,la_suburban,way_442340540,0.00,0.00,,True,True
district_source_48,la_suburban,way_442341109,0.00,0.00,,True,True
district_source_48,la_suburban,way_442621955,0.00,0.00,,True,True
district_source_48,la_suburban,way_442634561,0.00,0.00,,True,True
district_source_48,la_urban,relation_6387018,0.00,0.00,,True,True
district_source_48,la_urban,way_401911275,0.00,0.00,,True,True
district_source_48,la_urban,way_402222550,0.00,0.00,,True,True
district_source_48,la_urban,way_402279962,0.00,0.00,,True,True
district_source_48,nyc_centre,way_265424467,134.49,134.49,,True,True
district_source_48,nyc_centre,way_266170570,0.00,0.00,,True,True
district_source_48,nyc_centre,way_266170721,0.00,0.00,,True,True
district_source_48,nyc_centre,way_266170743,0.00,0.00,,True,True
district_source_48,nyc_rural,way_270445757,0.00,0.00,,True,True
district_source_48,nyc_rural,way_772627016,0.00,0.00,,True,True
district_source_48,nyc_rural,way_772627029,0.00,0.00,,True,True
district_source_48,nyc_rural,way_772627043,0.00,0.00,,True,True
district_source_48,nyc_suburban,way_610017070,0.00,0.00,,True,True
district_source_48,nyc_suburban,way_815835776,0.00,0.00,,True,True
district_source_48,nyc_suburban,way_846412091,0.00,0.00,,True,True
district_source_48,nyc_suburban,way_846412106,0.34,0.34,,True,True
district_source_48,nyc_urban,way_241862173,0.00,0.00,,True,True
district_source_48,nyc_urban,way_241862488,0.77,0.77,,True,True
district_source_48,nyc_urban,way_241862544,0.00,0.00,,True,True
district_source_48,nyc_urban,way_281344759,0.00,0.00,,True,True
production_sample_60,austin_centre,relation/13781131,98.50,98.50,,True,True
production_sample_60,austin_centre,way/135049621,12.66,12.66,,True,True
production_sample_60,austin_centre,way/328535175,1.39,1.39,,True,True
production_sample_60,austin_centre,way/328634462,8.48,8.48,,True,True
