num_floors,imputed_overall_count,imputed_overall_pct,imputed_u500m2_count,imputed_u500m2_pct,real_measured_control_count,real_measured_control_pct
1,3180,41.45,2810,51.87,85,17.42
2,1939,25.27,1637,30.22,49,10.04
3,1405,18.31,828,15.29,34,6.97
4,408,5.32,138,2.55,47,9.63
5,195,2.54,1,0.02,46,9.43
6,138,1.8,2,0.04,38,7.79
7,75,0.98,1,0.02,23,4.71
8,38,0.5,0,0.0,13,2.66
9,24,0.31,0,0.0,9,1.84
10,17,0.22,0,0.0,13,2.66
11,18,0.23,0,0.0,9,1.84
12,15,0.2,0,0.0,19,3.89
13,18,0.23,0,0.0,11,2.25
14,36,0.47,0,0.0,1,0.2
15,22,0.29,0,0.0,7,1.43
16,17,0.22,0,0.0,12,2.46
17,23,0.3,0,0.0,7,1.43
18,10,0.13,0,0.0,5,1.02
19,21,0.27,0,0.0,3,0.61
20,9,0.12,0,0.0,3,0.61
21,5,0.07,0,0.0,3,0.61
22,8,0.1,0,0.0,6,1.23
23,11,0.14,0,0.0,1,0.2
24,7,0.09,0,0.0,2,0.41
25,2,0.03,0,0.0,3,0.61
26,8,0.1,0,0.0,1,0.2
27,3,0.04,0,0.0,1,0.2
28,2,0.03,0,0.0,0,0.0
29,2,0.03,0,0.0,1,0.2
30,2,0.03,0,0.0,2,0.41
31,1,0.01,0,0.0,3,0.61
32,1,0.01,0,0.0,4,0.82
33,0,0.0,0,0.0,1,0.2
35,1,0.01,0,0.0,1,0.2
36,1,0.01,0,0.0,2,0.41
37,0,0.0,0,0.0,1,0.2
38,1,0.01,0,0.0,0,0.0
39,0,0.0,0,0.0,3,0.61
40,1,0.01,0,0.0,1,0.2
42,0,0.0,0,0.0,2,0.41
43,0,0.0,0,0.0,1,0.2
44,0,0.0,0,0.0,2,0.41
45,2,0.03,0,0.0,2,0.41
46,1,0.01,0,0.0,1,0.2
47,0,0.0,0,0.0,2,0.41
48,0,0.0,0,0.0,1,0.2
49,1,0.01,0,0.0,0,0.0
50,0,0.0,0,0.0,1,0.2
51,0,0.0,0,0.0,1,0.2
55,1,0.01,0,0.0,0,0.0
56,0,0.0,0,0.0,1,0.2
58,0,0.0,0,0.0,1,0.2
63,0,0.0,0,0.0,1,0.2
67,0,0.0,0,0.0,1,0.2
70,0,0.0,0,0.0,1,0.2
88,1,0.01,0,0.0,0,0.0
93,1,0.01,0,0.0,0,0.0
105,1,0.01,0,0.0,0,0.0
