cell,rank,osm_id,idf_stem,idf_path,n_idfs_in_cell,stride_k
austin_centre,0,relation/13781131,relation_13781131,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_centre\fleet_staging\idfs\relation_13781131.idf,413,82
austin_centre,1,way/135049621,way_135049621,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_centre\fleet_staging\idfs\way_135049621.idf,413,82
austin_centre,2,way/328535175,way_328535175,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_centre\fleet_staging\idfs\way_328535175.idf,413,82
austin_centre,3,way/328634462,way_328634462,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_centre\fleet_staging\idfs\way_328634462.idf,413,82
austin_centre,4,way/448210521,way_448210521,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_centre\fleet_staging\idfs\way_448210521.idf,413,82
austin_rural,0,relation/19829553,relation_19829553,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_rural\fleet_staging\idfs\relation_19829553.idf,245,49
austin_rural,1,way/103754360,way_103754360,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_rural\fleet_staging\idfs\way_103754360.idf,245,49
austin_rural,2,way/1450169424,way_1450169424,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_rural\fleet_staging\idfs\way_1450169424.idf,245,49
austin_rural,3,way/1480414356,way_1480414356,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_rural\fleet_staging\idfs\way_1480414356.idf,245,49
austin_rural,4,way/74457837,way_74457837,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_rural\fleet_staging\idfs\way_74457837.idf,245,49
austin_suburban,0,relation/5698619,relation_5698619,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_suburban\fleet_staging\idfs\relation_5698619.idf,437,87
austin_suburban,1,way/382991348,way_382991348,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_suburban\fleet_staging\idfs\way_382991348.idf,437,87
austin_suburban,2,way/382991635,way_382991635,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_suburban\fleet_staging\idfs\way_382991635.idf,437,87
