cell,osm_id,archetype_id,zoning_strategy,footprint_area_m2,levels,floor_area_m2,derived_area_m2,ratio
austin_centre,way/37417988,LargeOffice,perimeter_core,2898.551036296464,11.0,31884.04999999999,31884.061399261107,0.9999996424777579
austin_centre,way/37417989,LargeOffice,single_zone,4168.517429379388,1.0,4168.52,4168.517429379388,1.0000006166750304
austin_centre,way/37546502,TallBuilding,one_zone_per_floor,6241.528482257134,33.0,205970.49,205970.4399144854,1.0000002431684596
austin_centre,way/42806788,Courthouse,single_zone,1587.6862515231055,1.0,1587.69,1587.6862515231055,1.0000023609682902
austin_centre,way/42806812,Courthouse,perimeter_core,1569.033571864679,6.0,9414.239999999998,9414.201431188074,1.0000040968755775
austin_centre,way/52143469,LargeOffice,perimeter_core,6614.754527315943,2.0,13229.52,13229.509054631886,1.0000008273449958
austin_centre,way/55932516,HighriseApartment,one_zone_per_floor,1562.4128466366533,45.0,70308.45000000008,70308.57809864939,0.9999981780509182
austin_centre,way/55932517,FullServiceRestaurant,single_zone,941.8777955328032,1.0,941.88,941.8777955328032,1.000002340502353
austin_centre,way/55932518,LargeOffice,single_zone,2116.3210197818944,1.0,2116.32,2116.3210197818944,0.9999995181345908
austin_centre,way/55932520,LargeOffice,perimeter_core,5977.458290220164,6.0,35864.82,35864.74974132098,1.0000019589898028
austin_centre,way/55932522,SmallOffice,single_zone,951.0555995996692,1.0,951.06,951.0555995996692,1.000004626859179
austin_centre,way/55932526,Courthouse,perimeter_core,2951.699402340413,7.0,20661.83,20661.895816382894,0.99999681460097
austin_centre,way/55932527,SmallOffice,single_zone,989.9245477648795,1.0,989.92,989.9245477648795,0.9999954059479687
austin_centre,way/55932528,MediumOffice,single_zone,1365.5783189520855,1.0,1365.58,1365.5783189520855,1.000001231015381
austin_centre,way/55932530,LargeOffice,single_zone,2720.211145239571,1.0,2720.21,2720.211145239571,0.9999995789887218
austin_centre,way/55932532,LargeOffice,perimeter_core,6443.620764293491,6.0,38661.77999999999,38661.72458576095,1.0000014333100666
austin_centre,way/55932533,MediumOffice,single_zone,1405.38951219994,1.0,1405.39,1405.38951219994,1.0000003470924295
austin_centre,way/55932534,SuperTallBuilding,one_zone_per_floor,1749.2534942991997,58.0,101456.5,101456.70266935359,0.9999980024054769
austin_centre,way/99256718,LargeOffice,perimeter_core,1616.135843900825,8.0,12929.04,12929.0867512066,0.9999963840287022
austin_centre,way/99256722,MediumOffice,single_zone,1533.8636571141587,1.0,1533.86,1533.8636571141587,0.9999976157501732
