cell,mode,stem,has_sql,has_end,has_err,has_eio,sql_bytes,n_dict_rows,n_zone_keys,n_abups_enduse_rows,has_elec_facility,has_gas_facility,sql_open_error
austin_centre,auto,relation_13781131,True,True,True,True,401408,10,0,0,True,True,
austin_centre,auto,relation_7480583,True,True,True,False,204800,10,0,0,True,True,
austin_centre,auto,way_1008727466,True,True,True,False,204800,9,0,0,True,True,
austin_centre,auto,way_1008727467,True,True,True,False,204800,9,0,0,True,True,
austin_centre,auto,way_1008727468,True,True,True,False,204800,9,0,0,True,True,
austin_centre,auto,way_1008727469,True,True,True,False,196608,9,0,0,True,True,
austin_centre,auto,way_1008727470,True,True,True,False,196608,9,0,0,True,True,
austin_centre,auto,way_1020753276,True,True,True,False,208896,12,0,0,True,True,
austin_centre,auto,way_1020754973,True,True,True,False,217088,9,0,0,True,True,
austin_centre,auto,way_1020754974,True,True,True,False,270336,9,0,0,True,True,
austin_centre,auto,way_1020979628,True,True,True,False,200704,9,0,0,True,True,
austin_centre,auto,way_1020979629,True,True,True,False,200704,9,0,0,True,True,
austin_centre,auto,way_1020979630,True,True,True,False,208896,12,0,0,True,True,
austin_centre,auto,way_1021167043,True,True,True,False,196608,9,0,0,True,True,
austin_centre,auto,way_1021167044,True,True,True,False,204800,12,0,0,True,True,
austin_centre,auto,way_1021167045,True,True,True,False,200704,9,0,0,True,True,
austin_centre,auto,way_1022725553,True,True,True,False,188416,9,0,0,True,True,
austin_centre,auto,way_1025013853,True,True,True,False,761856,10,0,0,True,True,
austin_centre,auto,way_1029943785,True,True,True,False,208896,9,0,0,True,True,
austin_centre,auto,way_1029943786,True,True,True,False,241664,10,0,0,True,True,
austin_centre,auto,way_1032979883,True,True,True,False,204800,12,0,0,True,True,
austin_centre,auto,way_1034698229,True,True,True,False,188416,9,0,0,True,True,
austin_centre,auto,way_1034702476,True,True,True,False,188416,9,0,0,True,True,
austin_centre,auto,way_1039387743,True,True,True,False,212992,9,0,0,True,True,
