cell,stem,known_failure,n_zones,diff_check,min_written_volume_m3,max_written_volume_m3,base_completed,base_vol_warnings,base_n_severe,base_n_fatal,base_site_energy_gj,base_floor_area_m2,base_eui_kwh_m2,treat_completed,treat_vol_warnings,treat_n_severe,treat_n_fatal,treat_site_energy_gj,treat_floor_area_m2,treat_eui_kwh_m2,delta_eui,pct_change
la_rural,way_472960972,True,3,"OK 3 zones, field 9 only",11961.51,11961.51,False,3,11,1,,,,True,0,0,0,712.25,10252.73,19.297029966652786,,
la_rural,way_472961034,True,3,"OK 3 zones, field 9 only",4894.75,4894.75,False,3,25,1,,,,True,0,0,0,299.26,4195.5,19.81355843832678,,
la_rural,way_472961088,True,3,"OK 3 zones, field 9 only",5445.57,5445.57,False,3,25,1,,,,True,0,0,0,332.39,4667.63,19.781037259165785,,
la_rural,way_472961091,True,3,"OK 3 zones, field 9 only",4743.3,4743.3,False,3,9,1,,,,True,0,0,0,291.0,4065.68,19.8818745695677,,
la_rural,way_472961171,True,3,"OK 3 zones, field 9 only",78552.8,78552.8,False,3,21,1,,,,True,0,0,0,4429.78,67330.97,18.275312874357816,,
la_urban,way_402215469,True,6,"OK 6 zones, field 9 only",4128.73,4128.73,False,6,39,1,,,,True,0,0,0,461.73,7077.82,18.121164934118134,,
la_rural,way_222366800,False,1,"OK 1 zones, field 9 only",524.81,524.81,True,1,0,0,63.99,149.94,118.54742845138057,True,0,0,0,64.3,149.94,119.12173229291716,0.5743038415365902,0.4844506954211389
la_rural,way_472960895,False,2,"OK 2 zones, field 9 only",362.04,362.04,True,2,0,0,144.31,206.88,193.7650537412993,True,0,0,0,144.69,206.88,194.27527978538285,0.510226044083538,0.26332201510637404
la_rural,way_472960930,False,1,"OK 1 zones, field 9 only",106.6,106.6,True,1,0,0,5.67,30.46,51.70716106369009,True,0,0,0,5.74,30.46,52.34552107682207,0.6383600131319795,1.234567901234574
la_rural,way_472960931,False,2,"OK 2 zones, field 9 only",105.03,105.03,True,2,0,0,9.53,60.02,44.10567200933022,True,0,0,0,9.67,60.02,44.753604231922694,0.6479322225924733,1.469045120671573
la_rural,way_472960932,False,2,"OK 2 zones, field 9 only",119.77,119.77,True,2,0,0,10.19,68.44,41.35820838690824,True,0,0,0,10.36,68.44,42.04818831092928,0.6899799240210385,1.668302257114814
nyc_rural,way_1055839510,False,1,"OK 1 zones, field 9 only",838.16,838.16,True,1,0,0,105.09,239.47,121.90115255355578,True,0,0,0,106.21,239.47,123.20031794379254,1.299165390236766,1.0657531639546998
nyc_rural,way_1103897140,False,1,"OK 1 zones, field 9 only",383.68,383.68,True,1,0,0,58.89,109.62,149.22764679802955,True,0,0,0,59.39,109.62,150.4946500821018,1.2670032840722456,0.8490405841399192
nyc_rural,way_1103897841,False,1,"OK 1 zones, field 9 only",820.7,820.7,True,1,0,0,180.72,234.49,214.0816410763785,True,0,0,0,180.6,234.49,213.93948859226407,-0.14215248411443326,-0.06640106241698564
nyc_rural,way_1103897842,False,1,"OK 1 zones, field 9 only",322.53,322.53,True,1,0,0,96.47,92.15,290.80004737927294,True,0,0,0,96.77,92.15,291.7043701139446,0.9043227346716662,0.31097750596037993
nyc_rural,way_1103897844,False,1,"OK 1 zones, field 9 only",92.35,92.35,True,1,0,0,49.77,26.39,523.8727209549072,True,0,0,0,49.89,26.39,525.1358257673362,1.2631048124289919,0.24110910186860343
