stem,osm_id,archetype_id,cell,city,task_id,floor_area_m2,area_provenance,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,total_eui_kwh_m2,total_kwh,gwp_total_kgco2_m2,gwp_total_kgco2
relation_13781131,relation/13781131,LargeOffice,austin_centre,austin,1,16319.000000000004,ok,13.229198531268487,33.93867693330501,26.465020456241188,50.94547941077054,40.41367993217774,12.109424626693288,2.247763168494988,0.0,0.0,179.34924305895123,2926800.297479026,63.897504982240434,1042743.3838051818
relation_7480583,relation/7480583,HighriseApartment,austin_centre,austin,2,301996.3500000001,ok,0.0044920418489964,25.051151257104348,3.965492941030755,45.85986915693642,4.864715995851921,4.31564139552872,21.441347029155256,0.0,0.0,105.5027098174564,31861433.279981017,35.22045187851004,10636447.91266068
way_1008727466,way/1008727466,OpenUBEMUnknown,austin_centre,austin,3,82.13,ok,31.225043104789595,43.967008731245606,14.990102397904575,61.08581702645551,12.996502380317269,0.0,40.14525919363816,0.0,0.0,204.4097328343507,16788.171357685223,62.518849523862514,5134.673111394828
way_1008727467,way/1008727467,OpenUBEMUnknown,austin_centre,austin,4,95.99,ok,27.08781968490839,44.98634596098466,37.48717791542148,56.99046479449495,13.47650661999822,0.0,34.70535072321248,0.0,0.0,214.73366569902015,20612.284570448945,68.20506282218528,6547.003980301565
way_1008727468,way/1008727468,OpenUBEMUnknown,austin_centre,austin,5,73.99,ok,29.690001090615187,52.31041662380743,25.379346728837213,56.354712264275776,12.64499001300294,0.0,44.10947404766038,0.0,0.0,220.48894076819892,16313.976727439038,68.04764509190095,5034.845260349751
way_1008727469,way/1008727469,OpenUBEMUnknown,austin_centre,austin,6,81.75,ok,39.675410757202215,35.574915049500966,12.896496871277392,13.993433747734422,10.225213512452177,0.0,40.63397820219453,0.0,0.0,152.9994481403617,12507.704885474568,41.636888785971614,3403.81565825318
way_1008727470,way/1008727470,OpenUBEMUnknown,austin_centre,austin,7,87.96,ok,34.41206889549731,45.50783156056968,42.86457571173496,31.64658331597632,13.635973675682328,0.0,37.78678861236189,0.0,0.0,205.85382177182248,18106.902163049504,62.89830622552742,5532.535015597391
way_1020753276,way/1020753276,FullServiceRestaurant,austin_centre,austin,8,312.26,ok,116.0795950881812,145.35336019835873,72.73421989060614,428.427587169281,38.44613064475588,0.0,65.74527791094107,401.8890671360293,154.06950874271436,1422.7447467808677,444266.2746297937,418.4664007445714,130670.31829649989
way_1020754973,way/1020754973,RetailStandalone,austin_centre,austin,9,608.4,ok,30.91890832417913,37.096433976945,58.28186944277406,48.97447997866804,13.326879121627549,0.0,3.5013995599272225,0.0,0.0,192.09997040412097,116873.6219938672,65.68913541981698,39965.26998941665
way_1020754974,way/1020754974,RetailStandalone,austin_centre,austin,10,1442.88,ok,36.59903434971383,46.80902772669103,58.28103575800236,48.97377943019285,19.361023260427142,0.0,2.8992336381852,0.0,0.0,212.92313416321244,307222.53182141593,72.36298670256524,104411.10625339732
