cell,outcome,n_newly_filled,exception
nyc_suburban,exception,,"ValueError(""impute_column: bounds must be provided for PDE imputation on column 'height_m'."")"
nyc_rural,exception,,"ValueError(""impute_column: bounds must be provided for PDE imputation on column 'height_m'."")"
austin_rural,exception,,"ValueError(""impute_column: bounds must be provided for PDE imputation on column 'height_m'."")"
austin_centre,succeeded,349.0,
