cell,osm_id,archetype_id,stem,sql_path,abups_ok,meter_ok,gas_zero,raw_abups_diff
austin_centre,relation/13781131,LargeOffice,relation_13781131,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\relation_13781131\sim_out\eplusout.sql,True,False,False,1.5369384424732697e-06
austin_centre,relation/7480583,HighriseApartment,relation_7480583,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\relation_7480583\sim_out\eplusout.sql,True,False,False,1.9057835213435688e-08
austin_centre,way/1008727466,OpenUBEMUnknown,way_1008727466,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1008727466\sim_out\eplusout.sql,True,False,False,0.00014294994925095696
austin_centre,way/1008727467,OpenUBEMUnknown,way_1008727467,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1008727467\sim_out\eplusout.sql,True,False,False,0.0002473077635544188
austin_centre,way/1008727468,OpenUBEMUnknown,way_1008727468,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1008727468\sim_out\eplusout.sql,True,False,False,4.643498622296762e-05
austin_centre,way/1008727469,OpenUBEMUnknown,way_1008727469,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1008727469\sim_out\eplusout.sql,True,False,False,0.0007946235892867801
austin_centre,way/1008727470,OpenUBEMUnknown,way_1008727470,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1008727470\sim_out\eplusout.sql,True,False,False,0.0001867559592147963
austin_centre,way/1020753276,FullServiceRestaurant,way_1020753276,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1020753276\sim_out\eplusout.sql,True,False,False,7.151856020630799e-06
austin_centre,way/1020754973,RetailStandalone,way_1020754973,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1020754973\sim_out\eplusout.sql,True,False,False,1.2145595343466533e-05
austin_centre,way/1020754974,RetailStandalone,way_1020754974,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1020754974\sim_out\eplusout.sql,True,False,False,1.758794287605439e-06
austin_centre,way/1020979628,RetailStandalone,way_1020979628,C:\Users\o_iseri\AppData\Local\Temp\claude\C--Users-o-iseri-Desktop-OpenUBEM\89a28ab2-bc04-4d19-9e55-89a800c96691\scratchpad\open61_census_fleet_work\austin_centre\way_1020979628\sim_out\eplusout.sql,True,False,False,1.8191090209201375e-05
