dataset,cell,path,n_buildings,height_m_na,height_m_present_zero,pct_na,register_original_pct,matches_register_original,git_status
fleet_stage1_tracked,nyc_rural,docs\docs_VALIDATION\validations\overAll\results\phaseE\nyc_rural\01_buildings.gpkg,198,198,0,100.0,36.4,False,tracked
fleet_stage1_tracked,austin_rural,docs\docs_VALIDATION\validations\overAll\results\phaseE\austin_rural\01_buildings.gpkg,245,245,0,100.0,19.2,False,tracked
fleet_stage1_tracked,nyc_suburban,docs\docs_VALIDATION\validations\overAll\results\phaseE\nyc_suburban\01_buildings.gpkg,1589,1589,0,100.0,,,tracked
fleet_stage1_tracked,austin_centre,docs\docs_VALIDATION\validations\overAll\results\phaseE\austin_centre\01_buildings.gpkg,413,349,0,84.5036,,,tracked
utci_arc_backfilled_scratch,nyc_rural,scratchpad\e-utci-09-backfill\backfilled\nyc_rural_01_buildings_backfilled.gpkg,198,72,0,36.3636,36.4,True,"untracked, gitignored (.gitignore:41:scratchpad/	""scratchpad\\e-utci-09-backfill\\backfilled\\nyc_rural_01_buildings_backfilled.gpkg"")"
utci_arc_backfilled_scratch,austin_rural,scratchpad\e-utci-09-backfill\backfilled\austin_rural_01_buildings_backfilled.gpkg,245,47,0,19.1837,19.2,True,"untracked, gitignored (.gitignore:41:scratchpad/	""scratchpad\\e-utci-09-backfill\\backfilled\\austin_rural_01_buildings_backfilled.gpkg"")"
utci_arc_backfilled_scratch,nyc_suburban,scratchpad\e-utci-09-backfill\backfilled\nyc_suburban_01_buildings_backfilled.gpkg,1589,15,0,0.944,,,"untracked, gitignored (.gitignore:41:scratchpad/	""scratchpad\\e-utci-09-backfill\\backfilled\\nyc_suburban_01_buildings_backfilled.gpkg"")"
utci_arc_backfilled_scratch,austin_centre,scratchpad\e-utci-09-backfill\backfilled\austin_centre_01_buildings_backfilled.gpkg,413,11,0,2.6634,,,"untracked, gitignored (.gitignore:41:scratchpad/	""scratchpad\\e-utci-09-backfill\\backfilled\\austin_centre_01_buildings_backfilled.gpkg"")"
