part,column,value_a,value_b,equal,nonnull_both
a_double_run,_raw_n_severe,0,0,True,True
a_double_run,_raw_n_warnings,37,37,True,True
a_double_run,_raw_returncode,0,0,True,True
a_double_run,cooking_eui_kwh_m2,0.0,0.0,True,True
a_double_run,cooling_eui_kwh_m2,20.72408322689762,20.72408322689762,True,True
a_double_run,data_quality_flag,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",True,True
a_double_run,dhw_elec_eui_kwh_m2,3.511374326811812,3.511374326811812,True,True
a_double_run,dhw_eui_kwh_m2,3.511374326811812,3.511374326811812,True,True
a_double_run,dhw_gas_eui_kwh_m2,0.0,0.0,True,True
a_double_run,elevators_eui_kwh_m2,0.0,0.0,True,True
a_double_run,equipment_eui_kwh_m2,27.76440636677735,27.76440636677735,True,True
a_double_run,error_summary,,,True,True
a_double_run,fans_eui_kwh_m2,8.999987812549858,8.999987812549858,True,True
a_double_run,floor_area_m2,287.1,287.1,True,True
a_double_run,floor_area_provenance,eio_simulated,eio_simulated,True,True
a_double_run,gwp_cooling_kgco2_m2,,,True,False
a_double_run,gwp_equipment_kgco2_m2,,,True,False
a_double_run,gwp_heating_kgco2_m2,,,True,False
a_double_run,gwp_lighting_kgco2_m2,,,True,False
a_double_run,gwp_total_kgco2_m2,,,True,False
a_double_run,heating_eui_kwh_m2,12.551284417751102,12.551284417751102,True,True
a_double_run,iod,0.0,0.0,True,True
a_double_run,lighting_eui_kwh_m2,26.46474630581572,26.46474630581572,True,True
a_double_run,osm_id,way/1480414365,way/1480414365,True,True
a_double_run,pumps_eui_kwh_m2,0.0,0.0,True,True
a_double_run,refrigeration_eui_kwh_m2,0.0,0.0,True,True
a_double_run,simulation_status,success,success,True,True
a_double_run,total_eui_kwh_m2,100.01588245660348,100.01588245660348,True,True
b_step3_vs_fleet_staging,simulation_status,failed_fatal,failed_fatal,True,True
b_step3_vs_fleet_staging,severe_text_200c,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 1940305.55 C for zone=""WAY/266034056_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0006_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 20368972.40 C for zone=""WAY/266034056_F0_WHOLE"", for surface=""BLOCK WAY/266034056_WHOLE STOREY 0 WALL 0001""",False,True
