cell,building,zone,storey,is_topmost,n_storeys,is_fatal,n_surfaces,surface_types,boundary_conditions,n_constructions,total_surface_area_m2,min_z,max_z
la_rural,way_472960972,way/472960972_F0_whole,0,False,3,False,20,ceiling:1|floor:1|wall:18,Surface:1|ground:1|outdoors:18,2,7820.69,0.0,3.5
la_rural,way_472960972,way/472960972_F1_whole,1,False,3,True,20,ceiling:1|floor:1|wall:18,Surface:2|outdoors:18,2,7820.69,3.5,7.0
la_rural,way_472960972,way/472960972_F2_whole,2,True,3,False,20,floor:1|roof:1|wall:18,Surface:1|outdoors:19,3,7820.69,7.0,10.5
la_rural,way_472961034,way/472961034_F0_whole,0,False,3,False,10,ceiling:1|floor:1|wall:8,Surface:1|ground:1|outdoors:8,2,3337.73,0.0,3.5
la_rural,way_472961034,way/472961034_F1_whole,1,False,3,False,10,ceiling:1|floor:1|wall:8,Surface:2|outdoors:8,2,3337.73,3.5,7.0
la_rural,way_472961034,way/472961034_F2_whole,2,True,3,True,10,floor:1|roof:1|wall:8,Surface:1|outdoors:9,3,3337.73,7.0,10.5
la_rural,way_472961088,way/472961088_F0_whole,0,False,3,False,10,ceiling:1|floor:1|wall:8,Surface:1|ground:1|outdoors:8,2,3679.71,0.0,3.5
la_rural,way_472961088,way/472961088_F1_whole,1,False,3,False,10,ceiling:1|floor:1|wall:8,Surface:2|outdoors:8,2,3679.71,3.5,7.0
la_rural,way_472961088,way/472961088_F2_whole,2,True,3,True,10,floor:1|roof:1|wall:8,Surface:1|outdoors:9,3,3679.71,7.0,10.5
la_rural,way_472961091,way/472961091_F0_whole,0,False,3,False,10,ceiling:1|floor:1|wall:8,Surface:1|ground:1|outdoors:8,2,3244.67,0.0,3.5
la_rural,way_472961091,way/472961091_F1_whole,1,False,3,False,10,ceiling:1|floor:1|wall:8,Surface:2|outdoors:8,2,3244.67,3.5,7.0
la_rural,way_472961091,way/472961091_F2_whole,2,True,3,True,10,floor:1|roof:1|wall:8,Surface:1|outdoors:9,3,3244.67,7.0,10.5
la_rural,way_472961171,way/472961171_F0_whole,0,False,3,False,14,ceiling:1|floor:1|wall:12,Surface:1|ground:1|outdoors:12,2,47552.5,0.0,3.5
la_rural,way_472961171,way/472961171_F1_whole,1,False,3,False,14,ceiling:1|floor:1|wall:12,Surface:2|outdoors:12,2,47552.5,3.5,7.0
la_rural,way_472961171,way/472961171_F2_whole,2,True,3,True,14,floor:1|roof:1|wall:12,Surface:1|outdoors:13,3,47552.5,7.0,10.5
la_urban,way_402215469,way/402215469_F0_whole,0,False,6,False,16,ceiling:1|floor:1|wall:14,Surface:1|ground:1|outdoors:14,2,2869.58,0.0,3.5
la_urban,way_402215469,way/402215469_F1_whole,1,False,6,False,16,ceiling:1|floor:1|wall:14,Surface:2|outdoors:14,2,2869.58,3.5,7.0
la_urban,way_402215469,way/402215469_F2_whole,2,False,6,False,16,ceiling:1|floor:1|wall:14,Surface:2|outdoors:14,2,2869.58,7.0,10.5
la_urban,way_402215469,way/402215469_F3_whole,3,False,6,False,16,ceiling:1|floor:1|wall:14,Surface:2|outdoors:14,2,2869.58,10.5,14.0
la_urban,way_402215469,way/402215469_F4_whole,4,False,6,True,16,ceiling:1|floor:1|wall:14,Surface:2|outdoors:14,2,2869.58,14.0,17.5
la_urban,way_402215469,way/402215469_F5_whole,5,True,6,False,16,floor:1|roof:1|wall:14,Surface:1|outdoors:15,3,2869.58,17.5,21.0
