cell,status,moving_cell,n_unknown_before,n_unknown_after,lighting_w_m2_min_before,lighting_w_m2_mean_before,lighting_w_m2_max_before,lighting_w_m2_min_after,lighting_w_m2_mean_after,lighting_w_m2_max_after,equipment_w_m2_min_before,equipment_w_m2_mean_before,equipment_w_m2_max_before,equipment_w_m2_min_after,equipment_w_m2_mean_after,equipment_w_m2_max_after,occupant_m2_per_person_min_before,occupant_m2_per_person_mean_before,occupant_m2_per_person_max_before,occupant_m2_per_person_min_after,occupant_m2_per_person_mean_after,occupant_m2_per_person_max_after,wwr_min_before,wwr_mean_before,wwr_max_before,wwr_min_after,wwr_mean_after,wwr_max_after,heating_setpoint_c_min_before,heating_setpoint_c_mean_before,heating_setpoint_c_max_before,heating_setpoint_c_min_after,heating_setpoint_c_mean_after,heating_setpoint_c_max_after,cooling_setpoint_c_min_before,cooling_setpoint_c_mean_before,cooling_setpoint_c_max_before,cooling_setpoint_c_min_after,cooling_setpoint_c_mean_after,cooling_setpoint_c_max_after,heating_setback_c_min_before,heating_setback_c_mean_before,heating_setback_c_max_before,heating_setback_c_min_after,heating_setback_c_mean_after,heating_setback_c_max_after,cooling_setup_c_min_before,cooling_setup_c_mean_before,cooling_setup_c_max_before,cooling_setup_c_min_after,cooling_setup_c_mean_after,cooling_setup_c_max_after,n_wwr_changed_gt_0.01,n_unknown_matched_by_osm_id
austin_centre,OK,True,37,37,8.049074624578662,13.926331475380966,19.091124866895555,3.9103399028242882,10.947615960241297,18.44332689510977,7.443340504565597,50.408059156691955,83.67161690146176,334.5072059623633,2911.9542827878427,5297.832343073563,5.70497579706782,26.36782651817148,49.668242727801776,41.38399583979826,224.1418234893592,407.2600766149607,0.21433273549564252,0.2978974034992211,0.39212625051587463,0.12652358283187107,0.24073796262272923,0.38612373676770395,21.1,21.100000000000005,21.1,21.1,21.100000000000005,21.1,23.9,23.899999999999995,23.9,23.9,23.899999999999995,23.9,15.6,15.600000000000001,15.6,15.6,15.600000000000001,15.6,29.4,29.400000000000006,29.4,29.4,29.400000000000006,29.4,34,37
austin_rural,OK,False,7,7,8.646001572468647,15.316702441386171,19.091124866895555,8.002720483378306,13.64195467661131,18.403895116997994,18.32303830406668,59.92295733821358,90.28152549525902,391.00738231806577,3101.9736978644332,5372.21412839092,7.6143115460389446,27.917722552942557,43.09346793905544,84.51064794789761,237.40987793513818,441.0868415212248,0.21832271549957347,0.3104799281106461,0.39443262463503165,0.12148450250433791,0.20710902667679187,0.3251281027311368,21.1,21.099999999999998,21.1,21.1,21.099999999999998,21.1,23.9,23.900000000000002,23.9,23.9,23.900000000000002,23.9,15.6,15.599999999999998,15.6,15.6,15.599999999999998,15.6,29.4,29.400000000000002,29.4,29.4,29.400000000000002,29.4,7,7
austin_suburban,OK,False,24,24,8.286234484834477,14.666305444615103,19.091124866895555,4.87743490547373,13.13939407718503,19.304381091572985,10.726719297429312,49.90077811706758,93.95262689232231,141.86927319228744,2895.9496080100507,5284.088033274968,4.991977429934207,25.670579380555854,41.20263733497433,43.01155818530653,187.97446929561616,390.3974675154239,0.2143152938954335,0.29187481000468374,0.37214658392095157,0.1029776444011557,0.2295796480151182,0.3820183713367673,21.1,21.1,21.1,21.1,21.1,21.1,23.9,23.899999999999995,23.9,23.9,23.899999999999995,23.9,15.6,15.6,15.6,15.6,15.6,15.6,29.4,29.399999999999995,29.4,29.4,29.399999999999995,29.4,23,24
austin_urban,OK,False,5,5,8.646001572468647,14.315257350844394,17.70438535094988,5.600722064493439,9.233870265649394,13.900789467029512,18.32303830406668,62.66589324914268,94.6835738824717,1571.3591243527283,2362.6134709680505,3528.6748377114473,24.50363248431121,35.947083753228114,48.0043560786304,33.35632519359316,221.6954239785663,392.0079954502745,0.2221252786597933,0.29758758076873854,0.3672499226785906,0.1360161396887571,0.26681519863860526,0.3651669348407458,21.1,21.1,21.1,21.1,21.1,21.1,23.9,23.9,23.9,23.9,23.9,23.9,15.6,15.6,15.6,15.6,15.6,15.6,29.4,29.4,29.4,29.4,29.4,29.4,4,5
la_centre,OK,True,15,15,4.941186925329133,13.186680539922095,18.99142028508989,5.379053438273004,13.055339816232264,19.25359397405055,6.710695113735674,50.37284064632513,94.11682370043937,29.974922300818427,2304.550179120694,4934.761981236156,64.39700265862335,240.2461700934728,449.57870065452016,60.8528566183026,198.82946197393088,425.23559629068177,0.10220868092530166,0.23459485974329916,0.34142930724904064,0.10528313401491737,0.22235601813472025,0.3957239328042502,21.1,21.100000000000005,21.1,21.1,21.100000000000005,21.1,23.9,23.89999999999999,23.9,23.9,23.89999999999999,23.9,15.6,15.599999999999998,15.6,15.6,15.599999999999998,15.6,29.4,29.399999999999988,29.4,29.4,29.399999999999988,29.4,14,15
la_rural,OK,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
la_suburban,OK,False,2,2,9.018144969248585,11.147563173197439,13.276981377146292,6.445360927669336,7.403028674638889,8.360696421608441,12.043284154335566,13.137228963766512,14.231173773197458,804.5179010996103,936.9058833527966,1069.293865605983,47.959336973093386,250.63439391014415,453.3094508471949,58.69201537194747,233.902717771074,409.1134201702005,0.32834191059710593,0.3320806010900961,0.3358192915830862,0.19454535913052315,0.24685823184585032,0.2991711045611775,21.1,21.1,21.1,21.1,21.1,21.1,23.9,23.9,23.9,23.9,23.9,23.9,15.6,15.6,15.6,15.6,15.6,15.6,29.4,29.4,29.4,29.4,29.4,29.4,2,2
la_urban,OK,True,2,2,10.435722329647714,13.106290871814885,15.776859413982054,5.852208152275114,7.778276086933815,9.704344021592515,68.341805140298,75.94379449397069,83.54578384764336,2681.8749356651397,3924.090350671544,5166.305765677948,47.959336973093386,250.63439391014415,453.3094508471949,47.853599550263915,118.19274849159824,188.53189743293257,0.32834191059710593,0.3320806010900961,0.3358192915830862,0.1805527417638561,0.26814335387979815,0.35573396599574014,21.1,21.1,21.1,21.1,21.1,21.1,23.9,23.9,23.9,23.9,23.9,23.9,15.6,15.6,15.6,15.6,15.6,15.6,29.4,29.4,29.4,29.4,29.4,29.4,2,2
nyc_centre,OK,True,35,35,8.049074624578662,14.183698832734903,19.091124866895555,3.5851980797988383,10.328585342371978,19.028447582440126,7.443340504565597,49.32009747095041,81.80430546481115,7.548556173458094,2522.637664989358,5352.349408683989,5.70497579706782,26.0390912804168,49.668242727801776,24.353453554944586,263.3222757671234,446.88788930962016,0.21433273549564252,0.2964798538415401,0.39212625051587463,0.10152048459639529,0.22202378126783376,0.3826078366808551,21.1,21.100000000000005,21.1,21.1,21.100000000000005,21.1,23.9,23.899999999999995,23.9,23.9,23.899999999999995,23.9,15.6,15.6,15.6,15.6,15.6,15.6,29.4,29.4,29.4,29.4,29.4,29.4,29,35
nyc_rural,OK,False,5,5,8.646001572468647,14.315257350844394,17.70438535094988,8.351167330765046,9.962373510752661,13.922695212139192,14.948838062521046,61.19631951855645,94.58923238330595,1772.7643585608398,3084.5792571510765,4322.457284244159,21.8735682256034,34.44864065146548,47.698233732017556,27.15857995494681,234.12255369448434,431.96623428776337,0.2221252786597933,0.29758758076873854,0.3672499226785906,0.156039329221911,0.2580718127086353,0.3523131532143504,21.1,21.1,21.1,21.1,21.1,21.1,23.9,23.9,23.9,23.9,23.9,23.9,15.6,15.6,15.6,15.6,15.6,15.6,29.4,29.4,29.4,29.4,29.4,29.4,5,5
