definition,cell,osm_id,storeys,footprint_area_m2,redefined_area_m2,published_floor_area_m2,total_eui_kwh_m2
auto_storey_count,austin_centre,way/37417988,11.0,2898.5510362964637,31884.0613992611,31884.04999999999,176.9465059900419
auto_storey_count,austin_centre,way/37417989,1.0,4168.517429379388,4168.517429379388,4168.52,106.97657623071494
auto_storey_count,austin_centre,way/37546502,33.0,6241.528482257134,205970.4399144854,205970.49,165.58552990376623
auto_storey_count,austin_centre,way/42806788,1.0,1587.6862515231055,1587.6862515231055,1587.69,115.73401953331621
auto_storey_count,austin_centre,way/42806812,6.0,1569.033571864679,9414.201431188074,9414.239999999998,199.11459777032064
auto_storey_count,austin_centre,way/52143469,2.0,6614.754527315943,13229.509054631886,13229.52,169.49486782249076
auto_storey_count,austin_centre,way/55932516,45.0,1562.4128466366533,70308.57809864939,70308.45000000008,108.4276950671742
auto_storey_count,austin_centre,way/55932517,1.0,941.8777955328032,941.8777955328032,941.88,960.8569667628666
auto_storey_count,austin_centre,way/55932518,1.0,2116.3210197818944,2116.3210197818944,2116.32,108.47781821938534
auto_storey_count,austin_centre,way/55932520,6.0,5977.458290220164,35864.74974132098,35864.82,170.44915383014896
auto_storey_count,austin_centre,way/55932522,1.0,951.0555995996692,951.0555995996692,951.06,83.06321739996939
auto_storey_count,austin_centre,way/55932526,7.0,2951.699402340413,20661.895816382894,20661.83,174.01477442039928
auto_storey_count,austin_centre,way/55932527,1.0,989.9245477648797,989.9245477648797,989.92,83.7670406085701
auto_storey_count,austin_centre,way/55932528,1.0,1365.5783189520855,1365.5783189520855,1365.58,119.60673495769728
auto_storey_count,austin_centre,way/55932530,1.0,2720.211145239571,2720.211145239571,2720.21,106.73026721404041
auto_storey_count,austin_centre,way/55932532,6.0,6443.620764293491,38661.72458576095,38661.77999999999,167.2185909959983
auto_storey_count,austin_centre,way/55932533,1.0,1405.38951219994,1405.38951219994,1405.39,116.94336761974698
auto_storey_count,austin_centre,way/55932534,58.0,1749.2534942991997,101456.70266935359,101456.5,169.6832058371942
auto_storey_count,austin_centre,way/99256718,8.0,1616.135843900825,12929.0867512066,12929.039999999999,199.27023291937297
auto_storey_count,austin_centre,way/99256722,1.0,1533.8636571141587,1533.8636571141587,1533.86,114.50555781640603
auto_storey_count,austin_centre,way/99256729,1.0,2919.5367639431565,2919.5367639431565,2919.54,70.59883795236892
auto_storey_count,austin_centre,way/99256740,3.0,272.1024160248662,816.3072480745986,816.3000000000001,1397.0305053592747
auto_storey_count,austin_centre,way/99256744,3.0,1494.5911158026486,4483.773347407946,4483.7699999999995,133.12047000248168
auto_storey_count,austin_centre,way/99256745,3.0,667.7999493241541,2003.3998479724623,2003.3999999999996,106.5509898614354
auto_storey_count,austin_centre,way/99259744,1.0,286.09194885500347,286.09194885500347,286.09,91.23473722322483
auto_storey_count,austin_centre,way/99259755,2.0,1637.3120046114043,3274.6240092228086,3274.62,97.93830954857609
auto_storey_count,austin_centre,way/99259757,1.0,3308.768561377035,3308.768561377035,3308.77,106.47213921295572
auto_storey_count,austin_centre,way/99259768,1.0,1212.9897539835315,1212.9897539835315,1212.99,119.13143347205873
auto_storey_count,austin_centre,way/99725026,7.0,2734.7014372899757,19142.91006102983,19142.9,177.3664074965754
auto_storey_count,austin_centre,way/99725028,1.0,229.58329129457934,229.58329129457934,229.58,94.66663511611958
auto_storey_count,austin_centre,way/99725029,1.0,1370.0390733292204,1370.0390733292204,1370.04,114.51100867337519
auto_storey_count,austin_centre,way/99725033,7.0,2921.7417850308248,20452.19249521577,20452.18,146.77576578471817
auto_storey_count,austin_centre,way/99725034,2.0,752.1656175727563,1504.3312351455127,1504.3200000000002,112.94523302114936
auto_storey_count,austin_centre,way/99725035,5.0,2090.447760167925,10452.238800839625,10452.2,187.35999944994282
auto_storey_count,austin_centre,way/99725036,1.0,2173.024063042948,2173.024063042948,2173.02,109.22392355536198
auto_storey_count,austin_centre,way/99868603,4.0,1105.4595273758027,4421.838109503211,4421.839999999999,186.9073634048012
auto_storey_count,austin_centre,way/99868604,1.0,143.96931763162,143.96931763162,143.97,206.13852653095145
auto_storey_count,austin_centre,way/99868608,1.0,835.6346959670489,835.6346959670489,835.63,123.93635830945604
auto_storey_count,austin_centre,way/99868609,3.0,308.7563820339012,926.2691461017037,926.28,97.65311670205641
auto_storey_count,austin_centre,way/99868613,1.0,2097.833820197908,2097.833820197908,2097.83,117.93484182266312
auto_storey_count,austin_centre,way/99868622,3.0,558.2712430181764,1674.8137290545292,1674.8100000000004,110.00446716841552
auto_storey_count,austin_centre,way/99868625,2.0,2935.456097589214,5870.912195178428,5870.98,177.91411748702777
auto_storey_count,austin_centre,way/99868637,1.0,190.44893996434598,190.44893996434598,190.45,105.97364997193
auto_storey_count,austin_centre,way/99868645,23.0,2864.0041764459497,65872.09605825684,65872.0,169.43144373104343
auto_storey_count,austin_centre,way/99868651,1.0,304.47273205145507,304.47273205145507,304.47,93.01680698598304
auto_storey_count,austin_centre,way/99868670,13.0,2838.5921483281445,36901.69792826588,36901.67,148.00896541229466
auto_storey_count,austin_centre,way/112834453,3.0,1768.3685864990402,5305.105759497121,5305.08,194.89640378974858
auto_storey_count,austin_centre,way/112834456,1.0,1914.6328751377298,1914.6328751377298,1914.63,109.4872352819837
auto_storey_count,austin_centre,way/112834472,5.0,1008.5803165119844,5042.901582559922,5042.949999999999,187.01819359041946
auto_storey_count,austin_centre,way/112834493,20.0,4364.463827404995,87289.2765480999,87289.20000000003,170.11314909497023
auto_storey_count,austin_centre,way/112834500,3.0,3064.213591533095,9192.640774599286,9192.66,165.60334593261555
auto_storey_count,austin_centre,way/112834509,1.0,596.9209726260227,596.9209726260227,596.92,135.7265333191264
auto_storey_count,austin_centre,way/112836380,1.0,1715.898942806919,1715.898942806919,1715.9,151.75639272143016
auto_storey_count,austin_centre,way/112836382,1.0,2261.3358637533934,2261.3358637533934,2261.34,110.44533742939521
auto_storey_count,austin_centre,way/112836384,1.0,1470.5266984527093,1470.5266984527093,1470.53,151.27424686585724
auto_storey_count,austin_centre,way/112836385,1.0,2500.7631011613284,2500.7631011613284,2500.76,107.71446858379207
auto_storey_count,austin_centre,way/112836386,1.0,755.7764964691794,755.7764964691794,755.78,120.08628462744124
auto_storey_count,austin_centre,way/134807224,21.0,2018.7390701089469,42393.520472287884,42393.54,174.87147190291353
auto_storey_count,austin_centre,way/134807225,10.0,3044.9319571607607,30449.319571607608,30449.399999999987,176.8125196123349
auto_storey_count,austin_centre,way/134807226,9.0,2934.2670486658117,26408.403437992303,26408.430000000008,178.71765294720961
auto_storey_count,austin_centre,way/134807227,45.0,3916.8630177935806,176258.83580071112,176258.69999999984,109.90858235093184
auto_storey_count,austin_centre,way/134807228,1.0,6512.831492344527,6512.831492344527,6512.83,102.47292186076683
auto_storey_count,austin_centre,way/134807229,1.0,708.7676753465405,708.7676753465405,708.77,994.3328059255203
auto_storey_count,austin_centre,way/134807252,10.0,1010.2467660849459,10102.46766084946,10102.4,201.13703815100655
auto_storey_count,austin_centre,way/134807256,8.0,2866.5356985161307,22932.285588129045,22932.320000000003,159.26460425532431
auto_storey_count,austin_centre,way/134807260,8.0,2006.742933665073,16053.943469320584,16053.92,117.72938798931249
auto_storey_count,austin_centre,way/134807269,9.0,1039.5060712140466,9355.55464092642,9355.590000000002,202.64077543658635
auto_storey_count,austin_centre,way/135049613,1.0,1286.1434657715865,1286.1434657715865,1286.14,115.97847457731795
auto_storey_count,austin_centre,way/135049616,1.0,1454.9910576436962,1454.9910576436962,1454.99,114.0838882854928
auto_storey_count,austin_centre,way/135049618,1.0,560.7976470528893,560.7976470528893,560.8,152.65013878522876
auto_storey_count,austin_centre,way/135049619,1.0,633.8298067694947,633.8298067694947,633.83,139.7697832051883
auto_storey_count,austin_centre,way/135049620,1.0,1121.0429780729494,1121.0429780729494,1121.04,134.13078576883507
auto_storey_count,austin_centre,way/135049621,1.0,2102.8244426536867,2102.8244426536867,2102.82,112.56226338032896
auto_storey_count,austin_centre,way/135049622,1.0,468.92351865633344,468.92351865633344,468.92,170.02956738248793
auto_storey_count,austin_centre,way/135049626,1.0,955.7974356786975,955.7974356786975,955.8,121.64287640599498
auto_storey_count,austin_centre,way/183289651,15.0,6340.12168388441,95101.82525826615,95102.10000000003,155.34288923584666
auto_storey_count,austin_centre,way/183289652,7.0,1847.9505581092042,12935.65390676443,12935.720000000001,189.68400232363075
auto_storey_count,austin_centre,way/204413180,4.0,4063.6790163809146,16254.716065523658,16254.720000000007,180.90634268037434
auto_storey_count,austin_centre,way/204413181,56.0,2568.3116208201977,143825.45076593108,143825.35999999993,109.00050875325742
