osm_id,n_warmup_severes_true,converged_true,n_warmup_severes_false,converged_false,eui_true,eui_false,pct_delta
way_1055839510,1,False,0,True,86.575,87.93055555555556,-1.541620597062074
way_1103897140,1,False,0,True,96.36666666666667,98.225,-1.8919148214134083
way_1112796933,1,False,0,True,92.45,94.11666666666666,-1.7708517797060286
way_1113052360,1,False,0,True,86.66111111111111,88.0138888888889,-1.5370048919046986
way_1113052363,1,False,0,True,116.76666666666667,119.225,-2.0619277276857444
way_1113052364,0,True,0,True,99.04166666666667,101.01944444444445,-1.9578189017515846
way_1131271326,1,False,0,True,85.8,87.15833333333333,-1.5584663925805537
way_1184864928,0,True,0,True,106.42222222222222,108.66388888888889,-2.0629361691249843
way_1184864930,0,True,0,True,91.45833333333333,93.07777777777777,-1.7398830130118135
way_1232540296,1,False,0,True,94.43333333333332,96.22222222222221,-1.859122401847578
way_1232540297,0,True,0,True,99.8861111111111,101.90833333333333,-1.9843541308910548
way_1279436022,0,True,1,False,127.2611111111111,130.0,-2.106837606837611
way_1279684261,2,False,0,True,88.06388888888888,89.525,-1.6320704955164733
way_1279684262,0,True,0,True,105.3111111111111,107.51666666666667,-2.0513615460135446
way_1279684265,2,False,3,False,87.01944444444443,88.43333333333334,-1.5988189471039262
way_1279684266,1,False,0,True,88.47222222222221,89.94722222222222,-1.6398505296315833
way_1386674588,0,True,0,True,93.82777777777777,95.575,-1.8281163716685682
way_1386674589,0,True,0,True,91.35833333333333,92.975,-1.7388186788563162
way_1386674590,0,True,0,True,94.65277777777777,96.44722222222221,-1.860545491201283
way_1386674591,0,True,0,True,75.53888888888889,76.425,-1.1594518954675903
way_1386674592,1,False,0,True,97.04722222222222,98.94722222222221,-1.9202156031554336
way_1386674593,2,False,4,False,86.75277777777778,88.16944444444445,-1.6067546706152978
way_1386674594,2,False,0,True,80.81944444444444,81.97222222222223,-1.406302948153178
way_270445754,3,False,0,True,74.98333333333333,75.83055555555556,-1.117257042382513
way_270445755,4,False,0,True,73.275,74.0111111111111,-0.9945954060951661
way_270445756,0,True,0,True,93.28055555555555,95.00277777777778,-1.812812490862847
way_270445757,1,False,0,True,85.14722222222221,86.475,-1.5354469821078727
