cell,osm_id,archetype_id,use_class,base_storeys_geometry_fallback,treated_storeys_archetype_fallback,recovered_lev_src,archetype_consumed_group_median_today,genuine_disagreement,eligible_for_intervention,tier,footprint_area_m2,on_record_total_eui_kwh_m2
austin_centre,way/206163833,Courthouse,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,825.252483648807,134.9445627636221
austin_centre,way/224057337,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1817.4991809780217,115.68107137899788
austin_centre,way/231123149,LargeHotel,commercial,1,5,GROUPMEDIAN_LEVELS_MED,True,True,False,1,8225.32419637317,312.3825856068888
austin_centre,way/231123153,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,559.6676188801664,131.03980971754694
austin_centre,way/231123155,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,435.9720160203068,1441.8667130883546
austin_centre,way/231123157,RetailStandalone,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,537.8613646101879,166.32521975638772
austin_centre,way/231123159,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,360.5426352287602,88.02961259146883
austin_centre,way/231123161,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,232.47694017986205,93.45218829427418
austin_centre,way/231125471,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1527.7460750780008,112.8084354672038
austin_centre,way/231125475,Courthouse,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,3943.7844479175255,109.34781632321236
austin_centre,way/328520419,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,197.99775099967192,102.40830823239628
austin_centre,way/328520420,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,195.27174997510917,99.41487300973884
austin_centre,way/328520421,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,198.64933793859797,101.56870948061744
austin_centre,way/328520422,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,189.1818082362555,102.07794964267131
austin_centre,way/328520424,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,172.875148477218,109.60920472966149
austin_centre,way/328520425,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,170.58873816782784,102.29891307273483
austin_centre,way/328520426,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,318.6120980150598,97.4831533262104
austin_centre,way/328520427,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,305.5483349676147,98.00464347698704
austin_centre,way/328520428,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,176.52594813890732,1599.1244672801215
austin_centre,way/328526439,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,327.4856485478656,95.78657113263968
austin_centre,way/328526441,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,557.2073330969902,135.59406260657013
austin_centre,way/328526442,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,508.16190874043883,134.69477465453767
austin_centre,way/328526443,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,429.95552062890494,87.51390432596651
austin_centre,way/328526444,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,400.7510516042331,95.10240609938351
austin_centre,way/328526445,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,566.571769335311,132.37233499122857
austin_centre,way/328526446,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,344.7497151789949,91.33974007456192
austin_centre,way/328526447,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,232.0329579379366,117.15957143102771
austin_centre,way/328526448,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,238.0519938721834,116.17678426648352
austin_centre,way/328526449,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,585.0146289369359,130.9149377053397
