cell,stem,status,n_zone_volume_stubs,n_negative_volume,min_calculated_volume,temp_out_of_bounds,failed,has_stub,has_negative
la_rural,way_222366800,success,1,1,-174.94,False,False,True,True
la_rural,way_472960895,success,2,2,-120.68,False,False,True,True
la_rural,way_472960930,success,1,1,-35.53,False,False,True,True
la_rural,way_472960931,success,2,2,-35.01,False,False,True,True
la_rural,way_472960932,success,2,2,-39.92,False,False,True,True
la_rural,way_472960933,success,2,2,-552.12,False,False,True,True
la_rural,way_472960934,success,2,2,-101.77,False,False,True,True
la_rural,way_472960935,success,2,2,-998.09,False,False,True,True
la_rural,way_472960936,success,12,12,-464.94,False,False,True,True
la_rural,way_472960937,success,8,8,-468.58,False,False,True,True
la_rural,way_472960938,success,8,8,-472.51,False,False,True,True
la_rural,way_472960939,success,8,8,-562.37,False,False,True,True
la_rural,way_472960940,success,8,8,-471.66,False,False,True,True
la_rural,way_472960941,success,8,8,-437.77,False,False,True,True
la_rural,way_472960942,success,8,8,-562.27,False,False,True,True
la_rural,way_472960943,success,8,8,-446.54,False,False,True,True
la_rural,way_472960944,success,8,8,-561.04,False,False,True,True
la_rural,way_472960965,success,2,2,-552.52,False,False,True,True
la_rural,way_472960967,success,2,2,-258.11,False,False,True,True
la_rural,way_472960970,success,1,1,-34.3,False,False,True,True
la_rural,way_472960971,success,2,2,-264.76,False,False,True,True
la_rural,way_472960972,not_simulated,3,3,-3987.17,True,True,True,True
la_rural,way_472960974,success,1,1,-36.77,False,False,True,True
la_rural,way_472960975,success,1,1,-152.86,False,False,True,True
la_rural,way_472960977,success,1,1,-72.37,False,False,True,True
la_rural,way_472960978,success,2,2,-44.5,False,False,True,True
la_rural,way_472960980,success,2,2,-495.62,False,False,True,True
la_rural,way_472960999,success,2,2,-61.01,False,False,True,True
la_rural,way_472961000,success,2,2,-106.62,False,False,True,True
la_rural,way_472961001,success,2,2,-106.23,False,False,True,True
la_rural,way_472961002,success,1,1,-318.41,False,False,True,True
la_rural,way_472961003,success,1,1,-62.64,False,False,True,True
la_rural,way_472961004,success,12,12,-107.22,False,False,True,True
la_rural,way_472961005,success,1,1,-78.17,False,False,True,True
la_rural,way_472961006,success,1,1,-33.03,False,False,True,True
la_rural,way_472961007,success,3,3,-1093.75,False,False,True,True
la_rural,way_472961009,success,1,1,-35.58,False,False,True,True
la_rural,way_472961011,success,4,4,-56.86,False,False,True,True
la_rural,way_472961013,success,2,2,-43.21,False,False,True,True
la_rural,way_472961015,success,1,1,-108.71,False,False,True,True
la_rural,way_472961017,success,2,2,-410.18,False,False,True,True
la_rural,way_472961018,success,2,2,-44.75,False,False,True,True
la_rural,way_472961019,success,1,1,-33.74,False,False,True,True
la_rural,way_472961020,success,1,1,-33.69,False,False,True,True
la_rural,way_472961022,success,2,2,-88.08,False,False,True,True
la_rural,way_472961024,success,4,4,-1053.3,False,False,True,True
la_rural,way_472961025,success,2,2,-75.91,False,False,True,True
la_rural,way_472961026,success,16,16,-139.27,False,False,True,True
la_rural,way_472961028,success,1,1,-87.82,False,False,True,True
la_rural,way_472961029,success,1,1,-75.49,False,False,True,True
la_rural,way_472961031,success,1,1,-122.31,False,False,True,True
la_rural,way_472961034,not_simulated,3,3,-1631.58,True,True,True,True
la_rural,way_472961040,success,2,2,-228.26,False,False,True,True
la_rural,way_472961041,success,1,1,-129.3,False,False,True,True
la_rural,way_472961043,success,10,10,-177.22,False,False,True,True
la_rural,way_472961045,success,2,2,-229.68,False,False,True,True
la_rural,way_472961047,success,2,2,-884.73,False,False,True,True
la_rural,way_472961048,success,16,16,-139.75,False,False,True,True
la_rural,way_472961050,success,2,2,-229.39,False,False,True,True
la_rural,way_472961052,success,2,2,-322.81,False,False,True,True
la_rural,way_472961054,success,1,1,-122.71,False,False,True,True
la_rural,way_472961072,success,2,2,-229.56,False,False,True,True
la_rural,way_472961073,success,2,2,-118.42,False,False,True,True
la_rural,way_472961074,success,1,1,-120.71,False,False,True,True
la_rural,way_472961075,success,1,1,-121.23,False,False,True,True
la_rural,way_472961076,success,2,2,-121.71,False,False,True,True
la_rural,way_472961077,success,1,1,-118.52,False,False,True,True
la_rural,way_472961078,success,1,1,-120.57,False,False,True,True
la_rural,way_472961079,success,1,1,-120.88,False,False,True,True
la_rural,way_472961080,success,1,1,-119.41,False,False,True,True
la_rural,way_472961081,success,1,1,-77.34,False,False,True,True
la_rural,way_472961082,success,1,1,-119.96,False,False,True,True
la_rural,way_472961083,success,1,1,-76.07,False,False,True,True
la_rural,way_472961084,success,1,1,-89.18,False,False,True,True
la_rural,way_472961085,success,1,1,-117.57,False,False,True,True
la_rural,way_472961086,success,1,1,-116.26,False,False,True,True
la_rural,way_472961087,success,1,1,-88.55,False,False,True,True
la_rural,way_472961088,not_simulated,3,3,-1815.19,True,True,True,True
la_rural,way_472961089,success,16,16,-145.49,False,False,True,True
la_rural,way_472961090,success,16,16,-144.03,False,False,True,True
la_rural,way_472961091,not_simulated,3,3,-1581.1,True,True,True,True
la_rural,way_472961092,success,2,2,-714.48,False,False,True,True
la_rural,way_472961093,success,16,16,-177.36,False,False,True,True
la_rural,way_472961094,success,2,2,-324.5,False,False,True,True
la_rural,way_472961095,success,1,1,-86.65,False,False,True,True
la_rural,way_472961096,success,2,2,-161.44,False,False,True,True
la_rural,way_472961097,success,2,2,-124.49,False,False,True,True
la_rural,way_472961098,success,2,2,-155.36,False,False,True,True
la_rural,way_472961099,success,2,2,-210.38,False,False,True,True
la_rural,way_472961100,success,3,3,-1375.69,False,False,True,True
la_rural,way_472961115,success,5,5,-267.99,False,False,True,True
la_rural,way_472961117,success,1,1,-55.48,False,False,True,True
la_rural,way_472961120,success,20,20,-153.7,False,False,True,True
la_rural,way_472961122,success,3,3,-1072.55,False,False,True,True
la_rural,way_472961125,success,2,2,-539.61,False,False,True,True
la_rural,way_472961128,success,2,2,-142.93,False,False,True,True
la_rural,way_472961131,success,2,2,-339.73,False,False,True,True
la_rural,way_472961133,success,2,2,-696.43,False,False,True,True
la_rural,way_472961135,success,2,2,-90.59,False,False,True,True
la_rural,way_472961137,success,2,2,-258.94,False,False,True,True
la_rural,way_472961140,success,8,8,-345.99,False,False,True,True
la_rural,way_472961148,success,8,8,-347.57,False,False,True,True
la_rural,way_472961150,success,2,2,-162.85,False,False,True,True
la_rural,way_472961152,success,1,1,-86.35,False,False,True,True
la_rural,way_472961155,success,1,1,-86.71,False,False,True,True
la_rural,way_472961157,success,1,1,-75.55,False,False,True,True
la_rural,way_472961159,success,1,1,-86.1,False,False,True,True
la_rural,way_472961162,success,2,2,-148.53,False,False,True,True
la_rural,way_472961164,success,24,24,-172.09,False,False,True,True
la_rural,way_472961166,success,2,2,-430.64,False,False,True,True
la_rural,way_472961169,success,2,2,-159.23,False,False,True,True
la_rural,way_472961171,not_simulated,3,3,-26184.27,True,True,True,True
la_rural,way_472961191,success,2,2,-253.11,False,False,True,True
la_rural,way_472961193,success,2,2,-74.01,False,False,True,True
la_rural,way_472961200,success,2,2,-106.26,False,False,True,True
la_rural,way_472961202,success,1,1,-40.01,False,False,True,True
la_rural,way_472961204,success,1,1,-63.17,False,False,True,True
la_rural,way_472961207,success,2,2,-104.98,False,False,True,True
la_rural,way_472961208,success,2,2,-66.8,False,False,True,True
la_rural,way_472961212,success,1,1,-173.99,False,False,True,True
la_rural,way_472961216,success,2,2,-538.06,False,False,True,True
la_rural,way_472961221,success,1,1,-53.19,False,False,True,True
la_rural,way_472961226,success,2,2,-191.47,False,False,True,True
la_rural,way_472961229,success,1,1,-63.51,False,False,True,True
la_rural,way_472961234,success,1,1,-64.04,False,False,True,True
la_rural,way_472961236,success,1,1,-52.75,False,False,True,True
la_rural,way_472961237,success,1,1,-149.95,False,False,True,True
la_rural,way_472961240,success,1,1,-108.71,False,False,True,True
la_rural,way_472961241,success,2,2,-264.81,False,False,True,True
la_rural,way_472961243,success,1,1,-204.32,False,False,True,True
la_rural,way_472961246,success,1,1,-55.23,False,False,True,True
la_rural,way_472961248,success,2,2,-344.32,False,False,True,True
la_rural,way_472961250,success,2,2,-224.59,False,False,True,True
la_rural,way_472961253,success,1,1,-80.93,False,False,True,True
la_rural,way_472961276,success,2,2,-245.94,False,False,True,True
la_rural,way_472961278,success,2,2,-56.58,False,False,True,True
la_rural,way_472961282,success,2,2,-176.59,False,False,True,True
la_rural,way_472961286,success,2,2,-105.31,False,False,True,True
la_rural,way_472961287,success,1,1,-61.7,False,False,True,True
la_rural,way_472961288,success,1,1,-170.55,False,False,True,True
la_rural,way_472961289,success,1,1,-63.71,False,False,True,True
la_rural,way_472961290,success,1,1,-185.1,False,False,True,True
la_rural,way_472961291,success,2,2,-122.22,False,False,True,True
