cell,osm_id,percentile_slot,footprint_area_m2,levels,archetype_id,auto_total_eui_kwh_m2,auto_floor_area_m2,parse_status,sim_outcome,total_eui_kwh_m2,floor_area_m2,num_zones,sql_size_bytes,error_summary,gap_pct,floor_area_disagree_pct,floor_area_disagree_gt10
austin_centre,way/1008727470,10,87.96401918451274,1.0,OpenUBEMUnknown,204.10559416205,87.96,success,success,184.76007927186797,87.96,1,2478080,,-9.478189448753001,0.0,False
austin_centre,way/328529693,35,269.23488717468206,1.0,SmallOffice,105.63531190275197,269.23,success,success,78.30750372778012,255.06,6,8400896,,-25.869955493793473,5.263157894736848,False
austin_centre,way/328649870,65,735.0465280042804,1.0,MediumOffice,125.77895938202344,735.05,success,success,94.20995614656434,2205.1499999999996,18,22958080,,-25.098795053293316,199.99999999999997,True
austin_centre,way/99725026,90,2734.701437289976,7.0,LargeOffice,177.3664074965754,19142.9,success,success,125.10939313994865,10938.850000000002,23,29245440,,-29.462746127750105,42.85688166369776,True
austin_rural,way/1165379866,10,147.35788353739764,1.0,RetailStandalone,194.4843147238398,147.36,success,success,199.67281895179858,147.36,5,7782400,,2.6678265727116677,0.0,False
austin_rural,way/1480414338,35,266.1512425910028,1.0,SmallOffice,104.41216906801267,266.15,success,success,77.03488260073941,252.14000000000004,6,8392704,,-26.220398169719157,5.263948900995655,False
austin_rural,way/762128912,65,480.8357613818914,1.0,SmallOffice,93.03503680232984,480.84,success,success,72.74973065324326,455.51,6,8392704,,-21.80394273631177,5.267864570335243,False
austin_rural,way/1450171441,90,1113.5412356904458,1.0,SmallOffice,84.83748283789197,1113.54,success,success,68.90282623251862,1054.9,6,8388608,,-18.782566469848472,5.266088330908623,False
austin_suburban,way/382992872,10,34.698687196877344,1.0,SmallOffice,161.6831748901788,34.7,success,success,112.14715167818056,32.88,6,8404992,,-30.63771060015672,5.2449567723342945,False
austin_suburban,way/382991214,35,121.2045366882686,2.0,SmallOffice,115.93482747009664,242.4,success,success,87.54981510829685,114.39,6,8404992,,-24.483593913245095,52.809405940594054,True
austin_suburban,way/382991392,65,212.8083586698783,2.0,SmallOffice,106.84638036665882,425.62,success,success,80.89161382783018,200.64,6,8404992,,-24.291666643044994,52.85935811287064,True
