cell,osm_id,archetype_id,recovered_levels,footprint_area_m2,base_generation_status,treat_generation_status,base_zoning_strategy,treat_zoning_strategy,base_num_zones,treat_num_zones,base_idf_path,treat_idf_path,epw_path,base_num_floors_from_idf,treat_num_floors_from_idf,floor_count_control_pass,prep_status,arm_kind,recovered_lev_src,base_completed,base_vol_warnings,base_n_severe,base_n_fatal,base_site_energy_gj,base_floor_area_m2,base_eui_kwh_m2,base_label,base_elapsed_s,treat_completed,treat_vol_warnings,treat_n_severe,treat_n_fatal,treat_site_energy_gj,treat_floor_area_m2,treat_eui_kwh_m2,treat_label,treat_elapsed_s,delta_eui,pct_change,contaminated
la_urban,way/1416444072,MidriseApartment,7,2043.8160891610005,success,success,single_zone,one_zone_per_floor,1,7,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_1416444072\baseline\idfs\way_1416444072.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_1416444072\treated\idfs\way_1416444072.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\la_urban\weather\weather\USA_CA_Los.Angeles.Downtown-USC.Campus.722874_TMYx.2011-2025.epw,1.0,7.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED,True,1,0,0,899.25,2043.82,122.21804593848775,la_urban/way/1416444072/base,4.1,True,7,0,0,6512.32,14306.71,126.4426218533821,la_urban/way/1416444072/treat,22.4,4.224575914894345,3.456589313349496,False
nyc_suburban,way/845748805,MidriseApartment,1,122.31413715418314,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748805\baseline\idfs\way_845748805.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748805\treated\idfs\way_845748805.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW,True,1,0,0,105.06,122.31,238.601387196468,nyc_suburban/way/845748805/base,3.8,True,1,0,0,105.06,122.31,238.601387196468,nyc_suburban/way/845748805/treat,4.0,0.0,0.0,False
nyc_suburban,way/845748890,MidriseApartment,1,77.98164178426632,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748890\baseline\idfs\way_845748890.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748890\treated\idfs\way_845748890.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW,True,1,0,0,74.62,77.98,265.80891813285456,nyc_suburban/way/845748890/base,3.6,True,1,0,0,74.62,77.98,265.80891813285456,nyc_suburban/way/845748890/treat,3.7,0.0,0.0,False
nyc_suburban,way/845748895,MidriseApartment,1,132.7063152800843,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748895\baseline\idfs\way_845748895.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748895\treated\idfs\way_845748895.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW,True,1,0,0,111.98,132.71,234.38744664305628,nyc_suburban/way/845748895/base,4.2,True,1,0,0,111.98,132.71,234.38744664305628,nyc_suburban/way/845748895/treat,4.5,0.0,0.0,False
nyc_suburban,way/1014146266,MidriseApartment,1,191.73002663523187,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146266\baseline\idfs\way_1014146266.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146266\treated\idfs\way_1014146266.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW,True,1,0,0,145.93,191.73,211.4229090596151,nyc_suburban/way/1014146266/base,4.0,True,1,0,0,145.93,191.73,211.4229090596151,nyc_suburban/way/1014146266/treat,4.0,0.0,0.0,False
nyc_suburban,way/1014146317,MidriseApartment,1,71.28634248686393,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146317\baseline\idfs\way_1014146317.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146317\treated\idfs\way_1014146317.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW,True,1,0,0,72.72,71.29,283.3497210829008,nyc_suburban/way/1014146317/base,4.6,True,1,0,0,72.72,71.29,283.3497210829008,nyc_suburban/way/1014146317/treat,4.5,0.0,0.0,False
nyc_urban,way/281344664,MidriseApartment,6,11077.468545417214,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281344664\baseline\idfs\way_281344664.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281344664\treated\idfs\way_281344664.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED,True,1,0,0,5268.62,11077.47,132.11551668711357,nyc_urban/way/281344664/base,26.5,True,6,0,0,32002.56,66464.81,133.7489825242561,nyc_urban/way/281344664/treat,48.1,1.6334658371425235,1.2363921196410461,False
nyc_urban,way/281345438,MidriseApartment,6,2168.640651959005,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281345438\baseline\idfs\way_281345438.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281345438\treated\idfs\way_281345438.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED,True,1,0,0,1175.37,2170.72,150.40709662508291,nyc_urban/way/281345438/base,4.6,True,6,0,0,6494.49,13024.34,138.51182818645705,nyc_urban/way/281345438/treat,24.9,-11.895268438625862,-7.908714884828198,False
nyc_urban,way/821626191,MidriseApartment,6,272.8871398655494,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_821626191\baseline\idfs\way_821626191.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_821626191\treated\idfs\way_821626191.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED,True,1,0,0,185.85,272.89,189.17880512294332,nyc_urban/way/821626191/base,11.8,True,6,0,0,1018.79,1637.32,172.84174435174555,nyc_urban/way/821626191/treat,31.6,-16.33706077119777,-8.635777544202512,False
nyc_urban,way/828447386,MidriseApartment,6,1774.0342422849574,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_828447386\baseline\idfs\way_828447386.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_828447386\treated\idfs\way_828447386.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED,True,1,0,0,915.04,1779.27,142.85510243639246,nyc_urban/way/828447386/base,4.4,True,6,0,0,5208.86,10675.59,135.53402400316983,nyc_urban/way/828447386/treat,17.3,-7.321078433222624,-5.124828100895032,False
nyc_urban,way/832347781,MidriseApartment,6,811.6296992229868,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_832347781\baseline\idfs\way_832347781.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_832347781\treated\idfs\way_832347781.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED,True,1,0,0,485.35,811.63,166.10950214999448,nyc_urban/way/832347781/base,5.2,True,6,0,0,2624.87,4869.78,149.72557566994814,nyc_urban/way/832347781/treat,23.8,-16.38392648004634,-9.863328869200927,False
