cell,mode,manifest_mtime,n_manifest_cols,has_vintage_col,idf_dir_mtime_min,idf_dir_mtime_max,n_idfs,covered_by_generation_summary_json
austin_urban,building,2026-08-09 22:47:55,11,True,2026-08-09 22:47:50,2026-08-09 22:47:55,425,True
austin_urban,floor,2026-08-09 22:48:09,11,True,2026-08-09 22:48:01,2026-08-09 22:48:09,425,True
austin_urban,fast_zone,2026-08-09 22:51:17,11,True,2026-08-09 22:49:07,2026-08-09 22:51:17,425,True
austin_urban,layout_assign,2026-08-09 22:48:34,11,True,2026-08-09 22:48:16,2026-08-09 22:48:34,425,True
la_centre,auto,2026-08-09 21:49:02,11,True,2026-08-09 21:46:54,2026-08-09 21:49:02,226,False
la_centre,building,2026-08-09 21:49:32,11,True,2026-08-09 21:49:29,2026-08-09 21:49:32,226,False
la_centre,floor,2026-08-09 21:50:05,11,True,2026-08-09 21:49:38,2026-08-09 21:50:05,226,False
la_centre,fast_zone,2026-08-09 21:58:30,11,True,2026-08-09 21:52:50,2026-08-09 21:58:30,226,False
la_centre,layout_assign,2026-08-09 21:52:26,11,True,2026-08-09 21:50:28,2026-08-09 21:52:26,226,False
la_rural,auto,2026-08-09 22:28:59,11,True,2026-08-09 22:28:52,2026-08-09 22:28:59,149,True
la_rural,building,2026-08-09 22:29:12,11,True,2026-08-09 22:29:11,2026-08-09 22:29:12,149,True
la_rural,floor,2026-08-09 22:29:28,11,True,2026-08-09 22:29:27,2026-08-09 22:29:28,149,True
la_rural,fast_zone,2026-08-09 22:30:09,11,True,2026-08-09 22:30:01,2026-08-09 22:30:09,149,True
la_rural,layout_assign,2026-08-09 22:29:55,11,True,2026-08-09 22:29:50,2026-08-09 22:29:55,149,True
la_suburban,auto,2026-08-09 22:21:35,11,True,2026-08-09 22:20:34,2026-08-09 22:21:35,1343,True
la_suburban,building,2026-08-09 22:22:31,11,True,2026-08-09 22:22:15,2026-08-09 22:22:31,1343,True
la_suburban,floor,2026-08-09 22:23:25,11,True,2026-08-09 22:23:02,2026-08-09 22:23:24,1343,True
la_suburban,fast_zone,2026-08-09 22:28:03,11,True,2026-08-09 22:26:35,2026-08-09 22:28:03,1343,True
la_suburban,layout_assign,2026-08-09 22:25:44,11,True,2026-08-09 22:23:44,2026-08-09 22:25:44,1343,True
la_urban,auto,2026-08-09 22:10:02,11,True,2026-08-09 22:06:06,2026-08-09 22:10:02,618,True
la_urban,building,2026-08-09 22:10:43,11,True,2026-08-09 22:10:36,2026-08-09 22:10:43,618,True
la_urban,floor,2026-08-09 22:11:48,11,True,2026-08-09 22:10:54,2026-08-09 22:11:48,618,True
la_urban,fast_zone,2026-08-09 22:19:47,11,True,2026-08-09 22:13:40,2026-08-09 22:19:47,618,True
la_urban,layout_assign,2026-08-09 22:13:01,11,True,2026-08-09 22:12:24,2026-08-09 22:13:01,618,True
nyc_centre,auto,2026-08-09 21:03:01,11,True,2026-08-09 20:59:06,2026-08-09 21:03:01,738,False
nyc_centre,building,2026-08-09 21:03:26,11,True,2026-08-09 21:03:15,2026-08-09 21:03:26,738,False
nyc_centre,floor,2026-08-09 21:04:46,11,True,2026-08-09 21:03:36,2026-08-09 21:04:46,738,False
nyc_centre,fast_zone,2026-08-09 21:30:17,11,True,2026-08-09 21:07:33,2026-08-09 21:30:17,738,False
nyc_centre,layout_assign,2026-08-09 21:06:42,11,True,2026-08-09 21:04:57,2026-08-09 21:06:42,738,False
nyc_rural,auto,2026-08-09 21:46:01,11,True,2026-08-09 21:45:59,2026-08-09 21:46:01,198,False
nyc_rural,building,2026-08-09 21:46:08,11,True,2026-08-09 21:46:06,2026-08-09 21:46:08,198,False
nyc_rural,floor,2026-08-09 21:46:16,11,True,2026-08-09 21:46:15,2026-08-09 21:46:16,198,False
nyc_rural,fast_zone,2026-08-09 21:46:48,11,True,2026-08-09 21:46:45,2026-08-09 21:46:48,198,False
nyc_rural,layout_assign,2026-08-09 21:46:32,11,True,2026-08-09 21:46:22,2026-08-09 21:46:32,198,False
nyc_suburban,auto,2026-08-09 21:40:51,11,True,2026-08-09 21:40:34,2026-08-09 21:40:51,1589,False
nyc_suburban,building,2026-08-09 21:41:32,11,True,2026-08-09 21:41:13,2026-08-09 21:41:32,1589,False
nyc_suburban,floor,2026-08-09 21:42:12,11,True,2026-08-09 21:41:51,2026-08-09 21:42:12,1589,False
nyc_suburban,fast_zone,2026-08-09 21:45:23,11,True,2026-08-09 21:45:04,2026-08-09 21:45:23,1589,False
nyc_suburban,layout_assign,2026-08-09 21:44:12,11,True,2026-08-09 21:42:52,2026-08-09 21:44:12,1589,False
nyc_urban,auto,2026-08-09 21:32:16,11,True,2026-08-09 21:30:57,2026-08-09 21:32:16,1779,False
nyc_urban,building,2026-08-09 21:34:08,11,True,2026-08-09 21:33:45,2026-08-09 21:34:08,1779,False
nyc_urban,floor,2026-08-09 21:35:25,11,True,2026-08-09 21:34:50,2026-08-09 21:35:25,1779,False
nyc_urban,fast_zone,2026-08-09 21:39:51,11,True,2026-08-09 21:38:13,2026-08-09 21:39:51,1779,False
nyc_urban,layout_assign,2026-08-09 21:37:19,11,True,2026-08-09 21:36:00,2026-08-09 21:37:19,1779,False
