severity,family,occurrences,buildings
Warning,FixViewFactors: View factors not complete. Check for bad surface descriptions or,32,10
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedule T",10,10
Warning,WaterHeater:Mixed = DHW_HEATER_SUPERTALLBUILDING Heater is cycling on and off mo,9,9
Warning,WaterHeater:Mixed = DHW_HEATER_SUPERTALLBUILDING: Heater is cycling on and off m,9,9
Warning,"SizeWaterCoil: Coil=""X"", Cooling Coil has leaving humi",35,7
Warning,"InitController: Controller:WaterCoil=""X"", Maxim",7,7
Severe,"Temperature (high) out of bounds (N] for zone=""X"", for surface=""",42,6
Warning,Calculated design heating load for zone=WAY/N_FN_CORE is zero.,6,6
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""RELATION/N_FN_WHOLE_HP_SYS COOLING ",19,6
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""RELATION/N_FN_WHOLE_HP_SYS COOLING ",19,6
Severe,Temperature (low) out of bounds for zone=WAY/N_FN_WHOLE for surface=BLOCK WAY/N,12,6
Severe,"Temperature (low) out of bounds [N] for zone=""X"", for surface=""",18,6
Severe,Temperature (high) out of bounds for zone=WAY/N_FN_WHOLE for surface=BLOCK WAY/N,42,6
Warning,The design coil load is zero for Coil:Heating:Water RELATION/N_VAV_SYS HEATING C,5,5
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedule Type",10,5
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type Limits N",10,5
Warning,DeterminePolygonOverlap: Too many vertices [>N] detected in an overlap calculati,5,5
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""X"" - F",8,4
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""X"" - F",8,4
Warning,"InitController: Controller:WaterCoil=""X"", M",4,4
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""X"" - A",4,4
Warning,"Plant loop exceeding upper temperature limit, PlantLoop=""X""",4,4
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""X"" - L",4,4
Warning,GetSurfaceData: InterZone Surface Tilts do not match as expected.,27,3
Warning,"SizeWaterCoil: Coil=""X"", Cooling Coil has leaving humid",18,3
Warning,Refrigeration:Case: REFRIGCASE_LOWTEMPFROZEN,3,3
Warning,Refrigeration:Case: REFRIGCASE_LOWTEMPICECREAMSPECIALTY,3,3
Warning,GetSurfaceData: InterZone Surface Classes do not match as expected.,27,3
Warning,GetSurfaceData: There are N coincident/collinear vertices; These have been delet,3,3
Warning,Refrigeration:Case: REFRIGCASE_MEDIUMTEMPMEAT,3,3
Warning,WaterHeater:Mixed = DHW_HEATER_TALLBUILDING: Heater is cycling on and off more t,2,2
Warning,WaterHeater:Mixed = DHW_HEATER_TALLBUILDING Heater is cycling on and off more th,2,2
Warning,"For object = Coil:Cooling:DX:TwoSpeed, name = ""X""",4,2
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""RELATION/N_PARTN_FN_WHOLE_PSZ_SYS C",2,2
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""WAY/N_FN_PERIMN_PSZ_SYS COOLING COI",7,2
Warning,Indicated Zone Volume <= N for Zone=RELATION/N_FN_PERIMN,224,2
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""WAY/N_FN_PERIMN_PSZ_SYS COOLING COI",7,2
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""RELATION/N_PARTN_FN_WHOLE_PSZ_SYS C",2,2
Warning,Indicated Zone Volume <= N for Zone=RELATION/N_PARTN_FN_WHOLE,2,2
Warning,"SolveAirLoopControllers: Maximum iterations (N) exceeded for WAY/N_VAV_SYS, WAY/",6,2
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Sched",2,2
Warning,"SizeWaterCoil: Coil=""X"", Cooling Coil has leaving humidi",3,2
Warning,In calculating the design coil UA for Coil:Cooling:Water WAY/N_FN_CORE COOLING C,2,1
Warning,In calculating the design coil UA for Coil:Cooling:Water WAY/N_FN_PERIMN COOLING,12,1
Warning,In calculating the design coil UA for Coil:Cooling:Water WAY/N_FN_WHOLE COOLING ,3,1
Warning,"For object = Coil:Cooling:DX:SingleSpeed, name = ""WAY/N_FN_CORE_PSZ_SYS COOLING ",1,1
Warning,"InitController: Controller:WaterCoil=""X"",",1,1
Warning,Calculated design heating load for zone=RELATION/N_FN_CORE is zero.,2,1
Warning,"SolveAirLoopControllers: Maximum iterations (N) exceeded for RELATION/N_VAV_SYS,",1,1
Warning,"For object = Coil:Cooling:DX:SingleSpeed, name = ""WAY/N_FN_CORE_HP_SYS COOLING C",1,1
