cell,osm_id_key,osm_id_base,parse_status_base,error_summary_base,data_quality_flag_base,floor_area_m2_base,floor_area_provenance_base,lighting_eui_kwh_m2_base,equipment_eui_kwh_m2_base,cooling_eui_kwh_m2_base,heating_eui_kwh_m2_base,fans_eui_kwh_m2_base,pumps_eui_kwh_m2_base,dhw_gas_eui_kwh_m2_base,dhw_elec_eui_kwh_m2_base,dhw_eui_kwh_m2_base,cooking_eui_kwh_m2_base,refrigeration_eui_kwh_m2_base,elevators_eui_kwh_m2_base,total_eui_kwh_m2_base,iod_base,gwp_heating_kgco2_m2_base,gwp_cooling_kgco2_m2_base,gwp_lighting_kgco2_m2_base,gwp_equipment_kgco2_m2_base,gwp_total_kgco2_m2_base,arm_base,arm_kind_base,recovered_levels_base,osm_id_treat,parse_status_treat,error_summary_treat,data_quality_flag_treat,floor_area_m2_treat,floor_area_provenance_treat,lighting_eui_kwh_m2_treat,equipment_eui_kwh_m2_treat,cooling_eui_kwh_m2_treat,heating_eui_kwh_m2_treat,fans_eui_kwh_m2_treat,pumps_eui_kwh_m2_treat,dhw_gas_eui_kwh_m2_treat,dhw_elec_eui_kwh_m2_treat,dhw_eui_kwh_m2_treat,cooking_eui_kwh_m2_treat,refrigeration_eui_kwh_m2_treat,elevators_eui_kwh_m2_treat,total_eui_kwh_m2_treat,iod_treat,gwp_heating_kgco2_m2_treat,gwp_cooling_kgco2_m2_treat,gwp_lighting_kgco2_m2_treat,gwp_equipment_kgco2_m2_treat,gwp_total_kgco2_m2_treat,arm_treat,arm_kind_treat,recovered_levels_treat,delta_eui,pct_change,archived_run2_eui,fidelity_diff_pct
austin_centre,relation/7480583,relation/7480583,success,,,6711.03,eio_simulated,3.180370072469925,34.80572178200993,4.6932186695457565,5.532321613062168,0.9943307230853671,1.0322631581080048,21.87633159862759,0.0,21.87633159862759,0.0,0.0,2.461825048314847,74.57638266522359,6.007062164454868e-05,,,,,,base,treatment,45,relation/7480583,success,,,301996.35000000015,eio_simulated,3.9654929410301842,43.39804516108596,25.583059713240313,0.004748753360970965,4.545961044108054,3.4156702798001057,21.441340988510003,0.0,21.441340988510003,0.0,0.0,2.4618239958464203,104.81614287698201,0.13615322997826104,,,,,,treat,treatment,45,30.239760211758423,40.548708761466656,74.57634833526741,4.603330270986294e-05
austin_centre,way/134807227,way/134807227,success,,,3916.86,eio_simulated,3.965494263382532,43.39805963280619,7.631854033020573,4.156766093677179,1.5063715768108759,1.50306991318302,27.476439893824598,0.0,27.476439893824598,0.0,0.0,3.069651528265746,92.70770693497072,0.0011770131778107188,,,,,,base,treatment,45,way/134807227,success,,,176258.69999999984,eio_simulated,3.965494199731072,43.39805893620894,24.666953709864767,0.012907439999068224,4.4850290647819655,3.5709703361717766,26.739515332638057,0.0,26.739515332638057,0.0,0.0,3.0696533315362275,109.9085823509319,0.13048737067565272,,,,,,treat,treatment,45,17.20087541596118,18.553878619850487,92.70763550721816,7.704624561727716e-05
austin_centre,way/516276237,way/516276237,success,,,720.28,eio_simulated,3.9655184108014554,43.39832390027436,9.413734592165385,10.063896938902637,2.1035718998407655,1.9243460431176456,30.837071946092944,0.0,30.837071946092944,0.0,0.0,3.0697338160160816,104.77619754721128,0.006856699298134186,,,,,,base,treatment,45,way/516276237,success,,,32412.59999999998,eio_simulated,3.9655182257448027,43.39832187502892,22.136122033998276,1.549719000667073,4.046812392716375,4.580590949894757,26.809984203841786,0.0,26.809984203841786,0.0,0.0,3.069740119953333,109.55680880184534,0.10869627985828448,,,,,,treat,treatment,45,4.780611254634053,4.562688250334671,104.77548200972817,0.0006829245443611604
austin_rural,way/1005416637,way/1005416637,success,,,259.31,eio_simulated,3.9655187823208284,43.39832796615363,11.100214686058171,26.18349281334146,5.431057093990911,0.0,0.0,32.227617339473305,32.227617339473305,0.0,0.0,3.1580730129958563,125.46430169433418,0.0864877197681463,,,,,,base,negative_control,1,way/1005416637,success,,,259.31,eio_simulated,3.9655187823208284,43.39832796615363,11.100214686058171,26.18349281334146,5.431057093990911,0.0,0.0,32.227617339473305,32.227617339473305,0.0,0.0,3.1580730129958563,125.46430169433418,0.0864877197681463,,,,,,treat,negative_control,1,0.0,0.0,125.46342701507749,0.0006971587477772266
austin_rural,way/1450169423,way/1450169423,success,,,368.63,eio_simulated,3.9655116797968897,43.3982502366875,10.460098441398205,22.136434364643545,5.090247208617482,0.0,0.0,31.50366399681265,31.50366399681265,0.0,0.0,3.1580838076104367,119.71228973556671,0.08485222299142553,,,,,,base,negative_control,1,way/1450169423,success,,,368.63,eio_simulated,3.9655116797968897,43.3982502366875,10.460098441398205,22.136434364643545,5.090247208617482,0.0,0.0,31.50366399681265,31.50366399681265,0.0,0.0,3.1580838076104367,119.71228973556671,0.08485222299142553,,,,,,treat,negative_control,1,0.0,0.0,119.71167072284685,0.0005170863593571756
austin_rural,way/1450169427,way/1450169427,success,,,322.81,eio_simulated,3.9654970003923755,43.3980895864288,10.364762742550463,23.503597145375338,4.93466580670688,0.0,0.0,31.748112207507354,31.748112207507354,0.0,0.0,3.1580667017752244,121.07279119073644,0.07728731450467466,,,,,,base,negative_control,1,way/1450169427,success,,,322.81,eio_simulated,3.9654970003923755,43.3980895864288,10.364762742550463,23.503597145375338,4.93466580670688,0.0,0.0,31.748112207507354,31.748112207507354,0.0,0.0,3.1580667017752244,121.07279119073644,0.07728731450467466,,,,,,treat,negative_control,1,0.0,0.0,121.07258720563152,0.00016848166015577155
austin_rural,way/1450169428,way/1450169428,success,,,322.81,eio_simulated,3.9655027400644323,43.398152400951695,10.364775392607616,23.503618666522744,4.934676621699238,0.0,0.0,31.748228536210664,31.748228536210664,0.0,0.0,3.1580667017752244,121.07302105983162,0.0772872927512092,,,,,,base,negative_control,1,way/1450169428,success,,,322.81,eio_simulated,3.9655027400644323,43.398152400951695,10.364775392607616,23.503618666522744,4.934676621699238,0.0,0.0,31.748228536210664,31.748228536210664,0.0,0.0,3.1580667017752244,121.07302105983162,0.0772872927512092,,,,,,treat,negative_control,1,0.0,0.0,121.07264551165856,0.00031018416378575565
austin_rural,way/762126689,way/762126689,success,,,305.9,eio_simulated,3.965516769232469,43.3983059350702,11.531897040549211,26.454502691443466,5.686951748907335,0.0,0.0,31.856757168350125,31.856757168350125,0.0,0.0,3.158084524355786,126.05201587790859,0.09543766005024852,,,,,,base,negative_control,1,way/762126689,success,,,305.9,eio_simulated,3.965516769232469,43.3983059350702,11.531897040549211,26.454502691443466,5.686951748907335,0.0,0.0,31.856757168350125,31.856757168350125,0.0,0.0,3.158084524355786,126.05201587790859,0.09543766005024852,,,,,,treat,negative_control,1,0.0,0.0,126.0511846945892,0.0006594014339534801
la_urban,way/1416444072,way/1416444072,success,,,2043.82,eio_simulated,3.965483556553205,43.39794245810392,2.022184454463609,5.278720590643179,1.4282242697115481,0.0,0.0,31.550903835006398,31.550903835006398,0.0,0.0,3.158061035706399,90.80152020018825,0.11745965031328334,,,,,,base,treatment,7,way/1416444072,success,,,14306.74,eio_simulated,3.965483735864168,43.39794442046889,6.284830810677573,0.3736607205458868,6.561844385711124,0.0,0.0,31.28419787463079,31.28419787463079,0.0,0.0,3.1580642094554787,95.02602615735391,0.41735061787207134,,,,,,treat,treatment,7,4.224505957165661,4.652461707526459,90.80169154998512,-0.00018870771452308453
la_urban,way/402234762,way/402234762,success,,,1193.1,eio_simulated,3.965479672615897,43.39789995259544,2.2107959452856423,6.895619870341761,1.7586217160843787,0.0,0.0,31.77114852396947,31.77114852396947,0.0,0.0,3.158059418322563,93.15762509921515,0.12629583556911286,,,,,,base,treatment,7,way/402234762,success,,,8351.7,eio_simulated,3.965479707677516,43.39790033630744,6.27962212169002,0.6863908639414983,6.616496697458943,0.0,0.0,31.313938275567267,31.313938275567267,0.0,0.0,3.158062136690911,95.4178901393336,0.38067771603139233,,,,,,treat,treatment,7,2.2602650401184405,2.4262802295691874,93.15789377363656,-0.0002884075739827687
