cell,mode,stem,severe_class,raw_first_severe_line
la_rural,floor,way_472961047,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (223.11] for zone=""WAY/472961047_F1_WHOLE"", for surface=""BLOCK WAY/472961047_WHOLE STOREY 1 WALL 0008"""
la_rural,floor,way_472961088,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (213.53] for zone=""WAY/472961088_F2_WHOLE"", for surface=""BLOCK WAY/472961088_WHOLE STOREY 2 FLOOR 0001_1"""
la_rural,floor,way_472961091,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (205.86] for zone=""WAY/472961091_F2_WHOLE"", for surface=""BLOCK WAY/472961091_WHOLE STOREY 2 FLOOR 0001_1"""
la_rural,floor,way_472961164,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (207.59] for zone=""WAY/472961164_F2_WHOLE"", for surface=""BLOCK WAY/472961164_WHOLE STOREY 2 FLOOR 0001_1"""
la_rural,floor,way_472961171,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (215.75] for zone=""WAY/472961171_F2_WHOLE"", for surface=""BLOCK WAY/472961171_WHOLE STOREY 2 WALL 0012"""
la_urban,auto,way_402215469,Temperature (low) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (low) out of bounds [-256.14] for zone=""WAY/402215469_F3_WHOLE"", for surface=""BLOCK WAY/402215469_WHOLE STOREY 3 FLOOR 0001_1"""
la_urban,layout_assign,relation_6374725,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -23743.03 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008"""
la_urban,layout_assign,way_401910463,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 182399.27 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008"""
la_urban,layout_assign,way_428846131,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -59865.37 C for zone=""LAUNDRYROOMFLR1"", for surface=""W_LAUNDRYROOMFLR1_3_0_0"""
nyc_centre,auto,way_266149332,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 90915.77 C for zone=""WAY/266149332_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0004_1"""
nyc_centre,auto,way_266170765,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 63269.75 C for zone=""WAY/266170765_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0004_1"""
nyc_centre,fast_zone,way_265301877,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -14641.54 C for zone=""WAY/265301877_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0005"""
nyc_centre,fast_zone,way_265301889,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 926382.20 C for zone=""WAY/265301889_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1"""
nyc_centre,fast_zone,way_265302168,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 8784594.85 C for zone=""WAY/265302168_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1"""
nyc_centre,fast_zone,way_266149332,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -14097.04 C for zone=""WAY/266149332_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 FLOOR 0001"""
nyc_centre,fast_zone,way_266170540,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -53250.69 C for zone=""WAY/266170540_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0002_1"""
nyc_centre,fast_zone,way_266170544,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 22980.87 C for zone=""WAY/266170544_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1"""
nyc_centre,fast_zone,way_266170765,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 1848943.44 C for zone=""WAY/266170765_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1"""
nyc_centre,fast_zone,way_292840084,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 11042.15 C for zone=""WAY/292840084_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1"""
nyc_rural,layout_assign,way_965718400,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -12459.96 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10070_0_10047"""
nyc_rural,layout_assign,way_965718402,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -11949.70 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008"""
nyc_rural,layout_assign,way_965718403,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -15490.64 C for zone=""LAUNDRYROOMFLR1"", for surface=""W_LAUNDRYROOMFLR1_3_0_0"""
