scope,definition,baseline,n,agree_n,agree_rate_pct,mean_signed_diff,max_signed_diff,min_signed_diff
archetype:Hospital,layout_assign_storey_count_attic_excluded,auto_storey_count,5,2,40.0,1.0,5,-1
archetype:Hospital,layout_assign_storey_count_attic_excluded,source_storey_count,5,2,40.0,1.0,5,-1
archetype:LargeHotel,layout_assign_storey_count,auto_storey_count,33,0,0.0,-9.3939,-1,-15
archetype:LargeHotel,layout_assign_storey_count,source_storey_count,33,0,0.0,-8.8485,3,-15
archetype:LargeHotel,layout_assign_storey_count_naive,auto_storey_count,33,0,0.0,-9.3939,-1,-15
archetype:LargeHotel,layout_assign_storey_count_naive,source_storey_count,33,0,0.0,-8.8485,3,-15
archetype:LargeHotel,layout_assign_storey_count_floor,auto_storey_count,33,0,0.0,-9.3939,-1,-15
archetype:LargeHotel,layout_assign_storey_count_floor,source_storey_count,33,0,0.0,-8.8485,3,-15
archetype:LargeHotel,layout_assign_storey_count_attic_excluded,auto_storey_count,33,0,0.0,-9.3939,-1,-15
archetype:LargeHotel,layout_assign_storey_count_attic_excluded,source_storey_count,33,0,0.0,-8.8485,3,-15
archetype:LargeOffice,layout_assign_storey_count,auto_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count,source_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count_naive,auto_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count_naive,source_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count_floor,auto_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count_floor,source_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count_attic_excluded,auto_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:LargeOffice,layout_assign_storey_count_attic_excluded,source_storey_count,257,5,1.9455,-4.6615,3,-16
archetype:MediumOffice,layout_assign_storey_count,auto_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count,source_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count_naive,auto_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count_naive,source_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count_floor,auto_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count_floor,source_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count_attic_excluded,auto_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MediumOffice,layout_assign_storey_count_attic_excluded,source_storey_count,391,26,6.6496,-3.5652,2,-17
archetype:MidriseApartment,layout_assign_storey_count,auto_storey_count,2818,343,12.1718,1.06,2,-6
archetype:MidriseApartment,layout_assign_storey_count,source_storey_count,2818,343,12.1718,1.06,2,-6
archetype:MidriseApartment,layout_assign_storey_count_naive,auto_storey_count,2818,1217,43.1867,-0.94,0,-8
archetype:MidriseApartment,layout_assign_storey_count_naive,source_storey_count,2818,1217,43.1867,-0.94,0,-8
archetype:MidriseApartment,layout_assign_storey_count_floor,auto_storey_count,2818,343,12.1718,1.06,2,-6
archetype:MidriseApartment,layout_assign_storey_count_floor,source_storey_count,2818,343,12.1718,1.06,2,-6
archetype:MidriseApartment,layout_assign_storey_count_attic_excluded,auto_storey_count,2818,343,12.1718,1.06,2,-6
archetype:MidriseApartment,layout_assign_storey_count_attic_excluded,source_storey_count,2818,343,12.1718,1.06,2,-6
archetype:OpenUBEMUnknown,layout_assign_storey_count,auto_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count,source_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count_naive,auto_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count_naive,source_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count_floor,auto_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count_floor,source_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count_attic_excluded,auto_storey_count,650,650,100.0,0.0,0,0
archetype:OpenUBEMUnknown,layout_assign_storey_count_attic_excluded,source_storey_count,650,650,100.0,0.0,0,0
archetype:Outpatient,layout_assign_storey_count,auto_storey_count,6,1,16.6667,0.1667,2,-6
