level,key,n,pooled_before_kwh_m2,pooled_after_kwh_m2,delta_kwh_m2
fleet,ALL,8144,152.3011,171.7718,19.4707
cell,nyc_centre,730,163.1933,188.9445,25.7512
cell,la_suburban,1343,108.4214,132.4586,24.0372
cell,nyc_suburban,1589,188.6648,211.9806,23.3158
cell,austin_centre,413,158.1577,179.1851,21.0274
cell,la_urban,617,130.5917,147.8671,17.2754
cell,nyc_rural,198,233.6318,245.301,11.6691
cell,la_centre,225,129.0365,139.5733,10.5367
cell,nyc_urban,1779,148.1909,157.6411,9.4502
cell,austin_suburban,437,159.0195,164.4821,5.4626
cell,austin_rural,245,154.4247,159.083,4.6583
cell,austin_urban,425,173.596,176.859,3.2629
cell,la_rural,143,122.9102,125.2783,2.3681
archetype,QuickServiceRestaurant,50,1469.7594,1542.3167,72.5573
archetype,FullServiceRestaurant,32,1077.872,1138.8845,61.0125
archetype,LargeHotel,26,398.6952,447.888,49.1928
archetype,TallBuilding,92,175.0431,213.3128,38.2697
archetype,SuperTallBuilding,24,151.1619,187.1749,36.013
archetype,SmallHotel,8,121.0017,156.1269,35.1252
archetype,MidriseApartment,2818,106.0622,137.8263,31.7641
archetype,HighriseApartment,32,106.0698,127.234,21.1642
archetype,SecondarySchool,10,241.024,259.8278,18.8038
archetype,Hospital,5,354.4701,360.9468,6.4767
archetype,Outpatient,6,202.5122,208.3067,5.7945
archetype,PrimarySchool,2,193.6555,197.6408,3.9853
archetype,MediumOffice,391,163.788,166.4406,2.6527
archetype,RetailStandalone,140,155.7823,158.3938,2.6115
archetype,SuperMarket,5,323.1077,325.6723,2.5646
archetype,OpenUBEMUnknown,650,107.217,109.5724,2.3555
archetype,LargeOffice,257,160.9662,162.7523,1.7861
archetype,Courthouse,68,126.3786,128.1646,1.786
archetype,SmallOffice,3497,114.2145,115.5166,1.3021
archetype,Warehouse,31,19.1983,19.7151,0.5168
tall_class,TALL_116,116,162.2534,199.3145,37.0611
tall_class,NON_TALL,8028,146.4398,155.551,9.1111
distribution,median,8144,,,2.4691
distribution,iqr_q1,8144,,,1.397
distribution,iqr_q3,8144,,,32.2354
distribution,p90,8144,,,37.2753
distribution,max,8144,,,89.1207
distribution,n_zero_change,0,,,0.0
