osm_id,height_m_before,height_m_after,provenance_height_m_before,provenance_height_m_after,was_null,filled_by_fusion
way/265424288,24.1,24.1,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424289,25.2,25.2,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424290,15.4,15.4,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424292,78.7,78.7,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424293,22.7,22.7,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424315,20.7,20.7,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424318,25.5,25.5,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424322,21.2,21.2,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424325,24.4,24.4,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424328,31.0,31.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424331,,113.7,OSM_MISSING,FUSED_OVERTURE_HIGH,True,True
way/265424333,41.0,41.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424344,12.2,12.2,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424350,26.3,26.3,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424359,69.2,69.2,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424368,,,OSM_MISSING,OSM_MISSING,True,False
way/265424370,,92.6,OSM_MISSING,FUSED_OVERTURE_HIGH,True,True
way/265424373,46.5,46.5,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424380,,,OSM_MISSING,OSM_MISSING,True,False
way/265424381,,,OSM_MISSING,OSM_MISSING,True,False
way/265424383,37.0,37.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424392,103.0,103.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424396,80.0,80.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424408,,90.3,OSM_MISSING,FUSED_OVERTURE_HIGH,True,True
way/265424410,89.6,89.6,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424412,56.3,56.3,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424415,44.5,44.5,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424423,41.0,41.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424428,68.7,68.7,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424430,68.9,68.9,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424435,78.3,78.3,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424438,,187.3,OSM_MISSING,FUSED_OVERTURE_HIGH,True,True
way/265424440,43.5,43.5,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424444,47.8,47.8,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424453,46.0,46.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424462,46.7,46.7,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265424467,31.0,31.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265427625,27.9,27.9,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265427666,,101.8,OSM_MISSING,FUSED_OVERTURE_HIGH,True,True
way/265875541,76.5,76.5,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265875558,25.0,25.0,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265875565,21.2,21.2,OSM_OBSERVED,OSM_OBSERVED,False,False
way/265875568,10.4,10.4,OSM_OBSERVED,OSM_OBSERVED,False,False
