cell,osm_id,archetype_id,base_storeys,treated_storeys,on_record_total_eui_kwh_m2,floor_count_control_pass,base_num_floors_from_idf,treat_num_floors_from_idf,base_parse_status,base_eui_kwh_m2,base_completed,base_n_severe,base_n_fatal,treat_parse_status,treat_eui_kwh_m2,treat_completed,treat_n_severe,treat_n_fatal,base_fidelity_diff_pct,delta_eui_kwh_m2,pct_change,run_status
austin_centre,way/37417989,LargeOffice,1,5,106.97664220049832,True,1.0,5.0,success,106.97657623071494,True,0,0,success,180.24945051094375,True,0,0,-6.166746499166424e-05,73.2728742802288,68.49431610355728,ok
austin_centre,way/516285449,LargeOffice,1,5,113.0053262845298,True,1.0,5.0,success,113.00547255871805,True,0,0,success,209.41234944408308,True,1,0,0.00012944008310291415,96.40687688536502,85.31168863107196,ok
austin_centre,way/55932518,LargeOffice,1,5,108.4777659476771,True,1.0,5.0,success,108.47781821938536,True,0,0,success,187.760452713237,True,0,0,4.8186564130819345e-05,79.28263449385163,73.08649435916065,ok
austin_suburban,way/206376503,Courthouse,1,3,115.70760678515988,True,1.0,3.0,success,115.70770169613301,True,0,0,success,206.21704116256453,True,0,0,8.202656313558237e-05,90.50933946643151,78.2223984572121,ok
austin_suburban,way/221890776,Courthouse,1,3,142.72548284492638,True,1.0,3.0,success,142.72538013201947,True,0,0,success,247.74525519150737,True,0,0,-7.196535955689383e-05,105.0198750594879,73.581779892508,ok
austin_suburban,way/382991813,Courthouse,1,3,120.61974931242968,True,1.0,3.0,success,120.61969651117879,True,0,0,success,190.2726399874426,True,1,0,-4.3774963212083795e-05,69.65294347626381,57.74591172993751,ok
austin_urban,way/1206018498,LargeOffice,1,5,114.27756767309862,True,1.0,5.0,success,114.27752749838967,True,0,0,success,157.1479232376006,True,0,0,-3.5155376300631176e-05,42.87039573921092,37.5142835845963,ok
austin_urban,way/243238233,LargeOffice,1,5,108.14806363255452,True,1.0,5.0,success,108.14804128456343,True,0,0,success,184.1595098253371,True,0,0,-2.0664254486695813e-05,76.01146854077366,70.28464652519158,ok
austin_urban,way/312329732,LargeOffice,1,6,113.58168716848124,True,1.0,6.0,success,113.58136727665246,True,0,0,success,198.65698883221114,True,0,0,-0.000281640321389373,85.07562155555868,74.90279752341618,ok
la_centre,way/1012945102,LargeOffice,1,5,101.94459354188336,True,1.0,5.0,success,101.94453930636375,True,0,0,success,178.65795322588,True,0,0,-5.3200976853040785e-05,76.71341391951624,75.25014526670925,ok
la_centre,way/1106947213,LargeOffice,1,5,100.08654263776168,True,1.0,5.0,success,100.08663839677963,True,0,0,success,165.5064753886663,True,0,0,9.567621723034417e-05,65.41983699188667,65.36320735694886,ok
la_centre,way/900894807,LargeOffice,1,5,100.13036865007284,True,1.0,5.0,success,100.13023195096252,True,0,0,success,178.51254298186055,True,0,0,-0.00013652112956032608,78.38231103089802,78.28036498435831,ok
la_suburban,way/285843826,Courthouse,1,2,88.6423468970763,True,1.0,2.0,success,88.64244626916785,True,0,0,success,143.31378869543607,True,0,0,0.0001121045358488876,54.671342426268225,61.676256384278446,ok
la_suburban,way/449558400,SmallOffice,1,2,137.3473698401199,True,1.0,2.0,success,137.3200092191433,True,0,0,success,121.78567093318779,True,0,0,-0.019920746213394656,-15.5343382859555,-11.312508915699894,ok
la_suburban,way/449558402,SmallOffice,1,2,93.24973512474553,True,1.0,2.0,success,93.25148870172613,True,0,0,success,90.8451452223285,True,0,0,0.0018805168489311635,-2.406343479397634,-2.580488003890807,ok
la_urban,relation/6412968,LargeOffice,1,11,102.35623408606985,True,1.0,11.0,success,102.35615918306455,True,0,0,success,139.60523444334743,True,0,0,-7.317874281666187e-05,37.24907526028288,36.391630516012924,ok
la_urban,way/402036175,LargeOffice,1,11,96.12912582354038,True,1.0,11.0,success,96.1291695988649,True,0,0,success,132.55476013412735,True,0,0,4.553804495037692e-05,36.425590535262444,37.89233870141801,ok
la_urban,way/402036182,LargeOffice,1,11,99.43711381805409,True,1.0,11.0,success,99.4369919028687,True,0,0,success,157.38608198803283,True,0,0,-0.0001226053137583204,57.94909008516413,58.2771954141267,ok
nyc_centre,way/260085136,LargeOffice,1,19,123.06033358176236,True,1.0,19.0,success,123.06018473290777,True,0,0,success,206.77062246262741,True,0,0,-0.00012095599797330408,83.71043772971964,68.02398185197464,ok
nyc_centre,way/260085159,LargeOffice,1,19,118.98172551530295,True,1.0,19.0,success,118.98157517793591,True,0,0,success,190.22359984259998,True,0,0,-0.00012635332560092497,71.24202466466407,59.87651832489378,ok
nyc_centre,way/266170853,LargeOffice,1,19,119.12150129780883,True,1.0,19.0,success,119.12161254297328,True,0,0,success,188.64857075356872,True,0,0,9.338798053700191e-05,69.52695821059544,58.36636755191128,ok
