group,cell,mode,stem,zone_name,volume_m3,floor_area_m2,multiplier,ceiling_height_m,volume_degenerate
fatal,la_centre,layout_assign,way_427942886,REARSTAIRSFLR1,77.69,23.17,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,CORRIDORFLR1,582.53,173.74,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,REARSTORAGEFLR1,77.69,23.17,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,FRONTLOUNGEFLR1,631.1,188.23,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,RESTROOMFLR1,126.22,37.65,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,MEETINGROOMFLR1,310.7,92.67,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,MECHANICALROOMFLR1,126.22,37.65,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM101,126.22,37.65,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM102,126.22,37.65,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM103,126.22,37.65,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM104,126.21,37.64,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM105,126.21,37.64,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,EMPLOYEELOUNGEFLR1,126.21,37.64,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,LAUNDRYROOMFLR1,378.63,112.93,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,ELEVATORCOREFLR1,58.25,17.37,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,EXERCISECENTERFLR1,126.21,37.64,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,FRONTOFFICEFLR1,504.85,150.57,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,FRONTSTAIRSFLR1,77.67,23.17,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,FRONTSTORAGEFLR1,48.54,14.48,1.0,3.35,False
fatal,la_centre,layout_assign,way_427942886,REARSTAIRSFLR2,63.56,23.17,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,CORRIDORFLR2,397.17,144.78,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,REARSTORAGEFLR2,63.57,23.17,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM201,103.27,37.65,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM202_205,413.09,150.59,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM206_208,333.65,121.63,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM209_212,413.09,150.59,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM213,103.27,37.65,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM214,103.26,37.64,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM215_218,413.06,150.57,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,ELEVATORCOREFLR2,47.66,17.37,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM219,103.26,37.64,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM220_223,413.06,150.57,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,GUESTROOM224,103.26,37.64,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,FRONTSTORAGEFLR2,39.72,14.48,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,FRONTSTAIRSFLR2,63.55,23.17,1.0,2.74,False
fatal,la_centre,layout_assign,way_427942886,REARSTAIRSFLR3,63.56,23.17,1.0,2.74,False
