cell,osm_id,archetype_id,load_path,floor_area_m2_auto,lighting_eui_kwh_m2,Interior_Lighting_eui,equipment_eui_kwh_m2,Interior_Equipment_eui,total_eui_kwh_m2,Total_End_Uses_kwh_eui,light_ratio_la_over_auto,equip_ratio_la_over_auto
austin_centre,way/1008727470,OpenUBEMUnknown,from_scratch_template,87.96,42.86457571173138,42.85407851296044,31.64658331597653,31.643173669849933,204.10559416205,187.01684079126878,0.9998,0.9999
austin_centre,way/328529693,SmallOffice,prototype_baseline_idf,269.23,26.465581702107222,10.150117995765703,27.76528278863482,26.2465497529993,105.63531190275197,82.08308941425547,0.3835,0.9453
austin_rural,way/1165379866,RetailStandalone,prototype_baseline_idf,147.36,58.28128677571382,22.827695154723123,48.97399036133495,23.525155700325733,194.4843147238398,203.26262333061888,0.3917,0.4804
austin_rural,way/1480414338,SmallOffice,prototype_baseline_idf,266.15,26.46522538806793,10.168513897041326,27.7649089763312,26.24203694772745,104.41216906801267,80.81930438645195,0.3842,0.9452
austin_rural,way/762128912,SmallOffice,prototype_baseline_idf,480.84,26.46486730979458,10.244927751311717,27.764533313153574,26.24652919145573,93.03503680232984,76.53814774209128,0.3871,0.9453
austin_rural,way/1450171441,SmallOffice,prototype_baseline_idf,1113.54,26.46513081967537,10.50125951654185,27.76480976376931,26.245249147786517,84.83748283789197,72.68462047018674,0.3968,0.9453
austin_suburban,way/382992872,SmallOffice,prototype_baseline_idf,34.7,26.46409964337374,10.13787591240876,27.763727947320238,26.273995072992697,161.6831748901788,115.90971459854015,0.3831,0.9463
austin_urban,way/381810583,MediumOffice,prototype_baseline_idf,5209.56,26.46506338197421,9.231466795126707,44.06321412883206,46.981000884762125,160.06983360472785,104.40631142437107,0.3488,1.0662
la_centre,way/905248736,SmallOffice,prototype_baseline_idf,149.45,26.46517731347799,10.14722421620088,27.764858540841075,26.24485952617393,93.93952999469506,77.72970783089801,0.3834,0.9453
la_centre,way/427817563,Warehouse,prototype_baseline_idf,2192.64,4.863624834060464,4.791474282616238,11.3004929436413,31.369277318702288,18.64288271807811,44.91239082408049,0.9852,2.7759
la_rural,way/472961221,SmallOffice,prototype_baseline_idf,45.59,26.463767870527043,10.095165416666667,27.76337988140528,26.23457,161.58454451556105,106.61009083333336,0.3815,0.9449
nyc_centre,way/265424467,Courthouse,from_scratch_template,17769.150000000005,19.676601374791662,19.676582114619997,28.25611345427458,28.256059028034535,203.60909952861013,155.1775094932509,1.0,1.0
nyc_rural,way/772627016,SmallOffice,prototype_baseline_idf,65.52,26.46587154374279,10.158782116964716,27.765586864134317,26.22487365877236,167.41789203012024,109.73274780086997,0.3838,0.9445
nyc_rural,way/772627029,SmallOffice,prototype_baseline_idf,123.16,26.46486838842002,10.189312512855674,27.76453444474934,26.2350990401097,144.69270033474874,95.17960613644155,0.385,0.9449
nyc_rural,way/270445757,SmallOffice,prototype_baseline_idf,228.42,26.465503295910423,10.230540970425139,27.765200531979705,26.25025882624769,123.11725255094768,85.81074829020334,0.3866,0.9454
nyc_rural,way/772627043,SmallOffice,prototype_baseline_idf,496.77,26.46523421808639,10.347091719257985,27.764918239983984,26.248440887358957,110.84665005308256,78.4147823675655,0.391,0.9454
nyc_suburban,way/846412106,OpenUBEMUnknown,from_scratch_template,32.65,24.892787045166028,24.92768618683002,43.10856286833603,43.1342556202144,364.020047896497,316.91341653905056,1.0014,1.0006
nyc_suburban,way/815835776,SmallOffice,prototype_baseline_idf,117.35,26.465001641401237,10.194597679230009,27.76467424166549,26.23609696860664,145.7548100269589,109.31707070252766,0.3852,0.9449
nyc_suburban,way/610017070,SmallOffice,prototype_baseline_idf,157.81,26.465728498583392,10.20135207706201,27.765436794154866,26.25593895243829,141.6619913776585,102.44089981938592,0.3855,0.9456
nyc_urban,way/241862488,OpenUBEMUnknown,from_scratch_template,76.02,24.46922495298619,24.481863456985003,22.766157279799558,22.764479005524862,259.6447799344274,230.16605659037097,1.0005,0.9999
