cell,osm_id,current_num_floors,preopen35_num_floors,current_floor_area_m2,preopen35_floor_area_m2,eio_readable,built_zone_count,built_distinct_storey_levels,built_floor_area_m2_summed,built_max_z_m,res_floor_area_m2,res_levels,res_height_m,res_archetype_id,simulation_status,total_eui_kwh_m2
austin_centre,relation/7480583,45,1,242204.261757241,5382.316927938689,True,45,45,301996.35,157.5,301996.35000000015,45.0,157.5,HighriseApartment,success,104.81614287698197
austin_centre,way/134807227,45,1,176263.73996118782,3916.9719991375073,True,45,45,176258.7,157.5,176258.69999999984,45.0,157.5,HighriseApartment,success,109.90858235093184
nyc_urban,way/281344664,6,1,66464.81127250328,11077.468545417214,True,6,6,66464.81999999999,21.0,66464.81999999999,6.0,21.0,MidriseApartment,success,98.16609083648005
nyc_centre,way/266034056,19,1,55716.80977286766,2932.4636722561927,True,19,19,55741.63,66.5,,1.0,3.5,LargeHotel,not_simulated,
austin_centre,way/231123149,5,1,41126.62098186585,8225.32419637317,True,45,5,40900.350000000006,17.5,40900.350000000006,5.0,17.5,LargeHotel,success,377.2972884926321
austin_centre,way/328723692,5,1,33172.58713336095,6634.517426672189,True,75,5,32619.69,17.5,32619.68999999999,5.0,17.5,LargeHotel,success,384.47846695744056
austin_centre,way/516276237,45,1,32414.44440997734,720.3209868883853,True,45,45,32412.6,157.5,32412.59999999998,45.0,157.5,HighriseApartment,success,109.55680880184536
nyc_centre,way/283346493,19,1,26306.328208859934,1384.5435899399965,True,19,19,26314.05,66.5,26314.05000000001,19.0,66.5,LargeHotel,success,394.7204795328021
nyc_centre,way/266170763,19,1,22214.627166547678,1169.1909035025094,True,247,19,21848.86,66.5,21848.86000000001,19.0,66.5,LargeHotel,success,529.4523404647108
la_urban,way/913603652,7,1,21616.036892408833,3088.005270344119,True,7,7,21616.07,24.5,21616.07,7.0,24.5,MidriseApartment,success,94.77215242934074
nyc_centre,way/266170756,19,1,20219.695406855426,1064.194495097654,True,19,19,20258.37,66.5,20258.369999999995,19.0,66.5,LargeHotel,success,399.3198747722966
nyc_centre,way/260180778,19,1,15891.04001094516,836.3705268918505,True,19,19,15891.98,66.5,15891.98,19.0,66.5,LargeHotel,success,389.3770738647359
la_urban,way/1416444072,7,1,14306.712624127003,2043.8160891610005,True,7,7,14306.74,24.5,14306.74,7.0,24.5,MidriseApartment,success,95.026026157354
nyc_urban,way/281345438,6,1,13011.84391175403,2168.640651959005,True,6,6,13024.32,21.0,13024.319999999998,6.0,21.0,MidriseApartment,success,102.96316385028001
nyc_centre,way/288448678,19,1,11433.170704711685,601.7458265637729,True,19,19,11432.11,66.5,11432.110000000006,19.0,66.5,LargeHotel,success,403.81843925489756
nyc_urban,way/828447386,6,1,10644.205453709745,1774.0342422849574,True,6,6,10675.619999999999,21.0,10675.62,6.0,21.0,MidriseApartment,success,100.05561024709888
la_urban,way/402234762,7,1,8351.67583912535,1193.0965484464787,True,7,7,8351.699999999999,24.5,8351.7,7.0,24.5,MidriseApartment,success,95.41789013933328
nyc_centre,way/293183674,19,1,7475.2711226431975,393.4353222443788,True,19,19,7482.39,66.5,7482.390000000003,19.0,66.5,LargeHotel,success,410.7076702453451
nyc_urban,way/832347781,6,1,4869.778195337921,811.6296992229868,True,6,6,4869.78,21.0,4869.78,6.0,21.0,MidriseApartment,success,114.14244417628504
nyc_centre,way/265301856,19,1,4807.125736069272,253.00661768785642,True,19,19,4807.19,66.5,4807.190000000002,19.0,66.5,LargeHotel,success,423.2889811795399
