cell,column,bucket,n_compared,n_match,n_differ,note
nyc_centre,osm_id,REPRODUCES,738,738,0,
nyc_centre,footprint_area_m2,STAGE-3-OR-LATER,738,5,733,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 733/738 spurious differences -- not a Stage-2 defect
nyc_centre,levels,STAGE-3-OR-LATER,738,136,602,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 602/738 spurious differences -- not a Stage-2 defect
nyc_centre,height_m,STAGE-3-OR-LATER,738,19,719,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 719/738 spurious differences -- not a Stage-2 defect
nyc_centre,archetype_id,DIFFERS,738,712,26,
nyc_centre,zoning_strategy,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,data_quality_flag,DIFFERS,738,700,38,
nyc_centre,heating_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,cooling_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,lighting_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,equipment_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,fans_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,pumps_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,dhw_gas_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,dhw_elec_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,dhw_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,cooking_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,refrigeration_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,total_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,gwp_heating_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_centre,gwp_cooling_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
