scope,cell,mode,vintage_standard,n,n_rows_in_scope,pct_within_scope
mode_cell,austin_centre,auto,DOERefPre1980,397,413,96.1259
mode_cell,austin_centre,auto,90.1-2019,16,413,3.8741
mode_cell,austin_centre,building,DOERefPre1980,397,413,96.1259
mode_cell,austin_centre,building,90.1-2019,16,413,3.8741
mode_cell,austin_centre,floor,DOERefPre1980,397,413,96.1259
mode_cell,austin_centre,floor,90.1-2019,16,413,3.8741
mode_cell,austin_centre,fast_zone,DOERefPre1980,397,413,96.1259
mode_cell,austin_centre,fast_zone,90.1-2019,16,413,3.8741
mode_cell,austin_centre,layout_assign,DOERefPre1980,397,413,96.1259
mode_cell,austin_centre,layout_assign,90.1-2019,16,413,3.8741
mode_cell,austin_rural,auto,DOERefPre1980,245,245,100.0
mode_cell,austin_rural,building,DOERefPre1980,245,245,100.0
mode_cell,austin_rural,floor,DOERefPre1980,245,245,100.0
mode_cell,austin_rural,fast_zone,DOERefPre1980,245,245,100.0
mode_cell,austin_rural,layout_assign,DOERefPre1980,245,245,100.0
mode_cell,austin_suburban,auto,DOERefPre1980,437,437,100.0
mode_cell,austin_suburban,building,DOERefPre1980,437,437,100.0
mode_cell,austin_suburban,floor,DOERefPre1980,437,437,100.0
mode_cell,austin_suburban,fast_zone,DOERefPre1980,437,437,100.0
mode_cell,austin_suburban,layout_assign,DOERefPre1980,437,437,100.0
mode_cell,austin_urban,auto,DOERefPre1980,425,425,100.0
mode_cell,austin_urban,building,DOERefPre1980,425,425,100.0
mode_cell,austin_urban,floor,DOERefPre1980,425,425,100.0
mode_cell,austin_urban,fast_zone,DOERefPre1980,425,425,100.0
mode_cell,austin_urban,layout_assign,DOERefPre1980,425,425,100.0
mode_cell,la_centre,auto,DOERefPre1980,196,226,86.7257
mode_cell,la_centre,auto,DOERef1980to2004,24,226,10.6195
mode_cell,la_centre,auto,90.1-2007,2,226,0.885
mode_cell,la_centre,auto,90.1-2019,2,226,0.885
mode_cell,la_centre,auto,90.1-2013,2,226,0.885
mode_cell,la_centre,building,DOERefPre1980,196,226,86.7257
mode_cell,la_centre,building,DOERef1980to2004,24,226,10.6195
mode_cell,la_centre,building,90.1-2007,2,226,0.885
mode_cell,la_centre,building,90.1-2019,2,226,0.885
mode_cell,la_centre,building,90.1-2013,2,226,0.885
mode_cell,la_centre,floor,DOERefPre1980,196,226,86.7257
mode_cell,la_centre,floor,DOERef1980to2004,24,226,10.6195
mode_cell,la_centre,floor,90.1-2007,2,226,0.885
mode_cell,la_centre,floor,90.1-2019,2,226,0.885
mode_cell,la_centre,floor,90.1-2013,2,226,0.885
mode_cell,la_centre,fast_zone,DOERefPre1980,196,226,86.7257
mode_cell,la_centre,fast_zone,DOERef1980to2004,24,226,10.6195
mode_cell,la_centre,fast_zone,90.1-2007,2,226,0.885
mode_cell,la_centre,fast_zone,90.1-2019,2,226,0.885
mode_cell,la_centre,fast_zone,90.1-2013,2,226,0.885
mode_cell,la_centre,layout_assign,DOERefPre1980,196,226,86.7257
mode_cell,la_centre,layout_assign,DOERef1980to2004,24,226,10.6195
mode_cell,la_centre,layout_assign,90.1-2007,2,226,0.885
mode_cell,la_centre,layout_assign,90.1-2019,2,226,0.885
mode_cell,la_centre,layout_assign,90.1-2013,2,226,0.885
mode_cell,la_rural,auto,DOERefPre1980,135,149,90.604
mode_cell,la_rural,auto,90.1-2007,14,149,9.396
mode_cell,la_rural,building,DOERefPre1980,135,149,90.604
mode_cell,la_rural,building,90.1-2007,14,149,9.396
mode_cell,la_rural,floor,DOERefPre1980,135,149,90.604
mode_cell,la_rural,floor,90.1-2007,14,149,9.396
mode_cell,la_rural,fast_zone,DOERefPre1980,135,149,90.604
mode_cell,la_rural,fast_zone,90.1-2007,14,149,9.396
mode_cell,la_rural,layout_assign,DOERefPre1980,135,149,90.604
mode_cell,la_rural,layout_assign,90.1-2007,14,149,9.396
mode_cell,la_suburban,auto,DOERefPre1980,1177,1343,87.6396
mode_cell,la_suburban,auto,DOERef1980to2004,85,1343,6.3291
mode_cell,la_suburban,auto,90.1-2007,81,1343,6.0313
mode_cell,la_suburban,building,DOERefPre1980,1177,1343,87.6396
mode_cell,la_suburban,building,DOERef1980to2004,85,1343,6.3291
mode_cell,la_suburban,building,90.1-2007,81,1343,6.0313
mode_cell,la_suburban,floor,DOERefPre1980,1177,1343,87.6396
mode_cell,la_suburban,floor,DOERef1980to2004,85,1343,6.3291
mode_cell,la_suburban,floor,90.1-2007,81,1343,6.0313
mode_cell,la_suburban,fast_zone,DOERefPre1980,1177,1343,87.6396
mode_cell,la_suburban,fast_zone,DOERef1980to2004,85,1343,6.3291
mode_cell,la_suburban,fast_zone,90.1-2007,81,1343,6.0313
mode_cell,la_suburban,layout_assign,DOERefPre1980,1177,1343,87.6396
mode_cell,la_suburban,layout_assign,DOERef1980to2004,85,1343,6.3291
mode_cell,la_suburban,layout_assign,90.1-2007,81,1343,6.0313
mode_cell,la_urban,auto,DOERefPre1980,540,618,87.3786
mode_cell,la_urban,auto,DOERef1980to2004,65,618,10.5178
mode_cell,la_urban,auto,90.1-2007,13,618,2.1036
mode_cell,la_urban,building,DOERefPre1980,540,618,87.3786
mode_cell,la_urban,building,DOERef1980to2004,65,618,10.5178
mode_cell,la_urban,building,90.1-2007,13,618,2.1036
mode_cell,la_urban,floor,DOERefPre1980,540,618,87.3786
mode_cell,la_urban,floor,DOERef1980to2004,65,618,10.5178
mode_cell,la_urban,floor,90.1-2007,13,618,2.1036
mode_cell,la_urban,fast_zone,DOERefPre1980,540,618,87.3786
mode_cell,la_urban,fast_zone,DOERef1980to2004,65,618,10.5178
mode_cell,la_urban,fast_zone,90.1-2007,13,618,2.1036
mode_cell,la_urban,layout_assign,DOERefPre1980,540,618,87.3786
mode_cell,la_urban,layout_assign,DOERef1980to2004,65,618,10.5178
mode_cell,la_urban,layout_assign,90.1-2007,13,618,2.1036
mode_cell,nyc_centre,auto,DOERefPre1980,657,738,89.0244
mode_cell,nyc_centre,auto,DOERef1980to2004,39,738,5.2846
mode_cell,nyc_centre,auto,90.1-2013,26,738,3.523
mode_cell,nyc_centre,auto,90.1-2007,12,738,1.626
mode_cell,nyc_centre,auto,90.1-2019,4,738,0.542
mode_cell,nyc_centre,building,DOERefPre1980,657,738,89.0244
mode_cell,nyc_centre,building,DOERef1980to2004,39,738,5.2846
mode_cell,nyc_centre,building,90.1-2013,26,738,3.523
mode_cell,nyc_centre,building,90.1-2007,12,738,1.626
mode_cell,nyc_centre,building,90.1-2019,4,738,0.542
mode_cell,nyc_centre,floor,DOERefPre1980,657,738,89.0244
mode_cell,nyc_centre,floor,DOERef1980to2004,39,738,5.2846
mode_cell,nyc_centre,floor,90.1-2013,26,738,3.523
mode_cell,nyc_centre,floor,90.1-2007,12,738,1.626
mode_cell,nyc_centre,floor,90.1-2019,4,738,0.542
mode_cell,nyc_centre,fast_zone,DOERefPre1980,657,738,89.0244
mode_cell,nyc_centre,fast_zone,DOERef1980to2004,39,738,5.2846
mode_cell,nyc_centre,fast_zone,90.1-2013,26,738,3.523
mode_cell,nyc_centre,fast_zone,90.1-2007,12,738,1.626
mode_cell,nyc_centre,fast_zone,90.1-2019,4,738,0.542
mode_cell,nyc_centre,layout_assign,DOERefPre1980,657,738,89.0244
mode_cell,nyc_centre,layout_assign,DOERef1980to2004,39,738,5.2846
mode_cell,nyc_centre,layout_assign,90.1-2013,26,738,3.523
mode_cell,nyc_centre,layout_assign,90.1-2007,12,738,1.626
mode_cell,nyc_centre,layout_assign,90.1-2019,4,738,0.542
mode_cell,nyc_rural,auto,90.1-2013,150,198,75.7576
mode_cell,nyc_rural,auto,DOERefPre1980,48,198,24.2424
mode_cell,nyc_rural,building,90.1-2013,150,198,75.7576
mode_cell,nyc_rural,building,DOERefPre1980,48,198,24.2424
mode_cell,nyc_rural,floor,90.1-2013,150,198,75.7576
mode_cell,nyc_rural,floor,DOERefPre1980,48,198,24.2424
mode_cell,nyc_rural,fast_zone,90.1-2013,150,198,75.7576
mode_cell,nyc_rural,fast_zone,DOERefPre1980,48,198,24.2424
mode_cell,nyc_rural,layout_assign,90.1-2013,150,198,75.7576
mode_cell,nyc_rural,layout_assign,DOERefPre1980,48,198,24.2424
mode_cell,nyc_suburban,auto,DOERefPre1980,1589,1589,100.0
mode_cell,nyc_suburban,building,DOERefPre1980,1589,1589,100.0
mode_cell,nyc_suburban,floor,DOERefPre1980,1589,1589,100.0
mode_cell,nyc_suburban,fast_zone,DOERefPre1980,1589,1589,100.0
mode_cell,nyc_suburban,layout_assign,DOERefPre1980,1589,1589,100.0
mode_cell,nyc_urban,auto,DOERefPre1980,1779,1779,100.0
mode_cell,nyc_urban,building,DOERefPre1980,1779,1779,100.0
mode_cell,nyc_urban,floor,DOERefPre1980,1779,1779,100.0
mode_cell,nyc_urban,fast_zone,DOERefPre1980,1779,1779,100.0
mode_cell,nyc_urban,layout_assign,DOERefPre1980,1779,1779,100.0
cell,austin_centre,ALL,DOERefPre1980,1985,2065,96.1259
cell,austin_centre,ALL,90.1-2019,80,2065,3.8741
cell,austin_rural,ALL,DOERefPre1980,1225,1225,100.0
cell,austin_suburban,ALL,DOERefPre1980,2185,2185,100.0
cell,austin_urban,ALL,DOERefPre1980,2125,2125,100.0
cell,la_centre,ALL,DOERefPre1980,980,1130,86.7257
cell,la_centre,ALL,DOERef1980to2004,120,1130,10.6195
cell,la_centre,ALL,90.1-2007,10,1130,0.885
cell,la_centre,ALL,90.1-2019,10,1130,0.885
cell,la_centre,ALL,90.1-2013,10,1130,0.885
cell,la_rural,ALL,DOERefPre1980,675,745,90.604
cell,la_rural,ALL,90.1-2007,70,745,9.396
cell,la_suburban,ALL,DOERefPre1980,5885,6715,87.6396
cell,la_suburban,ALL,DOERef1980to2004,425,6715,6.3291
cell,la_suburban,ALL,90.1-2007,405,6715,6.0313
cell,la_urban,ALL,DOERefPre1980,2700,3090,87.3786
cell,la_urban,ALL,DOERef1980to2004,325,3090,10.5178
cell,la_urban,ALL,90.1-2007,65,3090,2.1036
cell,nyc_centre,ALL,DOERefPre1980,3285,3690,89.0244
cell,nyc_centre,ALL,DOERef1980to2004,195,3690,5.2846
cell,nyc_centre,ALL,90.1-2013,130,3690,3.523
cell,nyc_centre,ALL,90.1-2007,60,3690,1.626
cell,nyc_centre,ALL,90.1-2019,20,3690,0.542
cell,nyc_rural,ALL,90.1-2013,750,990,75.7576
cell,nyc_rural,ALL,DOERefPre1980,240,990,24.2424
cell,nyc_suburban,ALL,DOERefPre1980,7945,7945,100.0
cell,nyc_urban,ALL,DOERefPre1980,8895,8895,100.0
mode,ALL,auto,DOERefPre1980,7625,8160,93.4436
mode,ALL,auto,DOERef1980to2004,213,8160,2.6103
mode,ALL,auto,90.1-2013,178,8160,2.1814
mode,ALL,auto,90.1-2007,122,8160,1.4951
mode,ALL,auto,90.1-2019,22,8160,0.2696
mode,ALL,building,DOERefPre1980,7625,8160,93.4436
mode,ALL,building,DOERef1980to2004,213,8160,2.6103
mode,ALL,building,90.1-2013,178,8160,2.1814
mode,ALL,building,90.1-2007,122,8160,1.4951
mode,ALL,building,90.1-2019,22,8160,0.2696
mode,ALL,floor,DOERefPre1980,7625,8160,93.4436
mode,ALL,floor,DOERef1980to2004,213,8160,2.6103
mode,ALL,floor,90.1-2013,178,8160,2.1814
mode,ALL,floor,90.1-2007,122,8160,1.4951
mode,ALL,floor,90.1-2019,22,8160,0.2696
mode,ALL,fast_zone,DOERefPre1980,7625,8160,93.4436
mode,ALL,fast_zone,DOERef1980to2004,213,8160,2.6103
mode,ALL,fast_zone,90.1-2013,178,8160,2.1814
mode,ALL,fast_zone,90.1-2007,122,8160,1.4951
mode,ALL,fast_zone,90.1-2019,22,8160,0.2696
