aggregation,value,value_4dp,expected_4dp
pooled,157.05515280240414,157.0552,157.0552
weighted_by_total_count,158.029843822048,158.0298,158.0298
weighted_by_success_count,158.05570792563702,158.0557,158.0557
unweighted_mean_of_cell_means,160.09929260728046,160.0993,160.0993
