osm_id,cells,n_stems,n_zones,n_stub_zones,frac_stub,all_stubbed,vol_built,vol_expected,vol_ratio
relation/11171765,nyc_centre,1,1,1,1.000000,True,10.0000,459029.9350,0.000022
relation/11171793,nyc_centre,1,1,1,1.000000,True,10.0000,549904.1800,0.000018
relation/12292681,la_centre,1,5,5,1.000000,True,50.0000,18190.2000,0.002749
relation/13781131,austin_centre,1,45,40,0.888889,False,39829.1500,57116.5000,0.697332
relation/17949119,nyc_urban,1,3,3,1.000000,True,30.0000,24606.3300,0.001219
relation/17953040,nyc_urban,2,2,2,1.000000,True,20.0000,6307.0000,0.003171
relation/1860567,nyc_centre,1,1,1,1.000000,True,10.0000,24427.9350,0.000409
relation/19829553,austin_rural,1,1,1,1.000000,True,10.0000,13570.9350,0.000737
relation/2765901,la_centre,1,1,1,1.000000,True,10.0000,11975.0750,0.000835
relation/3262925,nyc_urban,1,4,4,1.000000,True,40.0000,10658.2000,0.003753
relation/3263307,nyc_urban,1,5,5,1.000000,True,50.0000,13716.6750,0.003645
relation/3263308,nyc_urban,1,4,4,1.000000,True,40.0000,10697.5400,0.003739
relation/3263309,nyc_urban,1,4,4,1.000000,True,40.0000,10074.1200,0.003971
relation/3263310,nyc_urban,1,4,4,1.000000,True,40.0000,10623.3400,0.003765
relation/3565283,nyc_centre,1,5,5,1.000000,True,50.0000,6714.9250,0.007446
relation/3566904,nyc_centre,1,14,14,1.000000,True,140.0000,131429.2700,0.001065
relation/3576199,nyc_centre,1,14,14,1.000000,True,140.0000,58984.7300,0.002373
relation/3576201,nyc_centre,1,10,10,1.000000,True,100.0000,23871.0500,0.004189
relation/3729711,nyc_urban,1,5,5,1.000000,True,50.0000,20696.3750,0.002416
relation/5682346,austin_urban,1,2,2,1.000000,True,20.0000,8169.4200,0.002448
relation/5682347,austin_urban,1,2,2,1.000000,True,20.0000,9179.2400,0.002179
relation/5682350,austin_urban,1,2,2,1.000000,True,20.0000,17054.3800,0.001173
relation/5682352,austin_urban,1,5,5,1.000000,True,50.0000,57977.5000,0.000862
relation/5682354,austin_urban,1,3,3,1.000000,True,30.0000,12334.0350,0.002432
relation/5682408,austin_urban,1,3,3,1.000000,True,30.0000,98469.0000,0.000305
relation/5682409,austin_urban,1,192,184,0.958333,False,1103402.3100,1204792.1200,0.915845
relation/5682410,austin_urban,1,3,3,1.000000,True,30.0000,66891.8250,0.000448
relation/5685040,austin_urban,1,3,3,1.000000,True,30.0000,10319.8200,0.002907
relation/5698619,austin_suburban,1,5,5,1.000000,True,50.0000,121805.2500,0.000410
relation/6243355,la_urban,1,5,5,1.000000,True,50.0000,45731.1750,0.001093
relation/6333145,la_centre,1,6,6,1.000000,True,60.0000,212468.3400,0.000282
relation/6333146,la_centre,1,14,14,1.000000,True,140.0000,208173.5600,0.000673
relation/6333147,la_centre,1,12,12,1.000000,True,120.0000,159279.9600,0.000753
relation/6333148,la_centre,1,1,1,1.000000,True,10.0000,60439.0150,0.000165
relation/6353541,la_urban,1,7,7,1.000000,True,70.0000,111023.2200,0.000630
relation/6356829,la_urban,1,1,1,1.000000,True,10.0000,33318.3900,0.000300
relation/6356830,la_urban,1,14,14,1.000000,True,140.0000,104976.1300,0.001334
relation/6356862,la_urban,1,3,3,1.000000,True,30.0000,10396.5750,0.002886
relation/6356884,la_urban,1,8,8,1.000000,True,80.0000,124537.8400,0.000642
relation/6356886,la_urban,1,13,13,1.000000,True,130.0000,262650.1150,0.000495
relation/6356887,la_urban,1,3,3,1.000000,True,30.0000,3692.5350,0.008124
relation/6363655,la_centre,1,6,6,1.000000,True,60.0000,105273.8400,0.000570
relation/6363656,la_centre,1,6,6,1.000000,True,60.0000,84947.3100,0.000706
relation/6363660,la_centre,1,7,7,1.000000,True,70.0000,134820.8050,0.000519
relation/6363662,la_centre,1,4,4,1.000000,True,40.0000,6902.1400,0.005795
relation/6365236,la_centre,1,5,5,1.000000,True,50.0000,21035.7000,0.002377
relation/6366079,la_centre,1,6,6,1.000000,True,60.0000,28563.7800,0.002101
relation/6366080,la_centre,1,3,3,1.000000,True,30.0000,12738.9150,0.002355
relation/6366081,la_centre,1,17,17,1.000000,True,170.0000,133388.2900,0.001274
relation/6366083,la_centre,1,10,10,1.000000,True,100.0000,77247.8000,0.001295
relation/6366084,la_centre,1,10,10,1.000000,True,100.0000,67799.2000,0.001475
relation/6374725,la_urban,1,3,3,1.000000,True,30.0000,11412.4500,0.002629
relation/6378549,la_urban,1,5,5,1.000000,True,50.0000,27963.4250,0.001788
relation/6378550,la_urban,1,4,4,1.000000,True,40.0000,22238.8600,0.001799
relation/6378551,la_urban,1,3,3,1.000000,True,30.0000,16452.7650,0.001823
relation/6378552,la_urban,1,4,4,1.000000,True,40.0000,24929.6600,0.001605
relation/6378553,la_urban,1,4,4,1.000000,True,40.0000,11457.3200,0.003491
relation/6378554,la_urban,1,3,3,1.000000,True,30.0000,9935.7300,0.003019
relation/6378555,la_urban,1,3,3,1.000000,True,30.0000,16320.8850,0.001838
relation/6378556,la_urban,1,3,3,1.000000,True,30.0000,16958.8650,0.001769
relation/6378557,la_urban,1,3,3,1.000000,True,30.0000,16620.6600,0.001805
relation/6378558,la_urban,1,7,7,1.000000,True,70.0000,39301.6750,0.001781
relation/6378559,la_urban,1,5,5,1.000000,True,50.0000,41036.9750,0.001218
relation/6378579,la_urban,1,4,4,1.000000,True,40.0000,11375.8400,0.003516
relation/6378584,la_urban,1,4,4,1.000000,True,40.0000,21970.2000,0.001821
relation/6378585,la_urban,1,5,5,1.000000,True,50.0000,56106.2250,0.000891
relation/6387017,la_urban,1,4,4,1.000000,True,40.0000,24055.7800,0.001663
relation/6387018,la_urban,1,5,5,1.000000,True,50.0000,31105.7250,0.001607
relation/6387019,la_urban,1,5,5,1.000000,True,50.0000,13530.4750,0.003695
relation/6387020,la_urban,1,6,6,1.000000,True,60.0000,29336.7900,0.002045
relation/6387359,la_urban,1,6,6,1.000000,True,60.0000,31623.0600,0.001897
relation/6387360,la_urban,1,1,1,1.000000,True,10.0000,3880.5200,0.002577
relation/6387362,la_urban,1,3,3,1.000000,True,30.0000,9273.7050,0.003235
relation/6388321,la_urban,1,2,2,1.000000,True,20.0000,6235.7400,0.003207
relation/6388322,la_urban,1,5,5,1.000000,True,50.0000,15276.4500,0.003273
relation/6388323,la_urban,1,3,3,1.000000,True,30.0000,9465.9600,0.003169
relation/6388324,la_urban,1,4,4,1.000000,True,40.0000,32939.6200,0.001214
relation/6388325,la_urban,1,6,6,1.000000,True,60.0000,17050.9500,0.003519
relation/6388401,la_urban,1,6,6,1.000000,True,60.0000,19652.0100,0.003053
relation/6388402,la_urban,1,5,5,1.000000,True,50.0000,17846.8500,0.002802
relation/6388403,la_urban,1,5,5,1.000000,True,50.0000,15759.4500,0.003173
relation/6388404,la_urban,1,3,3,1.000000,True,30.0000,8412.3900,0.003566
relation/6388405,la_urban,1,5,5,1.000000,True,50.0000,15195.2500,0.003291
relation/6388422,la_urban,1,3,3,1.000000,True,30.0000,10251.0450,0.002927
relation/6388423,la_urban,1,5,5,1.000000,True,50.0000,19007.8000,0.002630
relation/6388424,la_urban,1,6,6,1.000000,True,60.0000,18851.2800,0.003183
relation/6388425,la_urban,1,5,5,1.000000,True,50.0000,34801.0250,0.001437
relation/6410855,la_centre,1,5,5,1.000000,True,50.0000,316979.6000,0.000158
relation/6412968,la_urban,1,1,1,1.000000,True,10.0000,18737.6350,0.000534
relation/6584771,la_suburban,1,2,2,1.000000,True,20.0000,2147.3200,0.009314
relation/6584772,la_suburban,1,2,2,1.000000,True,20.0000,1737.5400,0.011511
relation/6584773,la_suburban,1,2,2,1.000000,True,20.0000,1867.4600,0.010710
relation/6584774,la_suburban,1,2,2,1.000000,True,20.0000,2081.1700,0.009610
relation/6588707,la_suburban,1,3,3,1.000000,True,30.0000,27305.3550,0.001099
relation/6588709,la_suburban,1,2,2,1.000000,True,20.0000,1764.0700,0.011337
relation/6588710,la_suburban,1,1,1,1.000000,True,10.0000,981.4000,0.010190
relation/6588711,la_suburban,1,3,3,1.000000,True,30.0000,2517.2700,0.011918
relation/6588712,la_suburban,1,2,2,1.000000,True,20.0000,1759.8700,0.011364
relation/6588784,la_suburban,1,3,3,1.000000,True,30.0000,14477.5050,0.002072
relation/6588787,la_suburban,1,2,2,1.000000,True,20.0000,1598.6600,0.012510
relation/7480583,austin_centre,1,45,45,1.000000,True,450.0000,1056987.2250,0.000426
way/1004578731,austin_rural,1,1,1,1.000000,True,10.0000,2351.6850,0.004252
way/1004591178,austin_rural,1,1,1,1.000000,True,10.0000,4092.3050,0.002444
way/1004591179,austin_rural,1,1,1,1.000000,True,10.0000,8419.3900,0.001188
way/1004593673,austin_rural,1,1,1,1.000000,True,10.0000,5860.1900,0.001706
way/1004593674,austin_rural,1,1,1,1.000000,True,10.0000,1861.1250,0.005373
way/1004593675,austin_rural,1,1,1,1.000000,True,10.0000,390.2850,0.025622
way/1004593676,austin_rural,1,1,1,1.000000,True,10.0000,2618.2800,0.003819
way/1004593677,austin_rural,1,1,1,1.000000,True,10.0000,1032.5000,0.009685
way/1004593678,austin_rural,1,1,1,1.000000,True,10.0000,451.2900,0.022159
way/1004593679,austin_rural,1,1,1,1.000000,True,10.0000,1907.7100,0.005242
way/1004593681,austin_rural,1,1,1,1.000000,True,10.0000,1810.6550,0.005523
way/1004598203,austin_rural,1,1,1,1.000000,True,10.0000,445.3750,0.022453
way/1004598204,austin_rural,1,1,1,1.000000,True,10.0000,540.4700,0.018502
way/1004598206,austin_rural,1,1,1,1.000000,True,10.0000,1458.2750,0.006857
way/1005410328,austin_rural,1,1,1,1.000000,True,10.0000,929.7050,0.010756
