variant,scale,pct_change_scale,n_extracted_ok,n_reconciled_2pct,pooled_eui_baseline,pooled_eui_variant,pooled_pct_change_eui,pooled_elasticity,mean_per_building_elasticity,median_per_building_elasticity,delta_Heating_kwh_pooled,delta_Cooling_kwh_pooled,delta_Interior_Lighting_kwh_pooled,delta_Interior_Equipment_kwh_pooled,delta_Fans_kwh_pooled,delta_Pumps_kwh_pooled,delta_Water_Systems_kwh_pooled,delta_lighting_plus_equipment_kwh_pooled,delta_Total_End_Uses_kwh_pooled,heating_cooling_counter_movement_kwh_pooled,counter_movement_pct_of_gross_lightequip_delta,k_half_gap,k_all_gap,reachable_n,reachable_pooled_eui_baseline,reachable_pooled_eui_variant,reachable_pooled_pct_change_eui,reachable_pooled_elasticity,reachable_k_half_gap,reachable_k_all_gap,pooled_gap_pct_target
scale_0.7,0.7,-30.0,20,20,129.43155947619667,121.15205676021644,-6.3968190984385735,0.21322730328128578,0.05341335891055846,0.0,77958.33956999995,-33594.44713199983,-106825.00854599994,-152402.78997000004,-26252.77987800003,1041.666750000004,47.22222599995439,-259227.79851599998,-240025.019202,44363.892438000126,-17.11386382632182,1.5611382696246916,2.122276539249383,4,155.94462866627552,142.58450630019956,-8.567221891731117,0.2855740630577039,1.4189806270180187,1.8379612540360375,-23.93
scale_1.3,1.3,30.0,20,20,129.43155947619667,137.891295091629,6.536068675729835,0.21786895585766117,0.054917897965283305,0.0,-80041.67307000014,34458.33609000023,106825.00854599994,152405.56774800003,31519.446966000134,127.7777880000067,-41.666669999976875,259230.57629399997,245250.01961999945,-45583.336979999905,-17.58408966707025,1.5491833360516498,2.0983666721032996,4,155.94462866627552,169.5955817348314,8.753718024985124,0.2917906008328375,1.4100543323139656,1.8201086646279312,-23.93
