=== COUNT VERIFICATION ===
corpus,extension,n_source,n_dest,count_match,n_missing_in_dest,n_extra_in_dest
open48_refleet,.err,8160,8160,True,0,0
open48_refleet,.eio,0,0,True,0,0
open48_refleet,.end,8160,8160,True,0,0
open48_refleet,.gpkg,24,24,True,0,0
open48_refleet,.csv,14,14,True,0,0
open48_refleet,.geojson,12,12,True,0,0
open48_refleet,.parquet,36,36,True,0,0
open48_refleet,.json,24,24,True,0,0
open48_refleet,.idf,16332,16332,True,0,0
open48_refleet3,.err,5215,5215,True,0,0
open48_refleet3,.eio,5215,5215,True,0,0
open48_refleet3,.end,5215,5215,True,0,0
open48_refleet3,.gpkg,17,17,True,0,0
open48_refleet3,.csv,9,9,True,0,0
open48_refleet3,.geojson,5,5,True,0,0
open48_refleet3,.parquet,30,30,True,0,0
open48_refleet3,.json,10,10,True,0,0
open48_refleet3,.idf,14213,14213,True,0,0
open48_refleet3_t02a3,.err,0,0,True,0,0
open48_refleet3_t02a3,.eio,0,0,True,0,0
open48_refleet3_t02a3,.end,0,0,True,0,0
open48_refleet3_t02a3,.gpkg,1,1,True,0,0
open48_refleet3_t02a3,.csv,0,0,True,0,0
open48_refleet3_t02a3,.geojson,0,0,True,0,0
open48_refleet3_t02a3,.parquet,2,2,True,0,0
open48_refleet3_t02a3,.json,0,0,True,0,0
open48_refleet3_t02a3,.idf,1589,1589,True,0,0
open48_refleet3_t02a4,.err,1589,1589,True,0,0
open48_refleet3_t02a4,.eio,1589,1589,True,0,0
open48_refleet3_t02a4,.end,1589,1589,True,0,0
open48_refleet3_t02a4,.gpkg,2,2,True,0,0
open48_refleet3_t02a4,.csv,1,1,True,0,0
open48_refleet3_t02a4,.geojson,1,1,True,0,0
open48_refleet3_t02a4,.parquet,3,3,True,0,0
open48_refleet3_t02a4,.json,2,2,True,0,0
open48_refleet3_t02a4,.idf,3178,3178,True,0,0
open48_refleet4,.err,8160,8160,True,0,0
open48_refleet4,.eio,8160,8160,True,0,0
open48_refleet4,.end,8160,8160,True,0,0
open48_refleet4,.gpkg,24,24,True,0,0
open48_refleet4,.csv,15,15,True,0,0
open48_refleet4,.geojson,12,12,True,0,0
open48_refleet4,.parquet,36,36,True,0,0
open48_refleet4,.json,24,24,True,0,0
open48_refleet4,.idf,16336,16336,True,0,0
open48_repeat,.err,738,738,True,0,0
open48_repeat,.eio,0,0,True,0,0
open48_repeat,.end,738,738,True,0,0
open48_repeat,.gpkg,2,2,True,0,0
open48_repeat,.csv,1,1,True,0,0
open48_repeat,.geojson,1,1,True,0,0
open48_repeat,.parquet,3,3,True,0,0
open48_repeat,.json,2,2,True,0,0
open48_repeat,.idf,1479,1479,True,0,0

=== HASH VERIFICATION (200 random + all .gpkg/.parquet) ===
corpus,extension,relpath,src_sha256,dst_sha256,status
open48_refleet,.err,austin_urban\sim_out\way_382027307\eplusout.err,4fd5b720c98fd84b4a850c1baf68b28f39d0d3f03dab97f77ed4f6de02a6840a,4fd5b720c98fd84b4a850c1baf68b28f39d0d3f03dab97f77ed4f6de02a6840a,OK
open48_refleet,.err,la_suburban\sim_out\way_442633488\eplusout.err,30c5ea6acc125df0eba8937636a57a79b081eaa501951b51cc399d89e1c1851d,30c5ea6acc125df0eba8937636a57a79b081eaa501951b51cc399d89e1c1851d,OK
open48_refleet,.err,la_urban\sim_out\way_402259789\eplusout.err,cb311abc23fdd9aae76ef4f4fa6285e4c59d58ef6744ffef6b3692f4b5fbd532,cb311abc23fdd9aae76ef4f4fa6285e4c59d58ef6744ffef6b3692f4b5fbd532,OK
open48_refleet,.err,la_urban\sim_out\way_428643314\eplusout.err,3543c5803d303eeee40185bef684048cde6ac23520fd72cc1f99d97a2864a52f,3543c5803d303eeee40185bef684048cde6ac23520fd72cc1f99d97a2864a52f,OK
open48_refleet,.err,nyc_centre\sim_out\way_266010352\eplusout.err,fe4701cba628612bd1acc2b25dc60f88dad4ead245997154604bbba582190d08,fe4701cba628612bd1acc2b25dc60f88dad4ead245997154604bbba582190d08,OK
open48_refleet,.err,nyc_suburban\sim_out\way_1014146140\eplusout.err,00608c34c659ce7ba7e07dbae830b1a9d04865b30a74fef7fbd5531d09e415bc,00608c34c659ce7ba7e07dbae830b1a9d04865b30a74fef7fbd5531d09e415bc,OK
open48_refleet,.err,nyc_suburban\sim_out\way_1108092629\eplusout.err,ccd06f31945fc037b6011ec338f19cd28e6c540eb785d91d18e5af95462fb2f7,ccd06f31945fc037b6011ec338f19cd28e6c540eb785d91d18e5af95462fb2f7,OK
open48_refleet,.err,nyc_suburban\sim_out\way_610130139\eplusout.err,74e692cfc6deae7cb0b47cefec626862042882cd30af051ec821d541a2903f19,74e692cfc6deae7cb0b47cefec626862042882cd30af051ec821d541a2903f19,OK
open48_refleet,.err,nyc_suburban\sim_out\way_813473652\eplusout.err,712573e4f5676bedf556bd5526f56bd2df1abd03614e4134c1d31e0f09259023,712573e4f5676bedf556bd5526f56bd2df1abd03614e4134c1d31e0f09259023,OK
open48_refleet,.err,nyc_suburban\sim_out\way_815835969\eplusout.err,9459c8effb9d07728f0b32fc32603fc0c5fd2dcd055a75500cb8835c957cb2d6,9459c8effb9d07728f0b32fc32603fc0c5fd2dcd055a75500cb8835c957cb2d6,OK
open48_refleet,.err,nyc_suburban\sim_out\way_845749024\eplusout.err,d77620a2413e0690d57c2f399ca6f40241a26e854cae5427984cc14d38a55576,d77620a2413e0690d57c2f399ca6f40241a26e854cae5427984cc14d38a55576,OK
