variant,files_matched,vs_ground_truth_44
**  Fatal  **,44,0
** Fatal **,0,-44
**  Fatal **,0,-44
** Fatal  **,0,-44
"\*\*\s+Fatal\s+\*\* (R06 regex, canonical two-space form covered)",44,0
phaseE_cpb_fixtures.py site: '** Fatal  **' OR '**  Fatal  **' (file-level union),44,0
