column,donor_min,donor_max,drawn_min,drawn_median,drawn_max,n,n_out_of_bounds,n_below,n_above,worst_excursion
lighting_w_m2,3.44,18.3,3.454097924640844,10.869177508171468,18.246370156129075,290,0,0,0,0.0
equipment_w_m2,2.58,16.15,2.590186939672623,9.152907431139827,16.06683967293469,290,0,0,0,0.0
occupant_m2_per_person,4.65,51.1,4.743669936326527,31.06951019194392,51.04964196177036,290,0,0,0,0.0
wwr,0.1,0.4,0.10055463067312383,0.24271714327865535,0.39998290584246343,290,0,0,0,0.0
