cell,target,n_total,n_null,n_null_simulated,pct_null,n_needs_value_provenance,n_needs_value_provenance_simulated,provenance_breakdown_of_null_rows,provenance_breakdown_all_rows
nyc_centre,year_built,738,580,580,78.5908,580,580,OSM_MISSING=580,OSM_MISSING=580;OSM_OBSERVED=158
nyc_centre,function_tag,738,0,0,0.0,680,679,,OSM_MISSING=680;OSM_OBSERVED=58
nyc_centre,postcode,738,207,207,28.0488,207,207,OSM_MISSING=207,OSM_OBSERVED=531;OSM_MISSING=207
nyc_centre,building_tag,738,0,0,0.0,581,581,,OSM_GENERIC=581;OSM_OBSERVED=157
nyc_centre,geometry,738,0,0,0.0,0,0,,OSM_OBSERVED=738
nyc_rural,levels,198,198,198,100.0,198,198,OSM_MISSING=198,OSM_MISSING=198
nyc_rural,height_m,198,198,198,100.0,198,198,OSM_MISSING=198,OSM_MISSING=198
nyc_rural,year_built,198,197,197,99.4949,197,197,OSM_MISSING=197,OSM_MISSING=197;OSM_OBSERVED=1
nyc_rural,function_tag,198,0,0,0.0,148,148,,OSM_MISSING=148;OSM_OBSERVED=50
nyc_rural,postcode,198,80,80,40.404,80,80,OSM_MISSING=80,OSM_OBSERVED=118;OSM_MISSING=80
nyc_rural,building_tag,198,0,0,0.0,157,157,,OSM_GENERIC=157;OSM_OBSERVED=41
nyc_rural,geometry,198,0,0,0.0,0,0,,OSM_OBSERVED=198
nyc_suburban,levels,1589,1589,1589,100.0,1589,1589,OSM_MISSING=1589,OSM_MISSING=1589
nyc_suburban,height_m,1589,1589,1589,100.0,1589,1589,OSM_MISSING=1589,OSM_MISSING=1589
nyc_suburban,year_built,1589,1589,1589,100.0,1589,1589,OSM_MISSING=1589,OSM_MISSING=1589
nyc_suburban,function_tag,1589,0,0,0.0,1579,1579,,OSM_MISSING=1579;OSM_OBSERVED=10
nyc_suburban,postcode,1589,513,513,32.2845,513,513,OSM_MISSING=513,OSM_OBSERVED=1076;OSM_MISSING=513
nyc_suburban,building_tag,1589,0,0,0.0,320,320,,OSM_OBSERVED=1269;OSM_GENERIC=320
nyc_suburban,geometry,1589,0,0,0.0,0,0,,OSM_OBSERVED=1589
nyc_urban,levels,1779,1762,1762,99.0444,1762,1762,OSM_MISSING=1762,OSM_MISSING=1762;OSM_OBSERVED=17
nyc_urban,height_m,1779,40,40,2.2485,40,40,OSM_MISSING=40,OSM_OBSERVED=1739;OSM_MISSING=40
nyc_urban,year_built,1779,1779,1779,100.0,1779,1779,OSM_MISSING=1779,OSM_MISSING=1779
nyc_urban,function_tag,1779,0,0,0.0,1767,1767,,OSM_MISSING=1767;OSM_OBSERVED=12
nyc_urban,postcode,1779,546,546,30.6914,546,546,OSM_MISSING=546,OSM_OBSERVED=1233;OSM_MISSING=546
nyc_urban,building_tag,1779,0,0,0.0,1512,1512,,OSM_GENERIC=1512;OSM_OBSERVED=267
nyc_urban,geometry,1779,0,0,0.0,0,0,,OSM_OBSERVED=1779
