osm_id,vintage_prior,archetype_prior,levels,height_m,year_built,provenance_levels,provenance_height_m,provenance_year_built,in_prior,vintage_current,archetype_current,in_current,vintage_agree,archetype_agree,data_poor
relation/11171765,DOERefPre1980,OpenUBEMUnknown,,,,OSM_MISSING,OSM_MISSING,OSM_MISSING,both,DOERefPre1980,OpenUBEMUnknown,both,True,True,True
relation/11171793,DOERefPre1980,OpenUBEMUnknown,,,,OSM_MISSING,OSM_MISSING,OSM_MISSING,both,DOERefPre1980,OpenUBEMUnknown,both,True,True,True
relation/1860567,90.1-2007,LargeOffice,,,2007.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,90.1-2007,LargeOffice,both,True,True,True
relation/3565283,DOERefPre1980,MediumOffice,5.0,20.0,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
relation/3566904,DOERefPre1980,LargeOffice,,46.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERef1980to2004,LargeOffice,both,False,True,True
relation/3576199,DOERefPre1980,LargeOffice,,46.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERef1980to2004,LargeOffice,both,False,True,True
relation/3576201,DOERefPre1980,LargeOffice,,34.2,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,90.1-2013,LargeHotel,both,False,False,True
way/109284804,DOERefPre1980,MediumOffice,,,1971.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,False,True
way/109284807,DOERefPre1980,TallBuilding,39.0,,1935.0,OSM_OBSERVED,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,TallBuilding,both,True,True,True
way/109285745,90.1-2007,SuperTallBuilding,47.0,209.6,2004.0,OSM_OBSERVED,OSM_OBSERVED,OSM_OBSERVED,both,90.1-2007,SuperTallBuilding,both,True,True,False
way/1117680745,DOERefPre1980,OpenUBEMUnknown,,,,OSM_MISSING,OSM_MISSING,OSM_MISSING,both,DOERefPre1980,OpenUBEMUnknown,both,True,True,True
way/1117866997,DOERefPre1980,OpenUBEMUnknown,,3.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,OpenUBEMUnknown,both,True,True,True
way/1121582597,DOERefPre1980,OpenUBEMUnknown,,3.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,OpenUBEMUnknown,both,True,True,True
way/114071252,DOERef1980to2004,TallBuilding,,96.0,1982.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERef1980to2004,TallBuilding,both,True,True,True
way/1197731542,DOERefPre1980,SuperTallBuilding,46.0,257.0,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SuperTallBuilding,both,True,True,True
way/1240348353,DOERefPre1980,SuperTallBuilding,,325.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SuperTallBuilding,both,True,True,True
way/1240350113,DOERefPre1980,SuperTallBuilding,,304.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SuperTallBuilding,both,True,True,True
way/1317983503,DOERefPre1980,SmallOffice,,,,OSM_MISSING,OSM_MISSING,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
