osm_id,levels,height_m,footprint_area_m2,archetype_source,use_class,current_num_floors,preopen35_num_floors,current_floor_area_m2,preopen35_floor_area_m2,n_consumed_not_both_missing_in_cell,cell
way/1450169431,,,322.8109699043377,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,1,1,322.8109699043377,322.8109699043377,0,austin_rural
way/1509648448,,,445.6678872683556,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,1,1,445.6678872683556,445.6678872683556,0,austin_rural
way/240181910,,,400.28275850977485,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,1,1,400.28275850977485,400.28275850977485,0,austin_suburban
way/402234762,,,1193.0965484464787,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,7,1,8351.67583912535,1193.0965484464787,0,la_urban
way/913603652,,,3088.005270344119,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,7,1,21616.036892408833,3088.005270344119,0,la_urban
way/1416444072,,,2043.8160891610005,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,7,1,14306.712624127003,2043.8160891610005,0,la_urban
way/260180778,,,836.3705268918505,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,15891.04001094516,836.3705268918505,0,nyc_centre
way/265301856,,,253.00661768785642,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,4807.125736069272,253.00661768785642,0,nyc_centre
way/266034056,,,2932.4636722561927,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,55716.80977286766,2932.4636722561927,0,nyc_centre
way/266170756,,,1064.194495097654,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,20219.695406855426,1064.194495097654,0,nyc_centre
way/266170763,,,1169.1909035025094,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,22214.627166547678,1169.1909035025094,0,nyc_centre
way/283346493,,,1384.5435899399965,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,26306.328208859934,1384.5435899399965,0,nyc_centre
way/288448678,,,601.7458265637729,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,11433.170704711685,601.7458265637729,0,nyc_centre
way/293183674,,,393.4353222443788,"RULE_LODGING_TIER,GROUPMEDIAN_LEVELS_MED",commercial,19,1,7475.2711226431975,393.4353222443788,0,nyc_centre
way/281344664,,,11077.468545417214,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,6,1,66464.81127250328,11077.468545417214,0,nyc_urban
way/281345438,,,2168.640651959005,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,6,1,13011.84391175403,2168.640651959005,0,nyc_urban
way/821626191,,,272.8871398655494,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,6,1,1637.3228391932962,272.8871398655494,0,nyc_urban
way/828447386,,,1774.0342422849574,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,6,1,10644.205453709745,1774.0342422849574,0,nyc_urban
way/832347781,,,811.6296992229868,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",residential,6,1,4869.778195337921,811.6296992229868,0,nyc_urban
