cell,osm_id,archetype_id,recovered_levels,footprint_area_m2,base_generation_status,treat_generation_status,base_zoning_strategy,treat_zoning_strategy,base_num_zones,treat_num_zones,base_idf_path,treat_idf_path,epw_path,base_num_floors_from_idf,treat_num_floors_from_idf,floor_count_control_pass,prep_status,arm_kind,recovered_lev_src
austin_centre,way/134807227,HighriseApartment,45,3916.9719991375073,success,success,single_zone,one_zone_per_floor,1,45,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_centre\way_134807227\baseline\idfs\way_134807227.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_centre\way_134807227\treated\idfs\way_134807227.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_centre\weather\weather\USA_TX_Austin-Camp.Mabry.ANGB.722544_TMYx.2011-2025.epw,1.0,45.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
austin_centre,way/516276237,HighriseApartment,45,720.3209868883853,success,success,single_zone,one_zone_per_floor,1,45,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_centre\way_516276237\baseline\idfs\way_516276237.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_centre\way_516276237\treated\idfs\way_516276237.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_centre\weather\weather\USA_TX_Austin-Camp.Mabry.ANGB.722544_TMYx.2011-2025.epw,1.0,45.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
austin_centre,relation/7480583,HighriseApartment,45,5382.316927938689,success,success,single_zone,one_zone_per_floor,1,45,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_centre\relation_7480583\baseline\idfs\relation_7480583.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_centre\relation_7480583\treated\idfs\relation_7480583.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_centre\weather\weather\USA_TX_Austin-Camp.Mabry.ANGB.722544_TMYx.2011-2025.epw,1.0,45.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
austin_rural,way/762126689,MidriseApartment,1,305.90197670487123,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_762126689\baseline\idfs\way_762126689.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_762126689\treated\idfs\way_762126689.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_rural\weather\weather\USA_TX_Horseshoe.Bay.Resort.AP.720639_TMYx.2011-2025.epw,1.0,1.0,True,ok,negative_control,GROUPMEDIAN_LEVELS_MED
austin_rural,way/1005416637,MidriseApartment,1,259.31180728264366,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1005416637\baseline\idfs\way_1005416637.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1005416637\treated\idfs\way_1005416637.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_rural\weather\weather\USA_TX_Horseshoe.Bay.Resort.AP.720639_TMYx.2011-2025.epw,1.0,1.0,True,ok,negative_control,GROUPMEDIAN_LEVELS_MED
austin_rural,way/1450169423,MidriseApartment,1,368.63190895054777,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1450169423\baseline\idfs\way_1450169423.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1450169423\treated\idfs\way_1450169423.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_rural\weather\weather\USA_TX_Horseshoe.Bay.Resort.AP.720639_TMYx.2011-2025.epw,1.0,1.0,True,ok,negative_control,GROUPMEDIAN_LEVELS_MED
austin_rural,way/1450169427,MidriseApartment,1,322.8104766977277,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1450169427\baseline\idfs\way_1450169427.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1450169427\treated\idfs\way_1450169427.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_rural\weather\weather\USA_TX_Horseshoe.Bay.Resort.AP.720639_TMYx.2011-2025.epw,1.0,1.0,True,ok,negative_control,GROUPMEDIAN_LEVELS_MED
austin_rural,way/1450169428,MidriseApartment,1,322.81094393456397,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1450169428\baseline\idfs\way_1450169428.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\austin_rural\way_1450169428\treated\idfs\way_1450169428.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\austin_rural\weather\weather\USA_TX_Horseshoe.Bay.Resort.AP.720639_TMYx.2011-2025.epw,1.0,1.0,True,ok,negative_control,GROUPMEDIAN_LEVELS_MED
la_urban,way/402234762,MidriseApartment,7,1193.0965484464787,success,success,single_zone,one_zone_per_floor,1,7,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_402234762\baseline\idfs\way_402234762.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_402234762\treated\idfs\way_402234762.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\la_urban\weather\weather\USA_CA_Los.Angeles.Downtown-USC.Campus.722874_TMYx.2011-2025.epw,1.0,7.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
la_urban,way/913603652,MidriseApartment,7,3088.005270344119,success,success,single_zone,one_zone_per_floor,1,7,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_913603652\baseline\idfs\way_913603652.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_913603652\treated\idfs\way_913603652.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\la_urban\weather\weather\USA_CA_Los.Angeles.Downtown-USC.Campus.722874_TMYx.2011-2025.epw,1.0,7.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
