cell,n_success,recomputed_pooled_eui,restated_table_eui,diff
austin_centre,413,158.1577,158.16,-0.0023
austin_rural,245,154.4247,154.42,0.0047
austin_suburban,437,159.0195,159.2,-0.1805
austin_urban,425,173.596,173.62,-0.024
la_centre,226,129.7392,129.73,0.0092
la_rural,144,121.4555,121.51,-0.0545
la_suburban,1343,108.4214,108.42,0.0014
la_urban,617,130.5917,130.59,0.0017
nyc_centre,737,166.5927,166.57,0.0227
nyc_rural,198,233.6318,233.63,0.0018
nyc_suburban,1589,188.6648,188.66,0.0048
nyc_urban,1779,148.1909,148.21,-0.0191
