cell,mode,stem,n_zones,area_plain_m2,area_multiplier_aware_m2,max_zone_multiplier,max_zone_list_multiplier,n_zones_excluded_not_in_total_area,parse_status
austin_centre,auto,relation_13781131,45,16319.000000000004,16319.000000000004,1,1,0,ok
austin_centre,auto,relation_7480583,1,6711.03,6711.03,1,1,0,ok
austin_centre,auto,way_1008727466,1,82.13,82.13,1,1,0,ok
austin_centre,auto,way_1008727467,1,95.99,95.99,1,1,0,ok
austin_centre,auto,way_1008727468,1,73.99,73.99,1,1,0,ok
austin_centre,auto,way_1008727469,1,81.75,81.75,1,1,0,ok
austin_centre,auto,way_1008727470,1,87.96,87.96,1,1,0,ok
austin_centre,auto,way_1020753276,1,312.26,312.26,1,1,0,ok
austin_centre,auto,way_1020754973,2,608.4,608.4,1,1,0,ok
austin_centre,auto,way_1020754974,14,1442.8799999999999,1442.8799999999999,1,1,0,ok
austin_centre,auto,way_1020979628,1,216.44,216.44,1,1,0,ok
austin_centre,auto,way_1020979629,1,275.44,275.44,1,1,0,ok
austin_centre,auto,way_1020979630,1,125.0,125.0,1,1,0,ok
austin_centre,auto,way_1021167043,1,109.43,109.43,1,1,0,ok
austin_centre,auto,way_1021167044,1,140.43,140.43,1,1,0,ok
austin_centre,auto,way_1021167045,1,324.17,324.17,1,1,0,ok
austin_centre,auto,way_1022725553,1,43.52,43.52,1,1,0,ok
austin_centre,auto,way_1025013853,112,13980.799999999997,13980.799999999997,1,1,0,ok
austin_centre,auto,way_1029943785,1,453.71,453.71,1,1,0,ok
austin_centre,auto,way_1029943786,5,15268.150000000001,15268.150000000001,1,1,0,ok
austin_centre,auto,way_1032979883,1,451.75,451.75,1,1,0,ok
austin_centre,auto,way_1034698229,1,244.24,244.24,1,1,0,ok
austin_centre,auto,way_1034702476,1,130.1,130.1,1,1,0,ok
austin_centre,auto,way_1039387743,1,1399.93,1399.93,1,1,0,ok
austin_centre,auto,way_1039387744,1,409.35,409.35,1,1,0,ok
austin_centre,auto,way_1039387745,1,973.84,973.84,1,1,0,ok
austin_centre,auto,way_1039387746,1,89.55,89.55,1,1,0,ok
austin_centre,auto,way_1039387747,1,104.96,104.96,1,1,0,ok
austin_centre,auto,way_1039387750,1,26.08,26.08,1,1,0,ok
austin_centre,auto,way_1039387756,1,27.99,27.99,1,1,0,ok
austin_centre,auto,way_1039387757,1,42.75,42.75,1,1,0,ok
austin_centre,auto,way_1039387764,1,234.94,234.94,1,1,0,ok
austin_centre,auto,way_1051117928,2,591.82,591.82,1,1,0,ok
