osm_id,year_built,data_quality_flag,run2_archetype,head_vintage,head_vintage_tier,e02_vintage,e02_archetype,cell
way/265281598,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265296083,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296085,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296086,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296088,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265296090,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265296092,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265296095,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296097,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265296099,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296100,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296101,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265296102,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265296110,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265296256,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265296257,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
