cell,n_buildings,n_excluded_no_height_before,n_excluded_no_height_after,pct_excluded_no_height_before,pct_excluded_no_height_after,svf_mean_before,svf_mean_after,zero_building_massing_before,zero_building_massing_after,changed
nyc_centre,738,121,121,16.395663956639567,16.395663956639567,0.8727607727050781,0.8727607727050781,False,False,False
nyc_urban,1779,40,40,2.2484541877459248,2.2484541877459248,0.9101635813713074,0.9101635813713074,False,False,False
nyc_suburban,1589,1589,15,100.0,0.9439899307740718,1.0,0.9618839621543884,True,False,True
nyc_rural,198,198,72,100.0,36.36363636363637,1.0,0.9971700310707092,True,False,True
la_centre,226,45,45,19.91150442477876,19.91150442477876,0.8794488310813904,0.8794488310813904,False,False,False
la_urban,618,42,42,6.796116504854369,6.796116504854369,0.8716724514961243,0.8716724514961243,False,False,False
la_suburban,1343,15,15,1.1169024571854058,1.1169024571854058,0.9478917717933656,0.9478917717933656,False,False,False
la_rural,149,1,1,0.6711409395973155,0.6711409395973155,0.9976080656051636,0.9976080656051636,False,False,False
austin_centre,413,349,11,84.50363196125907,2.6634382566585955,0.9474408626556396,0.8426005840301514,False,False,True
austin_urban,425,47,47,11.058823529411764,11.058823529411764,0.9549382328987122,0.9549382328987122,False,False,False
austin_suburban,437,114,114,26.08695652173913,26.08695652173913,0.978224754333496,0.978224754333496,False,False,False
austin_rural,245,245,47,100.0,19.183673469387756,1.0,0.9934619069099426,True,False,True
