cell,n_total,n_success,floor_area_m2,weighted_total_eui
austin_centre,413,413,3799401.3418317237,168.7719377995386
austin_rural,245,245,154942.4467727436,157.14403472203009
austin_suburban,437,437,277273.9149909371,171.50153047945693
austin_urban,425,425,1105762.3605047038,177.1388388016998
la_centre,226,226,3199128.308124813,132.88848793122736
la_rural,149,144,98622.47186385676,121.4559852715721
la_suburban,1343,1343,593361.8012159453,108.43958294367648
la_urban,618,617,2884520.551756312,130.00323590948662
nyc_centre,738,738,10052180.94336785,168.1110649958788
nyc_rural,198,198,48282.8606220529,234.90306896736524
nyc_suburban,1589,1589,182144.95365102252,198.5571134278183
nyc_urban,1779,1779,1150246.4106719673,152.27663003761532
