stem,fast_zone,auto,floor,n_modes_failed,fails_in_all_three
way_472960972,1,1,1,3,1
way_472961034,1,1,1,3,1
way_472961047,1,1,1,3,1
way_472961088,1,1,1,3,1
way_472961089,1,0,0,1,0
way_472961090,1,0,0,1,0
way_472961091,1,1,1,3,1
way_472961092,0,1,0,1,0
way_472961093,1,0,0,1,0
way_472961164,1,0,1,2,0
way_472961171,1,1,1,3,1
