cell,stem,mode,mode_dir_exists,building_dir_exists,err_file_exists,end_file_exists,end_file_text,has_fatal,fatal_line_no,fatal_line_text,n_severe_total,severe_line_no,severe_line_text,cause_class,temperature
la_rural,way_472960972,auto,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 745 Warning; 24 Severe Errors; Elapsed Time=00hr 02min 21.10sec,True,594,**  Fatal  ** Program terminates due to preceding condition.,21,592,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-444.53
la_rural,way_472960972,building,True,True,True,True,EnergyPlus Completed Successfully-- 21 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  8.99sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472960972,fast_zone,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 630 Warning; 5 Severe Errors; Elapsed Time=00hr 02min 13.10sec,True,80,**  Fatal  ** Program terminates due to preceding condition.,4,78,"** Severe  ** Temperature (low) out of bounds [-281.25] for zone=""WAY/472960972_F2_PERIM10"", for surface=""BLOCK PERIMETER_ZONE_10 STOREY 2 WALL 0001_1""",Temperature (low) out of bounds,-281.25
la_rural,way_472960972,floor,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 475 Warning; 9 Severe Errors; Elapsed Time=00hr 00min 20.88sec,True,81,**  Fatal  ** Program terminates due to preceding condition.,5,79,"** Severe  ** Temperature (low) out of bounds [-269.27] for zone=""WAY/472960972_F2_WHOLE"", for surface=""BLOCK WAY/472960972_WHOLE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-269.27
la_rural,way_472960972,layout_assign,True,True,True,True,EnergyPlus Completed Successfully-- 748605 Warning; 1 Severe Errors; Elapsed Time=00hr 01min  6.73sec,False,,,1,,,NO_FATAL_IN_FILE,
la_rural,way_472961034,auto,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 2261 Warning; 8 Severe Errors; Elapsed Time=00hr 01min 47.59sec,True,277,**  Fatal  ** Program terminates due to preceding condition.,7,275,"** Severe  ** Temperature (low) out of bounds [-364.80] for zone=""WAY/472961034_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""",Temperature (low) out of bounds,-364.80
la_rural,way_472961034,building,True,True,True,True,EnergyPlus Completed Successfully-- 21 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.51sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961034,fast_zone,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 220 Warning; 6 Severe Errors; Elapsed Time=00hr 00min 47.02sec,True,83,**  Fatal  ** Program terminates due to preceding condition.,6,81,"** Severe  ** Temperature (low) out of bounds [-254.86] for zone=""WAY/472961034_F2_PERIM5"", for surface=""BLOCK PERIMETER_ZONE_5 STOREY 2 WALL 0003_1""",Temperature (low) out of bounds,-254.86
la_rural,way_472961034,floor,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 555 Warning; 14 Severe Errors; Elapsed Time=00hr 00min  9.92sec,True,81,**  Fatal  ** Program terminates due to preceding condition.,5,79,"** Severe  ** Temperature (low) out of bounds [-260.55] for zone=""WAY/472961034_F2_WHOLE"", for surface=""BLOCK WAY/472961034_WHOLE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-260.55
la_rural,way_472961034,layout_assign,True,True,True,True,EnergyPlus Completed Successfully-- 781122 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 31.24sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961088,auto,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 2568 Warning; 10 Severe Errors; Elapsed Time=00hr 01min 12.62sec,True,273,**  Fatal  ** Program terminates due to preceding condition.,5,271,"** Severe  ** Temperature (low) out of bounds [-250.61] for zone=""WAY/472961088_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-250.61
la_rural,way_472961088,building,True,True,True,True,EnergyPlus Completed Successfully-- 21 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.43sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961088,fast_zone,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 607 Warning; 6 Severe Errors; Elapsed Time=00hr 00min 46.48sec,True,83,**  Fatal  ** Program terminates due to preceding condition.,6,81,"** Severe  ** Temperature (low) out of bounds [-292.18] for zone=""WAY/472961088_F2_PERIM6"", for surface=""BLOCK PERIMETER_ZONE_6 STOREY 2 WALL 0002""",Temperature (low) out of bounds,-292.18
la_rural,way_472961088,floor,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 600 Warning; 43 Severe Errors; Elapsed Time=00hr 00min 10.10sec,True,81,**  Fatal  ** Program terminates due to preceding condition.,5,79,"** Severe  ** Temperature (low) out of bounds [-331.96] for zone=""WAY/472961088_F2_WHOLE"", for surface=""BLOCK WAY/472961088_WHOLE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-331.96
la_rural,way_472961088,layout_assign,True,True,True,True,EnergyPlus Completed Successfully-- 771866 Warning; 0 Severe Errors; Elapsed Time=00hr 01min  7.57sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961091,auto,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 2468 Warning; 10 Severe Errors; Elapsed Time=00hr 01min 13.25sec,True,273,**  Fatal  ** Program terminates due to preceding condition.,5,271,"** Severe  ** Temperature (low) out of bounds [-256.09] for zone=""WAY/472961091_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-256.09
la_rural,way_472961091,building,True,True,True,True,EnergyPlus Completed Successfully-- 21 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.48sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961091,fast_zone,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 486 Warning; 23 Severe Errors; Elapsed Time=00hr 00min 43.16sec,True,102,**  Fatal  ** Program terminates due to preceding condition.,13,100,"** Severe  ** Temperature (high) out of bounds [530.25] for zone=""WAY/472961091_F2_PERIM6"", for surface=""BLOCK PERIMETER_ZONE_6 STOREY 2 WALL 0002""",Temperature (high) out of bounds,530.25
la_rural,way_472961091,floor,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 924 Warning; 71 Severe Errors; Elapsed Time=00hr 00min 10.95sec,True,81,**  Fatal  ** Program terminates due to preceding condition.,5,79,"** Severe  ** Temperature (low) out of bounds [-286.28] for zone=""WAY/472961091_F2_WHOLE"", for surface=""BLOCK WAY/472961091_WHOLE STOREY 2 FLOOR 0001_1""",Temperature (low) out of bounds,-286.28
la_rural,way_472961091,layout_assign,True,True,True,True,EnergyPlus Completed Successfully-- 795467 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 31.73sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961171,auto,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 467 Warning; 10 Severe Errors; Elapsed Time=00hr 01min 15.14sec,True,369,**  Fatal  ** Program terminates due to preceding condition.,5,367,"** Severe  ** Temperature (low) out of bounds [-262.52] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""",Temperature (low) out of bounds,-262.52
la_rural,way_472961171,building,True,True,True,True,EnergyPlus Completed Successfully-- 30 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.58sec,False,,,0,,,NO_FATAL_IN_FILE,
la_rural,way_472961171,fast_zone,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 390 Warning; 8 Severe Errors; Elapsed Time=00hr 01min  8.32sec,True,89,**  Fatal  ** Program terminates due to preceding condition.,7,87,"** Severe  ** Temperature (low) out of bounds [-361.17] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",Temperature (low) out of bounds,-361.17
la_rural,way_472961171,floor,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 400 Warning; 19 Severe Errors; Elapsed Time=00hr 00min 12.42sec,True,105,**  Fatal  ** Program terminates due to preceding condition.,17,103,"** Severe  ** Temperature (low) out of bounds [-395.60] for zone=""WAY/472961171_F2_WHOLE"", for surface=""BLOCK WAY/472961171_WHOLE STOREY 2 FLOOR 0001_1""",Temperature (low) out of bounds,-395.60
la_rural,way_472961171,layout_assign,True,True,True,True,EnergyPlus Completed Successfully-- 399919 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 28.39sec,False,,,0,,,NO_FATAL_IN_FILE,
la_urban,way_402215469,auto,True,True,True,True,EnergyPlus Terminated--Fatal Error Detected. 1348 Warning; 12 Severe Errors; Elapsed Time=00hr 00min 38.40sec,True,136,**  Fatal  ** Program terminates due to preceding condition.,6,134,"** Severe  ** Temperature (low) out of bounds [-256.14] for zone=""WAY/402215469_F3_WHOLE"", for surface=""BLOCK WAY/402215469_WHOLE STOREY 3 FLOOR 0001_1""",Temperature (low) out of bounds,-256.14
la_urban,way_402215469,building,True,True,True,True,EnergyPlus Completed Successfully-- 22 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 22.07sec,False,,,0,,,NO_FATAL_IN_FILE,
la_urban,way_402215469,fast_zone,True,True,True,True,EnergyPlus Completed Successfully-- 2648 Warning; 2 Severe Errors; Elapsed Time=00hr 00min 57.77sec,False,,,1,,,NO_FATAL_IN_FILE,
la_urban,way_402215469,floor,True,True,True,True,EnergyPlus Completed Successfully-- 2648 Warning; 2 Severe Errors; Elapsed Time=00hr 00min 56.62sec,False,,,1,,,NO_FATAL_IN_FILE,
la_urban,way_402215469,layout_assign,True,True,True,True,EnergyPlus Completed Successfully-- 2027498 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 40.41sec,False,,,0,,,NO_FATAL_IN_FILE,
