osm_id,cell,area_m2,levels,levels_source,archetype_off,archetype_on,no_floor_count_at_all,in_open35_11
way/99259744,austin_centre,286.1129402867987,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/99725028,austin_centre,229.5832912945793,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/99868637,austin_centre,190.44894309738555,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/99868651,austin_centre,304.514029318026,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/231123159,austin_centre,360.5426352287602,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/231123161,austin_centre,232.47694017986205,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520419,austin_centre,197.99775099967192,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520420,austin_centre,195.27174997510917,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520421,austin_centre,198.64933793859797,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520422,austin_centre,189.1818082362555,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520424,austin_centre,172.875148477218,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520425,austin_centre,170.58873816782784,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520426,austin_centre,318.6120980150598,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328520427,austin_centre,305.5483349676147,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526439,austin_centre,327.4856485478656,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526443,austin_centre,429.95552062890494,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526444,austin_centre,400.7510516042331,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526446,austin_centre,344.7497151789949,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526447,austin_centre,232.0329579379366,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526448,austin_centre,238.0519938721834,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526451,austin_centre,332.67399101295246,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328526452,austin_centre,373.0746187406189,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529688,austin_centre,247.75357192694017,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529693,austin_centre,269.2348942776777,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529696,austin_centre,200.72983332070572,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529698,austin_centre,265.98770265034426,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529699,austin_centre,100.676744335352,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529700,austin_centre,157.84655099602261,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529701,austin_centre,163.41384739127875,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529704,austin_centre,113.41048649739355,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529706,austin_centre,140.87701403017752,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529709,austin_centre,267.40378913359746,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529710,austin_centre,123.04616636667637,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328529714,austin_centre,122.27465166456493,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535176,austin_centre,182.08686447059648,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535177,austin_centre,257.4269766328282,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535178,austin_centre,243.40918275507357,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535179,austin_centre,192.10501626552787,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535180,austin_centre,126.54460979371548,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535181,austin_centre,148.85485294461228,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328535182,austin_centre,448.47428277816823,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328605831,austin_centre,164.19793341063038,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328605855,austin_centre,154.19357325706963,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328607266,austin_centre,430.41042827051194,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328607274,austin_centre,245.46620618623015,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328607279,austin_centre,52.69128729603594,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622249,austin_centre,206.44014289492867,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622250,austin_centre,248.75063347266848,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622252,austin_centre,270.94483516330223,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622253,austin_centre,284.07042094992084,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622254,austin_centre,259.381438411703,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622255,austin_centre,272.6673041327955,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622256,austin_centre,57.42147840890329,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622257,austin_centre,179.86555314948845,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622258,austin_centre,197.69913833251337,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622259,austin_centre,303.0947715643389,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622260,austin_centre,288.38012507711994,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622261,austin_centre,264.0473189177209,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622263,austin_centre,79.99969393568637,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622264,austin_centre,233.35765558740204,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622265,austin_centre,275.0958563111559,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
way/328622267,austin_centre,274.0010329716159,5,GROUPMEDIAN_LEVELS_MED,SmallOffice,MediumOffice,True,False
