group,n,floor_area_m2_sum,pooled_total_eui,median_total,median_heating,median_cooling,median_lighting,median_equipment,median_dhw,median_fans,median_pumps,floor_area_share_of_cell
austin_centre:unknown,37,115775.53000000001,129.56577313728476,199.21821723779615,31.99165195841742,43.017405652659626,25.379346728842357,42.57587816541674,34.722415724287934,13.558246260098397,0.0,0.026570028779839525
austin_centre:classified,376,4241597.619999999,158.93809205039952,120.37230316253294,13.158546467050527,25.190203807111335,26.465118879330234,43.39804902440352,4.02396611824303,10.312227172717655,0.0,0.9734299712201605
austin_rural:unknown,7,1448.6,167.36671921279924,169.9700921918904,36.62613300685876,32.7848273114861,34.507086275473696,44.61793274779046,27.4711624480334,9.423881410511784,0.0,0.009349273524143015
austin_rural:classified,238,153493.91999999998,154.30253467597635,105.50694301104792,14.016571078370102,21.19346561009229,26.465084793292718,27.764833827109655,3.799166753664335,8.87564552856721,0.0,0.990650726475857
austin_suburban:unknown,24,21422.52,165.99759739911272,214.91371443672097,28.356693528074224,43.647053286865415,30.601976978389423,37.60701613651328,31.684923799011735,26.11106282519343,0.1084737508278139,0.07696597171312315
austin_suburban:classified,413,256915.03000000003,158.4376151568715,112.34810648732976,15.53750445378384,27.776875421127198,26.465096056739608,27.764802623572447,3.3556554353052133,11.377498876704692,0.0,0.9230340282868769
austin_urban:unknown,5,13391.080000000002,102.58416031679987,103.10842904084548,11.465735001413828,23.979276049163097,20.662862083693117,33.02765248735096,3.9615571206388513,4.3541939968557966,0.0,0.01210436177180295
austin_urban:classified,420,1092910.95,174.4660982913304,112.69951097131218,12.492745101449064,28.925700901704452,26.465113453521873,27.764903538153966,3.2063485053662846,11.98674770042727,0.0,0.987895638228197
la_centre:unknown,15,67333.31999999999,130.60844071247718,116.7520060640406,15.427860160203824,18.69935762525025,32.40401782299234,33.33366629713987,13.222809076953588,7.532134234857941,0.0,0.021044604469940505
la_centre:classified,211,3132219.33,129.7205323106268,133.19508426542453,7.34873378779861,19.73770928233724,26.465093710445792,44.06316892441448,3.1118859778377037,13.636831486640576,0.0,0.9789553955300595
la_rural:unknown,0,0.0,,,,,,,,,,0.0
la_rural:classified,144,98561.56,121.45551973316265,127.97385772581708,24.33145012181918,26.05381565145824,26.464887800420698,27.764715211159235,5.70445802569907,14.980143551012167,0.0,1.0
la_suburban:unknown,2,252.70000000000002,127.23860396913717,145.74597318789765,25.60429033948121,20.637313083832424,17.547214578349646,20.216425284549437,33.02982875769044,28.175486798817104,0.5354143451773576,0.0004258785299380978
la_suburban:classified,1341,593108.98,108.41337697857736,109.69230491801252,15.443694503111484,4.042839344937292,3.965494386238103,43.397965843723455,33.76583590186488,5.8613134522055805,0.0,0.9995741214700619
la_urban:unknown,2,791.9699999999999,157.00724511292927,141.33682991769183,13.20695091924964,19.925701173071456,18.40850365839563,51.07609744898807,15.183046861014024,23.37810635921393,0.15842349775908604,0.00027085494497947917
la_urban:classified,615,2923171.63,130.5845341186814,105.6637924781149,8.600199640868723,6.277453428232027,3.965510876836961,43.39808999919776,31.60222603182768,7.2458316302405406,0.0,0.9997291450550205
nyc_centre:unknown,35,609759.6799999999,89.34935057713926,123.31731768125026,22.964875893996386,10.960155289759957,25.54184029934705,35.25869256898948,4.01728165729402,17.078606263919536,0.3256689207883915,0.060020490881921344
nyc_centre:classified,702,9549432.14,171.52493098478908,146.47828239578274,40.881650619403715,11.092924470385988,26.465095005630882,44.06310951400498,3.757598584349346,17.785734540342233,0.0,0.9399795091180787
nyc_rural:unknown,5,311.38,271.04001253790204,270.6035013524543,123.53914993544998,24.411658024440523,20.40430467928528,42.09091723745502,48.72260535869639,14.999654292826753,0.0,0.006449083452647659
nyc_rural:classified,193,47971.45,233.3890318284842,140.09127489265563,48.021611016076655,13.948878229540153,26.465044049865394,27.7649512756375,7.089324734652164,14.961159654381625,0.0,0.9935509165473524
nyc_suburban:unknown,290,10168.65,336.7251355887442,349.35410991328206,140.1111487027777,25.012354417198292,26.73216032399486,37.47679880200049,103.4526791822696,16.06719700894414,0.0,0.05582721330210255
nyc_suburban:classified,1299,171976.39,179.9102490707437,202.8337698337373,99.01440761112048,4.520926815005852,3.965550830439736,43.39741005205443,42.513727194185456,6.414774161226049,0.0,0.9441727866978975
nyc_urban:unknown,228,29996.61,207.85695109479045,291.9597278761021,106.22718075872078,23.61291130342275,26.293835405073068,37.14579810829699,71.71645875009798,18.61381859486282,0.0,0.024356360376317117
nyc_urban:classified,1551,1201575.33,146.70136772355528,138.199771015724,51.54513411575464,12.865582478339894,26.46511545866406,27.76487679351292,3.807911473627721,15.364013492554752,0.0,0.9756436396236828
FLEET:unknown,650,870652.0399999999,107.21695775431908,309.95394163575975,115.82495838242188,24.610861744744938,26.552124667563202,37.60701613651328,79.77603749825079,16.761759299474377,0.0,0.03577984875560289
FLEET:classified,7503,23462934.33,155.56014913280293,134.0813929247769,34.08464723029563,11.685712823651915,26.46456478477156,43.3959610937588,7.788015869326611,10.12527145878485,0.0,0.964220151244397
